ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
1999,AUS,10302,57.183503,important,not important,important,important,important,important,important,not important,important,not important,not important,not important,1,2,1,0,0,1,AUS10302
1999,AUS,10305,57.183503,important,not important,important,important,important,important,not important,important,not important,important,not important,not important,1,2,1,NA,NA,2,AUS10305
1999,AUS,10311,57.183503,important,NA,NA,important,important,not important,not important,not important,important,NA,NA,important,1,1,1,2,2,3,AUS10311
1999,AUS,10313,57.183503,important,not important,not important,not important,not important,important,not important,important,not important,not important,not important,not important,1,1,0,NA,NA,4,AUS10313
1999,AUS,10317,57.183503,important,important,important,not important,important,not important,important,not important,not important,important,important,not important,1,2,1,1,1,5,AUS10317
1999,AUS,10319,57.183503,important,important,important,important,important,important,not important,important,important,important,important,important,1,2,1,2,2,6,AUS10319
1999,AUS,10324,57.183503,important,important,important,important,important,important,not important,important,important,not important,not important,not important,1,2,1,2,2,7,AUS10324
1999,AUS,10325,57.183503,important,NA,important,important,important,important,important,important,important,NA,not important,not important,1,1,1,NA,NA,8,AUS10325
1999,AUS,10326,57.183503,important,important,important,important,important,not important,not important,not important,not important,important,not important,not important,1,2,1,2,2,9,AUS10326
1999,AUS,10327,57.183503,important,important,important,important,important,important,important,important,important,not important,not important,not important,1,2,1,NA,NA,10,AUS10327
1999,AUS,20401,53.556586,important,important,important,important,important,important,important,important,important,important,important,not important,1,1,1,2,NA,11,AUS20401
1999,AUS,20402,53.556586,important,important,important,important,important,important,important,important,not important,important,not important,not important,1,2,0,2,2,12,AUS20402
1999,AUS,20403,53.556586,important,important,important,important,not important,important,important,important,important,important,not important,not important,1,3,2,2,2,13,AUS20403
1999,AUS,20404,53.556586,important,important,important,important,important,not important,not important,not important,not important,important,not important,not important,1,3,1,2,2,14,AUS20404
1999,AUS,20405,53.556586,important,important,important,important,important,important,important,important,important,important,not important,not important,1,1,1,0,2,15,AUS20405
1999,AUS,20406,53.556586,important,important,important,important,important,important,important,important,important,important,not important,not important,1,0,0,2,2,16,AUS20406
1999,AUS,20407,53.556586,important,not important,important,not important,important,important,important,important,important,not important,not important,not important,1,2,0,2,2,17,AUS20407
1999,AUS,20408,53.556586,important,important,important,important,important,important,important,not important,important,important,important,not important,1,2,1,2,2,18,AUS20408
1999,AUS,20409,53.556586,important,not important,not important,important,not important,important,not important,important,important,important,not important,not important,1,3,1,2,2,19,AUS20409
1999,AUS,20410,53.556586,important,important,important,important,important,important,important,important,important,important,important,not important,1,1,1,2,2,20,AUS20410
1999,AUS,20411,53.556586,not important,important,important,important,important,important,important,important,not important,not important,not important,not important,1,2,1,2,2,21,AUS20411
1999,AUS,20412,53.556586,important,important,important,not important,important,important,important,not important,important,not important,not important,not important,1,1,0,NA,NA,22,AUS20412
1999,AUS,20413,53.556586,important,not important,important,important,important,important,not important,important,important,important,not important,not important,1,3,1,2,2,23,AUS20413
1999,AUS,20414,53.556586,important,important,important,important,not important,important,not important,not important,not important,important,not important,not important,1,3,0,2,0,24,AUS20414
1999,AUS,20415,53.556586,important,important,important,important,important,important,important,important,not important,not important,not important,not important,1,1,1,1,1,25,AUS20415
1999,AUS,20416,53.556586,important,important,important,important,important,important,not important,important,important,important,not important,not important,1,1,2,2,2,26,AUS20416
1999,AUS,20417,53.556586,important,not important,important,important,not important,important,important,not important,important,not important,not important,not important,1,3,1,2,2,27,AUS20417
1999,AUS,20418,53.556586,important,not important,important,important,not important,important,important,important,important,important,not important,not important,1,1,1,2,2,28,AUS20418
1999,AUS,20419,53.556586,important,not important,not important,important,not important,important,important,important,important,important,not important,not important,1,1,2,2,2,29,AUS20419
1999,AUS,20420,53.556586,important,important,important,important,important,important,important,important,not important,not important,not important,not important,1,3,1,2,0,30,AUS20420
1999,AUS,20421,53.556586,important,important,important,important,important,important,important,important,not important,important,not important,not important,1,3,1,2,2,31,AUS20421
1999,AUS,20422,53.556586,important,not important,important,not important,not important,important,important,important,not important,important,not important,not important,1,3,0,2,1,32,AUS20422
1999,AUS,20423,53.556586,important,important,important,important,important,important,important,not important,important,important,important,not important,1,3,1,2,2,33,AUS20423
1999,AUS,20424,53.556586,important,important,important,important,important,important,important,important,important,important,important,not important,1,3,1,2,2,34,AUS20424
1999,AUS,20425,53.556586,important,important,important,important,important,important,important,NA,not important,not important,not important,not important,1,2,0,NA,NA,35,AUS20425
1999,AUS,20426,53.556586,important,important,important,important,important,important,important,important,important,NA,important,not important,1,1,1,2,2,36,AUS20426
1999,AUS,20427,53.556586,important,important,important,important,important,important,important,not important,not important,important,not important,not important,1,3,2,0,NA,37,AUS20427
1999,AUS,20428,53.556586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,2,38,AUS20428
1999,AUS,20429,53.556586,important,important,important,important,important,important,important,important,important,important,important,not important,1,1,0,1,2,39,AUS20429
1999,AUS,20430,53.556586,important,important,important,important,important,important,important,important,important,important,important,not important,1,3,1,2,2,40,AUS20430
1999,AUS,30402,57.135782,important,not important,important,important,important,important,not important,important,not important,not important,not important,not important,1,2,0,NA,NA,41,AUS30402
1999,AUS,30405,57.135782,important,important,important,important,important,important,important,important,important,not important,not important,not important,1,3,1,2,0,42,AUS30405
1999,AUS,30406,57.135782,important,important,important,important,important,important,not important,important,not important,important,important,not important,1,1,1,0,1,43,AUS30406
1999,AUS,30409,57.135782,important,important,important,important,important,not important,not important,important,not important,not important,not important,not important,NA,NA,NA,NA,NA,44,AUS30409
1999,AUS,30411,57.135782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,45,AUS30411
1999,AUS,30412,57.135782,important,not important,not important,important,important,important,not important,important,not important,not important,not important,not important,NA,NA,NA,NA,NA,46,AUS30412
1999,AUS,30419,57.135782,important,important,important,important,important,important,important,important,not important,important,important,not important,1,2,1,0,0,47,AUS30419
1999,AUS,30420,57.135782,important,important,important,important,important,not important,important,important,important,not important,not important,not important,1,1,0,2,NA,48,AUS30420
1999,AUS,30422,57.135782,important,important,important,important,important,NA,not important,important,not important,NA,not important,not important,NA,NA,NA,NA,NA,49,AUS30422
1999,AUS,30423,57.135782,important,important,important,not important,important,important,not important,not important,not important,not important,not important,not important,NA,NA,NA,NA,NA,50,AUS30423
1999,AUS,30425,57.135782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,0,0,51,AUS30425
1999,AUS,30426,57.135782,important,not important,important,important,important,important,not important,important,not important,important,not important,not important,1,1,1,0,0,52,AUS30426
1999,AUS,30429,57.135782,important,important,important,important,important,not important,not important,important,important,not important,not important,not important,1,1,1,0,0,53,AUS30429
1999,AUS,40405,58.576245,important,not important,not important,important,important,important,not important,important,not important,important,important,not important,1,2,1,0,2,54,AUS40405
1999,AUS,40406,58.576245,important,not important,important,important,important,important,important,not important,not important,not important,not important,not important,1,2,0,NA,NA,55,AUS40406
1999,AUS,40408,58.576245,important,important,important,not important,important,important,important,important,important,important,not important,not important,1,1,0,0,2,56,AUS40408
