ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2009,AUT,10010101,26.6234131065,0,1,1,0,1,1,0,0,1,1,0,0,1,2,2,1,1,93883,AUT10010101
2009,AUT,10010102,26.6234131065,1,1,1,0,1,0,1,0,1,0,0,0,0,2,2,1,1,93884,AUT10010102
2009,AUT,10010103,26.6234131065,1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,2,1,93885,AUT10010103
2009,AUT,10010104,26.6234131065,1,1,1,0,1,1,1,1,1,1,1,1,0,1,2,1,0,93886,AUT10010104
2009,AUT,10010105,26.6234131065,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,1,93887,AUT10010105
2009,AUT,10010106,26.6234131065,1,1,0,1,1,1,1,1,1,1,0,1,0,3,1,1,1,93888,AUT10010106
2009,AUT,10010107,26.6234131065,1,0,1,1,1,0,1,0,0,0,0,0,1,1,2,1,1,93889,AUT10010107
2009,AUT,10010108,26.6234131065,1,1,1,1,1,1,0,0,1,0,0,0,1,1,2,1,2,93890,AUT10010108
2009,AUT,10010109,26.6234131065,1,1,1,0,0,0,1,1,1,1,1,0,1,2,1,2,1,93891,AUT10010109
2009,AUT,10010110,26.6234131065,1,1,0,1,1,1,1,1,1,0,0,0,1,2,2,1,2,93892,AUT10010110
2009,AUT,10010111,26.6234131065,1,1,1,1,0,1,1,1,1,1,1,0,1,3,2,2,2,93893,AUT10010111
2009,AUT,10010112,26.6234131065,1,1,1,1,1,1,0,1,1,0,1,0,1,1,2,1,1,93894,AUT10010112
2009,AUT,10010113,26.6234131065,1,1,1,1,0,1,1,0,1,1,0,0,0,3,1,0,0,93895,AUT10010113
2009,AUT,10010114,26.6234131065,1,1,NA,0,0,0,1,0,1,1,1,0,1,2,2,2,1,93896,AUT10010114
2009,AUT,10010115,26.6234131065,1,1,1,1,0,0,0,0,1,1,0,0,1,2,2,2,1,93897,AUT10010115
2009,AUT,10010116,26.6234131065,1,1,1,1,1,1,0,1,1,1,0,0,1,3,1,1,1,93898,AUT10010116
2009,AUT,10010117,26.6234131065,1,1,1,1,1,1,1,0,0,1,0,0,1,2,1,1,1,93899,AUT10010117
2009,AUT,10010118,26.6234131065,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,93900,AUT10010118
2009,AUT,10010120,26.6234131065,1,1,1,1,1,0,0,1,0,1,0,0,1,3,2,1,1,93901,AUT10010120
2009,AUT,10010121,26.6234131065,1,1,0,0,0,0,0,1,1,0,0,0,NA,2,1,1,1,93902,AUT10010121
2009,AUT,10010122,26.6234131065,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,93903,AUT10010122
2009,AUT,10010123,26.6234131065,1,1,0,1,1,1,0,1,1,0,0,0,0,1,2,2,2,93904,AUT10010123
