ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2016,BFL,10010301,22.542612,1,1,1,1,1,1,0,1,1,1,0,0,1,1,2,2,2,234533,BFL10010301
2016,BFL,10010302,22.542612,1,1,1,1,1,1,0,1,1,0,1,0,1,3,2,2,2,234534,BFL10010302
2016,BFL,10010303,22.542612,1,1,1,1,1,1,0,1,0,1,0,0,1,1,2,2,2,234535,BFL10010303
2016,BFL,10010304,22.542612,1,1,1,1,1,1,1,1,1,0,1,0,1,1,2,2,2,234536,BFL10010304
2016,BFL,10010305,22.542612,1,1,1,1,1,1,0,1,1,0,0,0,1,3,2,2,2,234537,BFL10010305
2016,BFL,10010306,22.542612,1,1,1,1,1,0,0,1,1,0,0,0,1,1,2,2,1,234538,BFL10010306
2016,BFL,10010307,22.542612,1,1,1,1,1,1,1,1,1,0,0,0,1,2,2,2,2,234539,BFL10010307
2016,BFL,10010308,22.542612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,234540,BFL10010308
2016,BFL,10010309,22.542612,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,2,2,234541,BFL10010309
2016,BFL,10010310,22.542612,1,0,0,1,1,1,1,1,1,0,0,0,1,1,2,2,2,234542,BFL10010310
2016,BFL,10010311,22.542612,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,2,2,234543,BFL10010311
2016,BFL,10010312,22.542612,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2,2,2,234544,BFL10010312
2016,BFL,10010313,22.542612,1,1,0,1,1,1,0,1,1,0,1,0,1,1,2,2,2,234545,BFL10010313
2016,BFL,10010314,22.542612,1,0,0,1,0,0,1,1,0,0,0,0,1,1,2,2,2,234546,BFL10010314
2016,BFL,10010315,22.542612,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,2,2,234547,BFL10010315
2016,BFL,10010316,22.542612,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,1,2,234548,BFL10010316
2016,BFL,10010317,22.542612,1,1,1,1,1,1,0,1,1,0,0,0,1,2,2,2,2,234549,BFL10010317
2016,BFL,10010318,22.542612,1,1,1,1,1,1,0,1,1,1,0,0,1,2,2,2,2,234550,BFL10010318
