ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
1999,BFR,50601,25.38469,important,important,not important,not important,not important,important,important,not important,important,important,not important,important,1,2,1,2,NA,3332,BFR50601
1999,BFR,50602,25.38469,important,important,important,important,important,important,not important,not important,important,important,not important,not important,0,1,1,0,0,3333,BFR50602
1999,BFR,50603,25.38469,important,important,important,not important,important,important,important,important,important,not important,not important,not important,0,3,1,2,2,3334,BFR50603
1999,BFR,50604,25.38469,important,important,important,important,important,not important,not important,not important,important,important,not important,not important,0,1,2,1,2,3335,BFR50604
1999,BFR,50605,25.38469,important,important,not important,not important,not important,important,not important,important,not important,important,not important,not important,1,1,2,1,2,3336,BFR50605
1999,BFR,50606,25.38469,important,important,important,important,important,not important,not important,important,important,important,important,not important,1,2,1,2,2,3337,BFR50606
1999,BFR,50607,25.38469,important,important,important,important,important,important,important,not important,important,important,not important,not important,0,3,0,2,2,3338,BFR50607
1999,BFR,50608,25.38469,important,not important,not important,not important,not important,important,important,important,important,important,not important,not important,0,2,1,2,NA,3339,BFR50608
1999,BFR,50609,25.38469,important,important,important,important,important,not important,important,important,important,important,important,important,1,1,1,1,1,3340,BFR50609
1999,BFR,50610,25.38469,important,not important,not important,important,important,not important,not important,not important,not important,not important,not important,not important,0,3,1,2,2,3341,BFR50610
1999,BFR,50611,25.38469,important,important,not important,important,important,important,not important,not important,not important,important,not important,not important,0,1,1,2,1,3342,BFR50611
1999,BFR,50612,25.38469,important,important,not important,not important,important,important,not important,important,not important,important,important,not important,0,3,2,2,2,3343,BFR50612
1999,BFR,50613,25.38469,important,important,not important,important,not important,important,not important,not important,important,not important,important,important,1,1,1,2,0,3344,BFR50613
1999,BFR,50614,25.38469,important,important,important,not important,important,important,not important,important,important,important,not important,not important,1,1,2,1,NA,3345,BFR50614
1999,BFR,50615,25.38469,important,important,not important,not important,important,important,not important,not important,not important,not important,not important,not important,1,NA,1,NA,NA,3346,BFR50615
1999,BFR,50616,25.38469,important,important,not important,important,important,important,important,important,not important,important,important,not important,1,1,1,NA,NA,3347,BFR50616
1999,BFR,50617,25.38469,important,not important,important,not important,not important,important,not important,important,not important,not important,important,not important,1,1,0,1,1,3348,BFR50617
1999,BFR,50618,25.38469,important,not important,important,not important,important,important,not important,not important,not important,not important,important,not important,0,1,1,1,0,3349,BFR50618
1999,BFR,50619,25.38469,important,important,important,not important,important,important,important,not important,important,not important,not important,not important,1,3,2,2,2,3350,BFR50619
1999,BFR,60501,17.774754,important,important,important,important,important,important,important,not important,important,important,not important,not important,1,3,1,2,2,3351,BFR60501
1999,BFR,60502,17.774754,important,not important,not important,not important,not important,important,not important,not important,important,not important,not important,not important,0,2,0,2,2,3352,BFR60502
1999,BFR,60503,17.774754,important,important,important,not important,important,not important,not important,not important,not important,not important,not important,not important,0,1,1,0,2,3353,BFR60503
1999,BFR,60504,17.774754,important,important,important,important,important,not important,not important,not important,important,important,not important,not important,0,2,2,2,2,3354,BFR60504
1999,BFR,60505,17.774754,important,important,important,not important,important,important,not important,not important,important,not important,not important,not important,0,3,1,2,2,3355,BFR60505
