ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
1999,CHE,10101,41.087049,important,important,important,not important,important,important,important,important,important,not important,not important,not important,0,1,0,0,0,8292,CHE10101
1999,CHE,10102,41.087049,important,important,important,important,not important,important,not important,important,not important,not important,not important,not important,0,2,0,1,1,8293,CHE10102
1999,CHE,10103,41.087049,important,important,important,important,important,not important,NA,important,important,not important,important,not important,0,3,0,1,1,8294,CHE10103
1999,CHE,10104,41.087049,important,important,important,important,not important,important,important,important,important,important,important,not important,1,2,0,0,0,8295,CHE10104
1999,CHE,10105,41.087049,important,important,important,important,important,not important,important,important,not important,important,important,not important,0,1,1,1,0,8296,CHE10105
1999,CHE,10106,41.087049,important,important,important,not important,important,important,not important,NA,important,NA,important,important,0,1,0,1,1,8297,CHE10106
1999,CHE,10107,41.087049,important,important,important,important,important,important,not important,important,not important,important,not important,NA,1,1,0,1,0,8298,CHE10107
1999,CHE,10108,41.087049,important,important,not important,important,important,not important,not important,not important,important,important,not important,important,1,1,0,0,0,8299,CHE10108
1999,CHE,10109,41.087049,important,important,important,important,important,important,not important,important,important,important,not important,not important,0,1,0,1,0,8300,CHE10109
1999,CHE,10110,41.087049,important,important,important,important,important,not important,not important,not important,important,important,not important,not important,1,1,0,1,0,8301,CHE10110
1999,CHE,10111,41.087049,important,important,important,NA,important,important,not important,NA,important,important,NA,not important,1,3,0,0,NA,8302,CHE10111
1999,CHE,10112,41.087049,important,important,important,important,important,important,not important,important,important,important,not important,not important,1,1,1,NA,2,8303,CHE10112
1999,CHE,10113,41.087049,important,important,important,important,not important,not important,important,important,important,important,important,important,1,1,0,2,NA,8304,CHE10113
1999,CHE,10114,41.087049,important,important,important,not important,important,important,important,important,important,important,not important,not important,1,1,1,0,NA,8305,CHE10114
1999,CHE,10115,41.087049,important,important,important,important,not important,important,important,important,important,important,NA,NA,0,1,1,NA,NA,8306,CHE10115
1999,CHE,10116,41.087049,important,important,not important,important,important,important,not important,important,important,not important,not important,not important,1,2,1,0,0,8307,CHE10116
1999,CHE,10118,41.087049,important,important,important,important,important,important,not important,not important,not important,NA,not important,not important,0,2,0,NA,NA,8308,CHE10118
1999,CHE,10119,41.087049,important,not important,not important,important,not important,important,not important,not important,not important,not important,not important,not important,0,0,0,NA,NA,8309,CHE10119
1999,CHE,10120,41.087049,important,important,important,important,not important,important,not important,not important,important,important,not important,not important,0,1,0,0,1,8310,CHE10120
1999,CHE,10121,41.087049,important,important,important,important,important,important,important,important,not important,important,important,not important,0,1,0,1,1,8311,CHE10121
1999,CHE,10122,41.087049,important,important,important,important,important,important,important,important,important,important,important,important,0,2,0,1,0,8312,CHE10122
1999,CHE,10123,41.087049,important,important,not important,NA,not important,not important,important,important,important,not important,not important,not important,0,3,0,1,1,8313,CHE10123
1999,CHE,10125,41.087049,important,important,not important,important,not important,important,important,important,NA,important,not important,not important,1,3,1,2,NA,8314,CHE10125
1999,CHE,10126,41.087049,not important,important,not important,important,important,not important,important,not important,not important,important,not important,important,0,1,0,NA,2,8315,CHE10126
1999,CHE,20101,32.869639,important,important,not important,important,important,not important,not important,important,important,important,not important,not important,0,2,0,NA,NA,8316,CHE20101
1999,CHE,20103,32.869639,important,important,not important,not important,not important,important,important,important,important,not important,not important,not important,0,2,1,1,1,8317,CHE20103
1999,CHE,20104,32.869639,important,important,not important,not important,important,important,important,important,important,not important,not important,not important,0,2,0,NA,NA,8318,CHE20104
1999,CHE,20105,32.869639,important,important,important,important,important,important,not important,important,important,not important,important,important,0,1,0,NA,NA,8319,CHE20105
1999,CHE,20106,32.869639,important,NA,not important,important,not important,important,not important,NA,important,NA,important,not important,0,1,0,1,1,8320,CHE20106
1999,CHE,20107,32.869639,important,important,important,important,not important,important,important,not important,important,not important,not important,not important,0,1,0,1,2,8321,CHE20107
1999,CHE,20108,32.869639,important,important,important,important,NA,important,important,important,important,important,not important,not important,0,1,1,NA,NA,8322,CHE20108
1999,CHE,20109,32.869639,important,important,important,important,important,important,important,important,important,not important,not important,not important,1,2,0,NA,NA,8323,CHE20109
1999,CHE,20110,32.869639,important,important,important,important,important,not important,important,important,important,not important,important,not important,1,2,1,1,1,8324,CHE20110
1999,CHE,20111,32.869639,important,important,not important,important,important,not important,important,not important,not important,not important,not important,important,1,1,0,NA,NA,8325,CHE20111
1999,CHE,20112,32.869639,important,NA,important,not important,important,important,important,NA,important,important,NA,not important,1,1,0,NA,NA,8326,CHE20112
1999,CHE,20113,32.869639,important,NA,important,not important,important,important,important,NA,important,important,not important,not important,1,1,0,1,1,8327,CHE20113
1999,CHE,20114,32.869639,important,important,important,not important,important,important,important,important,important,important,not important,not important,1,1,0,NA,NA,8328,CHE20114
1999,CHE,20115,32.869639,important,important,not important,not important,important,important,important,important,important,important,not important,not important,1,2,0,NA,1,8329,CHE20115
1999,CHE,20116,32.869639,important,important,important,important,important,not important,important,important,not important,important,not important,not important,1,3,0,NA,NA,8330,CHE20116
1999,CHE,30101,27.391366,important,important,important,important,not important,important,important,important,important,important,not important,not important,0,3,1,2,NA,8331,CHE30101
1999,CHE,30102,27.391366,important,important,important,important,important,important,important,important,important,important,not important,not important,0,1,0,1,2,8332,CHE30102
1999,CHE,30103,27.391366,important,important,important,not important,important,important,important,important,important,important,not important,not important,1,3,0,1,2,8333,CHE30103
1999,CHE,30104,27.391366,important,not important,not important,important,not important,important,important,important,important,not important,not important,important,1,1,0,NA,NA,8334,CHE30104
