ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2016,CHL,10010301,31.898712,1,0,0,1,1,1,1,1,0,1,0,0,1,1,2,2,2,240430,CHL10010301
2016,CHL,10010302,31.898712,1,1,1,0,1,1,1,1,1,1,1,0,1,3,2,2,2,240431,CHL10010302
2016,CHL,10010303,31.898712,1,1,1,1,1,1,0,0,1,1,1,0,1,3,2,2,2,240432,CHL10010303
2016,CHL,10010304,31.898712,1,1,1,1,1,0,1,0,0,1,0,0,1,1,2,2,2,240433,CHL10010304
2016,CHL,10010305,31.898712,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,240434,CHL10010305
2016,CHL,10010306,31.898712,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,2,2,240435,CHL10010306
2016,CHL,10010307,31.898712,1,0,1,1,1,1,1,1,1,0,0,0,1,2,2,2,2,240436,CHL10010307
2016,CHL,10010308,31.898712,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,240437,CHL10010308
2016,CHL,10010309,31.898712,1,1,1,1,1,1,0,1,1,0,0,0,1,2,2,2,2,240438,CHL10010309
2016,CHL,10010311,31.898712,1,1,1,1,1,1,0,1,0,1,1,0,1,1,2,2,2,240439,CHL10010311
2016,CHL,10010312,31.898712,1,1,1,0,1,1,1,1,1,1,1,1,1,3,2,2,2,240440,CHL10010312
2016,CHL,10010313,31.898712,1,0,0,1,0,0,1,1,0,0,0,0,1,3,2,2,2,240441,CHL10010313
2016,CHL,10010314,31.898712,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,2,2,240442,CHL10010314
2016,CHL,10010315,31.898712,1,1,1,0,1,1,0,1,1,1,1,0,1,1,2,2,2,240443,CHL10010315
2016,CHL,10020201,44.872064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,240444,CHL10020201
2016,CHL,10020202,44.872064,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,240445,CHL10020202
2016,CHL,10020203,44.872064,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,240446,CHL10020203
2016,CHL,10020204,44.872064,1,0,0,0,0,1,0,0,1,0,0,0,1,1,2,1,2,240447,CHL10020204
2016,CHL,10020205,44.872064,0,0,1,0,1,0,0,0,0,1,0,0,1,0,2,1,1,240448,CHL10020205
2016,CHL,10020207,44.872064,1,1,0,1,0,0,1,0,0,1,0,0,1,1,2,1,1,240449,CHL10020207
2016,CHL,10020209,44.872064,1,1,1,1,1,0,1,1,1,1,1,0,1,0,2,1,0,240450,CHL10020209
2016,CHL,10020210,44.872064,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,2,2,2,240451,CHL10020210
2016,CHL,10020211,44.872064,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,240452,CHL10020211
2016,CHL,10020212,44.872064,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,1,NA,240453,CHL10020212
2016,CHL,10020213,44.872064,0,1,0,1,1,0,0,0,0,1,0,0,1,1,2,1,1,240454,CHL10020213
2016,CHL,10020214,44.872064,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,1,1,240455,CHL10020214
2016,CHL,10020215,44.872064,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,1,240456,CHL10020215
2016,CHL,10020216,44.872064,1,1,1,1,1,1,0,0,0,0,0,0,1,NA,2,1,1,240457,CHL10020216
2016,CHL,10020217,44.872064,1,1,1,1,1,0,1,1,1,1,0,0,1,1,2,1,1,240458,CHL10020217
2016,CHL,10020218,44.872064,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,240459,CHL10020218
2016,CHL,10020219,44.872064,1,1,1,1,1,0,1,0,1,1,0,0,1,1,2,0,0,240460,CHL10020219
2016,CHL,10020220,44.872064,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,2,1,1,240461,CHL10020220
2016,CHL,10020221,44.872064,1,1,1,1,1,1,1,1,0,1,0,0,1,1,2,1,1,240462,CHL10020221
2016,CHL,10020223,44.872064,1,1,1,0,1,0,0,0,0,1,0,0,1,0,2,2,2,240463,CHL10020223
2016,CHL,10020224,44.872064,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,1,1,240464,CHL10020224
2016,CHL,10020225,44.872064,1,1,1,1,1,0,1,1,0,1,1,0,1,1,2,1,0,240465,CHL10020225
2016,CHL,10020227,44.872064,1,1,1,1,1,0,0,NA,0,0,0,0,1,1,2,1,1,240466,CHL10020227
2016,CHL,10020228,44.872064,0,1,1,1,1,0,0,1,0,1,0,0,1,1,2,1,1,240467,CHL10020228
2016,CHL,10020229,44.872064,1,1,1,NA,1,1,1,1,0,1,0,0,1,1,2,1,1,240468,CHL10020229
2016,CHL,10020230,44.872064,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,240469,CHL10020230
2016,CHL,10020231,44.872064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,240470,CHL10020231
2016,CHL,10020232,44.872064,1,1,1,0,0,1,0,1,0,0,0,0,1,1,2,1,0,240471,CHL10020232
2016,CHL,10020233,44.872064,1,1,1,1,1,1,1,0,1,0,0,0,1,1,2,0,1,240472,CHL10020233
2016,CHL,10020234,44.872064,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2,1,2,240473,CHL10020234
