ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
1999,COL,10101,8.617885,important,not important,important,important,NA,not important,NA,not important,NA,NA,NA,NA,1,0,2,2,NA,17084,COL10101
1999,COL,10104,8.617885,important,important,important,important,important,important,important,important,not important,not important,important,important,1,0,0,1,0,17085,COL10104
1999,COL,10105,8.617885,important,important,important,important,important,not important,not important,important,not important,important,not important,important,1,0,1,NA,NA,17086,COL10105
1999,COL,10107,8.617885,important,important,important,important,important,NA,not important,important,NA,NA,not important,not important,1,2,1,1,1,17087,COL10107
1999,COL,10108,8.617885,important,important,important,important,important,important,NA,important,important,important,important,not important,1,1,2,0,0,17088,COL10108
1999,COL,10109,8.617885,important,important,important,important,important,important,important,important,important,not important,important,important,1,1,2,0,NA,17089,COL10109
1999,COL,10111,8.617885,important,important,important,important,important,important,important,important,important,not important,not important,important,1,1,2,NA,0,17090,COL10111
1999,COL,10112,8.617885,important,important,important,important,important,important,important,important,NA,important,important,important,1,1,2,NA,NA,17091,COL10112
1999,COL,10114,8.617885,important,important,NA,important,important,important,important,important,important,important,important,not important,1,1,2,NA,2,17092,COL10114
1999,COL,10115,8.617885,important,not important,important,important,important,NA,important,important,NA,NA,important,not important,1,0,2,NA,1,17093,COL10115
1999,COL,10116,8.617885,important,important,important,not important,important,not important,NA,important,not important,important,important,NA,1,1,0,0,0,17094,COL10116
1999,COL,10117,8.617885,important,important,important,important,important,important,important,important,not important,not important,not important,not important,1,1,2,NA,NA,17095,COL10117
1999,COL,10118,8.617885,important,important,important,important,important,important,important,important,important,important,important,important,1,3,2,2,2,17096,COL10118
1999,COL,10119,8.617885,important,important,important,not important,important,important,important,not important,not important,not important,not important,NA,1,0,1,2,NA,17097,COL10119
1999,COL,10121,8.617885,important,important,important,important,important,important,important,important,important,not important,not important,not important,1,1,1,NA,0,17098,COL10121
1999,COL,10122,8.617885,important,important,important,important,important,important,important,important,important,important,not important,not important,1,1,1,NA,NA,17099,COL10122
1999,COL,10123,8.617885,important,important,important,important,important,not important,important,NA,NA,NA,NA,NA,1,1,2,0,0,17100,COL10123
1999,COL,10124,8.617885,important,important,important,important,important,not important,important,important,important,not important,not important,not important,1,1,2,2,2,17101,COL10124
1999,COL,10125,8.617885,important,important,important,NA,important,important,not important,important,important,important,NA,not important,1,1,0,NA,0,17102,COL10125
1999,COL,10126,8.617885,important,important,important,NA,important,NA,important,not important,NA,important,not important,important,1,1,1,0,0,17103,COL10126
1999,COL,10129,8.617885,important,important,important,not important,important,important,important,important,important,important,not important,not important,1,1,1,0,0,17104,COL10129
1999,COL,10137,8.617885,important,important,important,important,important,important,important,important,important,important,important,NA,1,1,0,0,0,17105,COL10137
1999,COL,10138,8.617885,important,not important,important,important,important,important,important,NA,NA,NA,not important,NA,1,1,1,NA,NA,17106,COL10138
1999,COL,10140,8.617885,important,important,important,important,important,important,not important,NA,NA,important,important,NA,1,1,0,0,NA,17107,COL10140
1999,COL,10141,8.617885,important,important,important,not important,important,important,important,not important,not important,important,not important,not important,NA,1,1,0,2,17108,COL10141
1999,COL,20202,38.833183,important,important,important,important,important,not important,important,important,not important,not important,not important,not important,1,1,0,0,0,17109,COL20202
1999,COL,20206,38.833183,important,important,important,not important,important,important,not important,important,not important,not important,not important,NA,1,0,1,0,0,17110,COL20206
1999,COL,20208,38.833183,important,important,important,important,important,not important,important,important,NA,important,important,not important,1,0,0,0,0,17111,COL20208
1999,COL,20211,38.833183,important,important,NA,important,important,important,important,important,important,not important,important,important,1,1,0,0,1,17112,COL20211
1999,COL,20212,38.833183,important,important,important,important,important,NA,NA,important,important,not important,important,important,1,1,0,0,1,17113,COL20212
1999,COL,20213,38.833183,important,NA,important,important,important,NA,NA,important,NA,important,NA,NA,1,1,0,0,0,17114,COL20213
1999,COL,20217,38.833183,important,important,important,important,important,important,important,NA,NA,important,important,not important,1,1,0,0,NA,17115,COL20217
1999,COL,20218,38.833183,important,not important,NA,NA,important,important,important,important,NA,important,not important,NA,1,1,0,0,0,17116,COL20218
1999,COL,20220,38.833183,important,important,important,important,important,important,important,important,important,important,important,important,1,2,0,2,2,17117,COL20220
1999,COL,20221,38.833183,NA,important,important,NA,important,NA,NA,not important,not important,important,not important,NA,1,1,0,0,0,17118,COL20221
1999,COL,20223,38.833183,important,important,important,important,important,important,important,important,not important,important,not important,important,1,0,2,0,NA,17119,COL20223
1999,COL,20226,38.833183,important,important,important,important,important,not important,important,important,NA,important,important,not important,1,1,0,0,0,17120,COL20226
1999,COL,20227,38.833183,important,important,important,important,important,important,important,NA,important,important,important,NA,1,1,0,0,0,17121,COL20227
1999,COL,20231,38.833183,important,important,important,important,important,important,important,important,important,important,important,important,1,1,0,0,0,17122,COL20231
1999,COL,20233,38.833183,important,NA,important,important,NA,important,important,important,important,important,not important,important,1,0,2,1,0,17123,COL20233
1999,COL,20234,38.833183,important,important,important,important,important,important,not important,important,not important,important,not important,not important,1,0,0,NA,2,17124,COL20234
1999,COL,20236,38.833183,important,important,important,important,important,important,important,important,important,important,NA,important,1,1,0,NA,NA,17125,COL20236
1999,COL,20237,38.833183,important,important,important,important,important,important,important,important,important,not important,not important,important,1,0,0,0,0,17126,COL20237
1999,COL,20239,38.833183,important,NA,NA,important,important,important,NA,NA,important,not important,NA,important,1,0,2,NA,NA,17127,COL20239
1999,COL,20240,38.833183,NA,NA,NA,NA,NA,NA,important,important,not important,important,NA,NA,1,0,0,0,0,17128,COL20240
1999,COL,20241,38.833183,important,important,important,important,important,important,important,important,important,important,important,important,1,1,2,0,0,17129,COL20241
1999,COL,20246,38.833183,important,important,important,important,important,important,important,important,NA,important,NA,not important,1,0,0,2,0,17130,COL20246
1999,COL,20247,38.833183,important,important,important,important,NA,not important,NA,important,important,important,NA,not important,1,1,1,0,NA,17131,COL20247
1999,COL,30101,32.081984,important,important,important,important,important,important,important,important,important,important,important,important,1,1,2,0,0,17132,COL30101
1999,COL,30106,32.081984,important,important,important,important,important,important,not important,not important,important,not important,not important,not important,1,0,2,NA,0,17133,COL30106
1999,COL,30107,32.081984,important,important,important,important,not important,important,important,important,important,important,not important,important,1,1,0,0,0,17134,COL30107
1999,COL,30108,32.081984,important,important,important,not important,important,important,important,important,not important,important,important,not important,1,1,0,0,0,17135,COL30108
1999,COL,30109,32.081984,important,important,important,important,important,important,important,important,not important,important,not important,not important,0,0,0,0,0,17136,COL30109
1999,COL,30110,32.081984,important,important,important,not important,important,important,NA,not important,not important,important,important,not important,1,0,1,0,0,17137,COL30110
1999,COL,30111,32.081984,important,important,important,important,important,important,important,NA,important,important,important,important,1,1,1,0,0,17138,COL30111
1999,COL,30118,32.081984,NA,important,important,NA,important,not important,important,important,important,important,not important,not important,1,1,0,0,0,17139,COL30118
1999,COL,30120,32.081984,important,important,important,important,important,important,important,important,not important,important,not important,not important,1,NA,1,NA,0,17140,COL30120
1999,COL,30124,32.081984,important,important,important,important,important,important,important,important,important,important,important,not important,1,1,1,1,1,17141,COL30124
1999,COL,30126,32.081984,important,important,important,important,important,important,important,not important,not important,important,important,not important,1,1,0,0,0,17142,COL30126
1999,COL,30127,32.081984,important,NA,important,NA,important,important,NA,important,important,important,NA,NA,1,0,0,0,0,17143,COL30127
1999,COL,30128,32.081984,important,important,important,important,important,important,important,important,important,not important,important,not important,1,1,1,2,0,17144,COL30128
1999,COL,30129,32.081984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,17145,COL30129
1999,COL,100101,21.797721,important,important,important,important,important,important,important,important,not important,important,not important,important,1,1,NA,2,NA,17146,COL100101
1999,COL,100102,21.797721,important,important,important,important,important,important,important,important,important,important,important,not important,1,1,1,0,0,17147,COL100102
1999,COL,100104,21.797721,important,important,important,important,important,important,important,important,important,important,important,not important,1,0,1,NA,NA,17148,COL100104
1999,COL,100106,21.797721,important,important,important,important,important,important,important,important,important,important,important,important,1,1,0,2,0,17149,COL100106
1999,COL,100107,21.797721,important,important,important,not important,important,not important,important,important,not important,important,not important,important,1,1,1,2,0,17150,COL100107
1999,COL,100109,21.797721,important,important,important,important,not important,important,important,important,NA,NA,important,important,1,1,0,2,2,17151,COL100109
1999,COL,100113,21.797721,important,important,important,not important,important,important,important,not important,not important,not important,not important,important,1,1,1,0,2,17152,COL100113
1999,COL,100114,21.797721,important,important,important,important,important,NA,important,important,not important,not important,not important,important,1,2,0,0,0,17153,COL100114
1999,COL,100115,21.797721,important,NA,important,important,important,important,important,important,important,NA,NA,not important,1,3,2,2,2,17154,COL100115
1999,COL,100116,21.797721,important,important,not important,important,important,not important,important,important,not important,important,not important,important,1,0,1,NA,NA,17155,COL100116
1999,COL,100117,21.797721,important,important,important,not important,important,important,not important,important,not important,important,not important,important,1,2,2,NA,NA,17156,COL100117
1999,COL,100118,21.797721,important,important,important,not important,important,important,important,important,NA,not important,important,important,1,3,1,0,0,17157,COL100118
1999,COL,100119,21.797721,important,important,important,important,important,important,important,important,NA,NA,NA,important,1,0,2,0,0,17158,COL100119
1999,COL,100121,21.797721,important,not important,not important,not important,not important,important,important,not important,not important,important,not important,not important,1,1,2,2,0,17159,COL100121
1999,COL,100122,21.797721,important,important,important,important,important,important,important,important,important,important,important,NA,1,1,1,0,0,17160,COL100122
1999,COL,100126,21.797721,important,important,important,important,important,important,important,important,important,important,not important,not important,1,1,2,0,0,17161,COL100126
1999,COL,100127,21.797721,important,not important,important,NA,important,not important,important,important,not important,important,not important,not important,1,2,1,NA,0,17162,COL100127
