ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2009,CYP,10010101,3.6363636364,1,1,0,0,1,0,1,1,1,0,0,0,0,1,2,2,1,117813,CYP10010101
2009,CYP,10010102,3.6363636364,0,1,0,1,0,1,1,0,0,1,1,0,0,1,2,2,2,117814,CYP10010102
2009,CYP,10010103,3.6363636364,1,1,1,0,1,1,1,1,1,1,NA,1,0,1,1,1,1,117815,CYP10010103
2009,CYP,10010104,3.6363636364,1,1,0,0,1,1,1,1,1,1,0,1,1,1,2,1,1,117816,CYP10010104
2009,CYP,10010105,3.6363636364,1,1,1,1,1,0,1,1,1,1,0,1,1,3,2,2,2,117817,CYP10010105
2009,CYP,10010106,3.6363636364,1,1,1,1,1,1,1,1,0,0,1,0,1,1,2,2,2,117818,CYP10010106
2009,CYP,10010107,3.6363636364,0,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,2,117819,CYP10010107
2009,CYP,10010108,3.6363636364,1,1,1,1,1,1,1,0,1,1,1,1,0,1,2,1,2,117820,CYP10010108
2009,CYP,10010109,3.6363636364,1,0,0,0,1,1,0,1,0,1,0,1,0,1,2,1,1,117821,CYP10010109
2009,CYP,10010110,3.6363636364,1,1,0,0,0,1,1,1,1,1,1,1,1,1,2,1,1,117822,CYP10010110
2009,CYP,10010111,3.6363636364,1,1,1,1,1,1,1,0,1,1,0,0,1,1,2,2,1,117823,CYP10010111
2009,CYP,10010112,3.6363636364,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,117824,CYP10010112
2009,CYP,10010113,3.6363636364,1,1,1,0,1,0,1,1,1,1,1,0,1,1,2,2,2,117825,CYP10010113
2009,CYP,10010114,3.6363636364,1,1,1,0,1,0,1,0,1,1,0,0,0,2,2,NA,NA,117826,CYP10010114
2009,CYP,10010115,3.6363636364,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,117827,CYP10010115
2009,CYP,10010116,3.6363636364,0,0,1,0,1,1,0,0,1,1,1,1,0,3,2,2,2,117828,CYP10010116
2009,CYP,10010117,3.6363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,0,117829,CYP10010117
2009,CYP,10010118,3.6363636364,1,1,1,1,1,1,1,1,1,1,1,1,0,3,2,2,2,117830,CYP10010118
2009,CYP,10010119,3.6363636364,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,3,2,2,2,117831,CYP10010119
2009,CYP,10010120,3.6363636364,1,1,0,0,1,0,1,0,1,1,0,0,0,3,2,2,1,117832,CYP10010120
2009,CYP,10010121,3.6363636364,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,117833,CYP10010121
2009,CYP,10010122,3.6363636364,1,NA,0,1,0,1,0,1,0,0,0,0,1,1,2,0,1,117834,CYP10010122
2009,CYP,10010401,3.3333333333,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,2,117835,CYP10010401
2009,CYP,10010402,3.3333333333,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,117836,CYP10010402
2009,CYP,10010403,3.3333333333,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,2,117837,CYP10010403
2009,CYP,10010404,3.3333333333,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,2,2,117838,CYP10010404
2009,CYP,10010405,3.3333333333,1,0,1,0,1,1,0,0,1,0,1,1,0,1,2,2,0,117839,CYP10010405
2009,CYP,10010406,3.3333333333,1,1,1,1,1,1,1,1,1,1,1,0,0,3,2,2,1,117840,CYP10010406
2009,CYP,10010407,3.3333333333,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,2,117841,CYP10010407
2009,CYP,10010408,3.3333333333,1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,1,1,117842,CYP10010408
2009,CYP,10010409,3.3333333333,0,1,1,1,1,1,1,1,0,1,0,0,0,3,2,1,0,117843,CYP10010409
2009,CYP,10010410,3.3333333333,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,117844,CYP10010410
2009,CYP,10010411,3.3333333333,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2,0,117845,CYP10010411
2009,CYP,10010412,3.3333333333,0,1,1,1,1,0,0,1,0,1,1,0,1,1,2,1,1,117846,CYP10010412
2009,CYP,10010413,3.3333333333,1,1,0,1,NA,1,1,1,0,1,1,1,0,2,1,1,2,117847,CYP10010413
2009,CYP,10010414,3.3333333333,1,1,1,0,1,1,1,1,0,1,0,0,1,1,2,2,1,117848,CYP10010414
2009,CYP,10010415,3.3333333333,1,0,0,1,1,1,0,1,1,0,1,1,1,1,2,2,2,117849,CYP10010415
2009,CYP,10010416,3.3333333333,1,1,0,1,1,1,1,1,1,0,1,0,1,1,2,0,0,117850,CYP10010416
2009,CYP,10010417,3.3333333333,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,0,117851,CYP10010417
2009,CYP,10010418,3.3333333333,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,2,117852,CYP10010418
2009,CYP,10010419,3.3333333333,1,1,1,1,1,1,1,0,0,1,0,1,0,2,1,0,1,117853,CYP10010419
2009,CYP,10010420,3.3333333333,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,117854,CYP10010420
2009,CYP,10010421,3.3333333333,1,1,0,0,1,1,0,1,1,0,1,1,1,3,1,1,1,117855,CYP10010421
2009,CYP,10010422,3.3333333333,0,0,0,0,0,1,1,0,0,0,0,0,1,3,2,2,2,117856,CYP10010422
2009,CYP,10010423,3.3333333333,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,2,2,117857,CYP10010423
2009,CYP,10010701,3.3333333333,1,1,0,0,1,0,1,1,1,0,1,0,0,2,NA,NA,NA,117858,CYP10010701
2009,CYP,10010702,3.3333333333,1,1,0,0,0,0,1,1,1,0,0,0,1,1,2,2,2,117859,CYP10010702
2009,CYP,10010703,3.3333333333,1,1,0,1,1,1,1,1,1,0,0,0,1,1,2,1,1,117860,CYP10010703
2009,CYP,10010704,3.3333333333,0,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,1,117861,CYP10010704
2009,CYP,10010705,3.3333333333,1,1,1,0,1,1,1,1,0,0,0,0,1,0,2,1,1,117862,CYP10010705
2009,CYP,10010706,3.3333333333,1,1,1,0,1,1,1,1,1,1,1,1,0,1,2,2,2,117863,CYP10010706
2009,CYP,10010707,3.3333333333,1,1,1,1,1,1,1,0,0,1,1,0,1,3,2,2,0,117864,CYP10010707
2009,CYP,10010708,3.3333333333,1,1,0,1,1,1,1,1,1,1,0,1,0,0,2,2,2,117865,CYP10010708
2009,CYP,10010709,3.3333333333,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,2,117866,CYP10010709
2009,CYP,10010710,3.3333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,117867,CYP10010710
2009,CYP,10010711,3.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,117868,CYP10010711
2009,CYP,10010712,3.3333333333,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,2,2,117869,CYP10010712
2009,CYP,10010713,3.3333333333,1,1,0,1,1,1,1,1,0,0,0,1,1,3,2,2,2,117870,CYP10010713
2009,CYP,10010714,3.3333333333,0,1,1,1,1,1,0,1,0,1,0,0,1,1,0,2,2,117871,CYP10010714
2009,CYP,10010715,3.3333333333,0,NA,0,1,1,1,1,1,1,0,1,0,0,1,0,2,2,117872,CYP10010715
2009,CYP,10010716,3.3333333333,1,1,0,1,1,1,1,1,0,1,1,0,1,1,2,NA,NA,117873,CYP10010716
2009,CYP,10010717,3.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,1,117874,CYP10010717
2009,CYP,10010718,3.3333333333,1,1,1,1,1,1,1,0,1,1,0,1,1,3,2,2,2,117875,CYP10010718
2009,CYP,10010719,3.3333333333,1,1,1,1,1,0,1,1,1,0,1,0,0,2,2,2,2,117876,CYP10010719
2009,CYP,10010720,3.3333333333,1,1,1,1,1,1,1,1,1,0,0,1,1,3,2,2,2,117877,CYP10010720
2009,CYP,10010721,3.3333333333,1,1,1,1,1,1,1,1,1,1,0,1,0,0,2,2,1,117878,CYP10010721
2009,CYP,10010722,3.3333333333,0,1,1,0,1,1,1,1,1,1,0,0,1,1,2,2,1,117879,CYP10010722
2009,CYP,10010723,3.3333333333,1,1,1,1,1,0,1,1,0,1,1,0,1,3,2,2,1,117880,CYP10010723
2009,CYP,10010724,3.3333333333,1,1,1,1,1,1,1,1,0,1,0,0,0,2,2,0,0,117881,CYP10010724
2009,CYP,10010725,3.3333333333,1,1,1,1,0,1,1,0,1,1,0,0,0,3,2,2,1,117882,CYP10010725
2009,CYP,10020101,2.4230769231,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,1,1,117883,CYP10020101
2009,CYP,10020102,2.4230769231,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2,1,1,117884,CYP10020102
2009,CYP,10020103,2.4230769231,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,1,1,117885,CYP10020103
2009,CYP,10020104,2.4230769231,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,117886,CYP10020104
2009,CYP,10020105,2.4230769231,1,1,1,0,1,1,1,1,1,0,0,1,0,3,2,1,1,117887,CYP10020105
2009,CYP,10020106,2.4230769231,1,1,1,1,1,1,0,1,1,1,1,1,1,3,2,1,2,117888,CYP10020106
2009,CYP,10020107,2.4230769231,0,1,1,1,1,1,1,0,1,1,1,1,0,2,1,2,1,117889,CYP10020107
2009,CYP,10020108,2.4230769231,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,117890,CYP10020108
2009,CYP,10020109,2.4230769231,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,117891,CYP10020109
2009,CYP,10020110,2.4230769231,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,117892,CYP10020110
2009,CYP,10020111,2.4230769231,1,1,NA,1,0,1,1,1,1,1,1,0,1,3,2,2,2,117893,CYP10020111
2009,CYP,10020112,2.4230769231,1,1,1,1,1,1,1,0,1,1,1,1,0,1,2,2,2,117894,CYP10020112
2009,CYP,10020113,2.4230769231,1,1,1,0,1,1,1,1,0,1,1,0,0,3,2,2,2,117895,CYP10020113
2009,CYP,10020114,2.4230769231,1,0,0,1,1,1,1,1,1,1,1,0,0,1,2,2,2,117896,CYP10020114
2009,CYP,10020115,2.4230769231,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,117897,CYP10020115
2009,CYP,10020116,2.4230769231,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,0,117898,CYP10020116
