ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
1999,DEU,101010101,43.377049,important,important,important,important,not important,important,important,important,important,important,not important,not important,0,2,1,0,NA,28723,DEU101010101
1999,DEU,101010102,43.377049,important,important,important,important,important,important,important,important,not important,not important,not important,not important,0,0,2,0,0,28724,DEU101010102
1999,DEU,101010103,43.377049,important,important,important,important,important,important,important,NA,important,NA,NA,important,0,1,0,0,0,28725,DEU101010103
1999,DEU,101010104,43.377049,important,important,not important,not important,not important,not important,important,not important,important,important,not important,NA,0,1,1,1,1,28726,DEU101010104
1999,DEU,101010105,43.377049,important,important,important,important,important,important,important,important,important,important,important,important,1,2,0,0,0,28727,DEU101010105
1999,DEU,101010106,43.377049,important,important,important,important,important,not important,important,important,not important,important,not important,not important,0,1,0,0,0,28728,DEU101010106
1999,DEU,101020101,12.079339,important,important,important,important,important,important,important,important,important,not important,important,not important,1,1,0,0,NA,28729,DEU101020101
1999,DEU,101020102,12.079339,important,important,important,important,important,important,important,important,not important,not important,important,important,1,0,0,0,NA,28730,DEU101020102
1999,DEU,101020103,12.079339,important,important,important,important,important,NA,important,NA,important,NA,NA,NA,1,1,NA,0,NA,28731,DEU101020103
1999,DEU,101020104,12.079339,important,important,important,important,important,NA,important,NA,important,NA,NA,NA,1,0,NA,0,0,28732,DEU101020104
1999,DEU,101020105,12.079339,NA,important,not important,important,not important,not important,NA,NA,not important,NA,NA,not important,0,1,0,NA,NA,28733,DEU101020105
1999,DEU,101020106,12.079339,important,important,important,important,important,important,important,important,not important,not important,important,not important,0,3,0,NA,NA,28734,DEU101020106
1999,DEU,101020107,12.079339,important,important,important,important,important,important,important,important,important,important,important,important,0,0,0,0,0,28735,DEU101020107
1999,DEU,101020108,12.079339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28736,DEU101020108
1999,DEU,101020109,12.079339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28737,DEU101020109
1999,DEU,101020110,12.079339,important,important,important,important,important,NA,important,NA,important,NA,important,important,1,1,0,0,0,28738,DEU101020110
1999,DEU,101020111,12.079339,important,important,important,important,important,important,important,important,important,important,important,important,1,3,0,NA,NA,28739,DEU101020111
1999,DEU,101020112,12.079339,important,important,important,not important,not important,important,important,important,important,not important,not important,important,1,2,0,NA,NA,28740,DEU101020112
1999,DEU,101020113,12.079339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28741,DEU101020113
1999,DEU,101020114,12.079339,important,important,important,important,important,important,not important,important,important,not important,important,important,0,3,2,1,0,28742,DEU101020114
1999,DEU,101020115,12.079339,important,important,important,important,important,important,important,important,important,important,important,important,0,1,0,NA,NA,28743,DEU101020115
1999,DEU,101020116,12.079339,important,important,not important,important,not important,important,not important,not important,important,important,not important,not important,0,1,0,NA,NA,28744,DEU101020116
1999,DEU,101020117,12.079339,important,not important,important,not important,not important,important,not important,important,not important,NA,not important,not important,1,1,0,0,0,28745,DEU101020117
1999,DEU,101020118,12.079339,important,not important,important,important,important,important,important,not important,important,not important,not important,important,1,0,0,0,NA,28746,DEU101020118
1999,DEU,101020119,12.079339,important,important,not important,important,important,NA,important,not important,important,important,not important,NA,0,1,0,0,0,28747,DEU101020119
1999,DEU,101020120,12.079339,not important,not important,not important,not important,NA,not important,not important,important,not important,not important,important,not important,1,1,0,NA,NA,28748,DEU101020120
1999,DEU,101020121,12.079339,important,important,important,important,not important,not important,not important,not important,important,not important,important,not important,0,1,2,NA,0,28749,DEU101020121
1999,DEU,101020122,12.079339,important,important,important,important,important,important,important,important,important,not important,not important,important,0,0,0,0,0,28750,DEU101020122
