ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2016,DNK,10010102,13.850861,1,0,1,1,1,1,1,1,1,1,1,0,1,2,2,2,1,251120,DNK10010102
2016,DNK,10010103,13.850861,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,251121,DNK10010103
2016,DNK,10010104,13.850861,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,251122,DNK10010104
2016,DNK,10010105,13.850861,1,1,0,1,1,1,1,1,1,0,0,1,1,1,2,0,2,251123,DNK10010105
2016,DNK,10010106,13.850861,NA,1,NA,1,1,1,1,1,1,0,0,1,1,1,2,2,1,251124,DNK10010106
2016,DNK,10010108,13.850861,1,1,1,1,1,0,1,1,1,0,1,1,1,0,2,1,1,251125,DNK10010108
2016,DNK,10010109,13.850861,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,NA,251126,DNK10010109
2016,DNK,10010112,13.850861,1,1,0,1,1,1,1,1,1,0,0,0,1,1,2,1,1,251127,DNK10010112
2016,DNK,10010113,13.850861,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,251128,DNK10010113
2016,DNK,10010115,13.850861,1,0,1,1,0,1,1,0,0,0,1,0,1,2,1,0,NA,251129,DNK10010115
2016,DNK,10010116,13.850861,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,251130,DNK10010116
2016,DNK,10010117,13.850861,1,1,1,1,1,1,0,1,0,1,0,0,1,1,2,0,1,251131,DNK10010117
2016,DNK,10010118,13.850861,1,0,0,1,0,1,1,1,1,0,0,0,1,2,2,2,2,251132,DNK10010118
2016,DNK,10010119,13.850861,1,1,1,1,1,1,0,0,0,1,0,0,1,1,2,2,2,251133,DNK10010119
2016,DNK,10010121,13.850861,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2,2,1,251134,DNK10010121
2016,DNK,10010122,13.850861,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,NA,NA,251135,DNK10010122
2016,DNK,10010123,13.850861,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,2,251136,DNK10010123
2016,DNK,10010124,13.850861,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,251137,DNK10010124
2016,DNK,10030201,10.163294,1,1,1,0,1,0,1,1,1,1,1,0,1,0,2,1,0,251138,DNK10030201
2016,DNK,10030202,10.163294,1,1,1,0,1,1,0,0,0,1,0,1,1,3,1,1,1,251139,DNK10030202
2016,DNK,10030203,10.163294,1,0,0,1,0,1,0,1,1,0,0,0,1,2,2,2,2,251140,DNK10030203
2016,DNK,10030204,10.163294,1,1,0,1,1,1,0,1,1,1,0,0,1,1,2,2,1,251141,DNK10030204
2016,DNK,10030205,10.163294,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,2,1,251142,DNK10030205
2016,DNK,10030206,10.163294,1,1,1,1,1,1,1,1,1,0,1,0,1,1,2,1,0,251143,DNK10030206
2016,DNK,10030207,10.163294,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,251144,DNK10030207
2016,DNK,10030208,10.163294,1,1,1,1,0,1,1,1,1,0,0,0,1,1,2,2,1,251145,DNK10030208
2016,DNK,10030209,10.163294,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,251146,DNK10030209
2016,DNK,10030210,10.163294,1,1,0,1,1,1,1,1,1,1,0,0,1,3,2,2,1,251147,DNK10030210
2016,DNK,10030211,10.163294,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,2,251148,DNK10030211
2016,DNK,10030212,10.163294,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,251149,DNK10030212
2016,DNK,10030213,10.163294,1,1,0,1,0,1,1,1,1,0,0,0,1,1,2,2,1,251150,DNK10030213
2016,DNK,10030214,10.163294,1,1,0,1,1,1,0,0,1,1,0,1,1,1,2,1,1,251151,DNK10030214
2016,DNK,10030215,10.163294,1,1,0,NA,1,1,1,1,1,0,0,0,1,1,2,1,2,251152,DNK10030215
2016,DNK,10030216,10.163294,1,0,0,1,0,1,0,1,1,0,0,0,1,2,2,2,2,251153,DNK10030216
