ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2016,DNW,10010301,101.500004,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,2,2,257374,DNW10010301
2016,DNW,10010302,101.500004,1,1,1,0,NA,0,1,1,1,1,0,0,1,2,2,0,0,257375,DNW10010302
2016,DNW,10010303,101.500004,1,1,1,1,1,0,1,1,0,1,1,0,1,NA,1,0,0,257376,DNW10010303
2016,DNW,10010304,101.500004,1,1,1,1,1,0,1,1,1,0,0,0,1,3,2,0,0,257377,DNW10010304
2016,DNW,10010305,101.500004,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,257378,DNW10010305
2016,DNW,10010306,101.500004,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,257379,DNW10010306
2016,DNW,10010307,101.500004,1,1,1,0,0,0,0,1,0,1,0,0,1,3,1,0,1,257380,DNW10010307
2016,DNW,10010308,101.500004,1,1,1,1,1,0,1,1,1,0,0,0,1,2,1,0,0,257381,DNW10010308
2016,DNW,10010309,101.500004,1,1,1,1,1,1,1,1,0,1,0,1,1,2,0,0,0,257382,DNW10010309
2016,DNW,10010310,101.500004,1,1,1,1,1,1,1,NA,1,0,0,0,1,3,2,1,2,257383,DNW10010310
2016,DNW,10010311,101.500004,1,1,1,0,1,0,1,1,1,0,1,0,1,3,1,1,1,257384,DNW10010311
2016,DNW,10010312,101.500004,1,1,1,NA,0,1,1,1,1,1,1,1,1,2,1,0,0,257385,DNW10010312
2016,DNW,10010313,101.500004,1,0,0,1,NA,1,1,1,1,0,0,0,1,0,NA,0,NA,257386,DNW10010313
2016,DNW,10010314,101.500004,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,257387,DNW10010314
2016,DNW,10010315,101.500004,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,257388,DNW10010315
2016,DNW,10010316,101.500004,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,257389,DNW10010316
2016,DNW,10010317,101.500004,1,1,1,0,0,1,0,1,0,1,0,0,1,1,1,2,0,257390,DNW10010317
2016,DNW,10010318,101.500004,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,257391,DNW10010318
2016,DNW,10010319,101.500004,1,1,1,1,1,1,1,1,1,1,1,0,1,2,NA,2,0,257392,DNW10010319
2016,DNW,10010320,101.500004,1,1,0,1,1,1,1,1,1,1,0,0,1,1,2,1,0,257393,DNW10010320
2016,DNW,10010321,101.500004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,257394,DNW10010321
2016,DNW,10010323,101.500004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,257395,DNW10010323
2016,DNW,10010324,101.500004,1,1,0,1,0,1,1,0,1,0,0,0,1,2,1,1,1,257396,DNW10010324
2016,DNW,10010326,101.500004,1,1,1,0,1,1,1,1,1,1,0,0,1,0,NA,NA,NA,257397,DNW10010326
2016,DNW,10010327,101.500004,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,2,NA,257398,DNW10010327
2016,DNW,10010328,101.500004,1,1,1,1,1,1,0,1,0,0,0,0,1,3,1,1,1,257399,DNW10010328
2016,DNW,10010329,101.500004,1,1,1,1,1,1,1,1,1,1,0,0,1,2,1,2,0,257400,DNW10010329
