ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2016,DOM,10010101,62.740566,1,1,NA,1,1,0,1,1,1,1,1,1,1,1,2,2,2,258825,DOM10010101
2016,DOM,10010102,62.740566,1,1,1,1,1,1,NA,1,1,1,0,0,1,1,2,2,2,258826,DOM10010102
2016,DOM,10010103,62.740566,1,1,1,0,1,1,NA,1,0,1,1,1,1,0,2,1,2,258827,DOM10010103
2016,DOM,10010104,62.740566,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,2,258828,DOM10010104
2016,DOM,10010105,62.740566,1,1,1,1,1,1,1,0,1,1,0,NA,1,1,2,2,2,258829,DOM10010105
2016,DOM,10010106,62.740566,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,0,2,1,1,258830,DOM10010106
2016,DOM,10010107,62.740566,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,258831,DOM10010107
2016,DOM,10010108,62.740566,1,0,1,1,NA,NA,1,NA,1,NA,NA,0,1,1,2,2,2,258832,DOM10010108
2016,DOM,10010109,62.740566,1,0,1,1,1,0,1,1,1,1,1,0,1,2,2,2,2,258833,DOM10010109
2016,DOM,10010110,62.740566,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,258834,DOM10010110
2016,DOM,10010111,62.740566,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2,258835,DOM10010111
2016,DOM,10010112,62.740566,1,1,1,1,1,0,0,1,0,1,0,NA,1,1,2,2,1,258836,DOM10010112
2016,DOM,10020201,54.656056,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,0,0,258837,DOM10020201
2016,DOM,10020202,54.656056,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,258838,DOM10020202
2016,DOM,10020203,54.656056,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,0,0,258839,DOM10020203
2016,DOM,10020204,54.656056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,258840,DOM10020204
2016,DOM,10020205,54.656056,1,1,1,1,1,1,1,0,1,1,NA,1,1,1,2,0,0,258841,DOM10020205
2016,DOM,10020206,54.656056,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,258842,DOM10020206
2016,DOM,10020207,54.656056,1,1,1,1,1,0,0,1,1,0,1,1,1,3,2,NA,NA,258843,DOM10020207
2016,DOM,10020208,54.656056,1,1,1,1,1,0,1,0,1,0,0,0,1,1,NA,1,1,258844,DOM10020208
2016,DOM,10020210,54.656056,NA,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,258845,DOM10020210
2016,DOM,10020211,54.656056,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,258846,DOM10020211
2016,DOM,10020213,54.656056,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,258847,DOM10020213
2016,DOM,10020214,54.656056,1,NA,1,0,1,1,1,1,1,0,1,1,1,1,2,0,1,258848,DOM10020214
2016,DOM,10020215,54.656056,1,1,1,1,1,0,1,NA,0,0,0,0,1,1,0,1,1,258849,DOM10020215
2016,DOM,10030401,44.462362,NA,NA,1,1,1,1,1,1,1,1,0,1,1,0,1,2,1,258850,DOM10030401
2016,DOM,10030402,44.462362,1,1,1,0,1,1,1,1,1,0,0,0,1,1,NA,0,1,258851,DOM10030402
2016,DOM,10030403,44.462362,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,258852,DOM10030403
2016,DOM,10030404,44.462362,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,258853,DOM10030404
2016,DOM,10030405,44.462362,1,1,1,1,1,0,1,1,0,1,0,0,1,1,2,1,1,258854,DOM10030405
2016,DOM,10030407,44.462362,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,0,1,258855,DOM10030407
2016,DOM,10030408,44.462362,1,1,0,1,1,0,1,1,1,0,0,0,1,0,2,0,0,258856,DOM10030408
