ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2009,ENG,10011301,214.6634864839,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,134734,ENG10011301
2009,ENG,10011302,214.6634864839,1,0,0,1,0,1,0,0,0,1,0,0,0,2,2,2,2,134735,ENG10011302
2009,ENG,10011303,214.6634864839,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,0,1,134736,ENG10011303
2009,ENG,10011304,214.6634864839,1,1,1,1,0,1,1,1,1,0,0,0,0,3,2,1,1,134737,ENG10011304
2009,ENG,10011305,214.6634864839,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,134738,ENG10011305
2009,ENG,10011306,214.6634864839,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,134739,ENG10011306
2009,ENG,10011307,214.6634864839,1,1,1,1,1,0,1,1,NA,1,1,0,0,1,2,2,2,134740,ENG10011307
2009,ENG,10011308,214.6634864839,1,1,1,NA,0,1,1,NA,1,0,1,1,0,3,2,2,1,134741,ENG10011308
2009,ENG,10011309,214.6634864839,NA,NA,0,1,NA,0,1,0,1,0,0,0,1,1,2,1,1,134742,ENG10011309
2009,ENG,10011310,214.6634864839,1,1,1,1,1,0,1,1,0,0,1,0,0,1,2,0,NA,134743,ENG10011310
2009,ENG,10011311,214.6634864839,1,NA,1,1,1,1,0,0,1,1,1,0,1,3,2,NA,2,134744,ENG10011311
2009,ENG,10011312,214.6634864839,0,1,1,1,NA,1,0,1,0,1,0,0,0,1,2,2,1,134745,ENG10011312
2009,ENG,10011313,214.6634864839,1,0,1,1,0,1,0,1,0,0,0,0,0,1,2,1,2,134746,ENG10011313
2009,ENG,10011314,214.6634864839,0,1,1,1,1,1,0,0,1,1,0,0,0,2,2,2,1,134747,ENG10011314
2009,ENG,10011315,214.6634864839,1,0,1,1,1,NA,1,1,0,0,0,0,0,1,1,1,1,134748,ENG10011315
2009,ENG,10011316,214.6634864839,1,0,0,1,0,1,1,1,1,0,0,0,0,2,2,2,2,134749,ENG10011316
2009,ENG,10011317,214.6634864839,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,134750,ENG10011317
2009,ENG,10011318,214.6634864839,1,1,1,1,1,1,1,1,1,1,1,1,0,3,2,1,1,134751,ENG10011318
2009,ENG,10011319,214.6634864839,1,0,NA,1,1,0,NA,1,1,0,0,0,1,2,1,NA,NA,134752,ENG10011319
2009,ENG,10011320,214.6634864839,1,1,0,1,1,1,0,0,0,0,0,0,0,NA,1,1,2,134753,ENG10011320
2009,ENG,10011321,214.6634864839,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,1,1,134754,ENG10011321
2009,ENG,10011322,214.6634864839,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,NA,134755,ENG10011322
2009,ENG,10011323,214.6634864839,1,1,0,1,0,0,0,1,1,0,1,0,0,2,1,NA,NA,134756,ENG10011323
2009,ENG,10011324,214.6634864839,0,1,0,1,0,1,0,0,1,1,0,0,0,1,2,NA,NA,134757,ENG10011324
2009,ENG,10011325,214.6634864839,1,1,NA,NA,1,1,1,NA,0,NA,0,0,1,1,2,NA,NA,134758,ENG10011325
2009,ENG,10011327,214.6634864839,1,1,1,1,1,1,0,1,1,0,0,0,1,3,2,2,2,134759,ENG10011327
2009,ENG,10050201,216.1237876498,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,1,134760,ENG10050201
2009,ENG,10050202,216.1237876498,1,0,0,1,1,1,1,NA,1,1,NA,1,0,1,1,0,NA,134761,ENG10050202
2009,ENG,10050203,216.1237876498,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,2,134762,ENG10050203
2009,ENG,10050204,216.1237876498,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,134763,ENG10050204
