ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2009,ESP,10010601,135.4247428948,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2,0,0,137650,ESP10010601
2009,ESP,10010602,135.4247428948,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,137651,ESP10010602
2009,ESP,10010603,135.4247428948,1,1,1,1,1,0,1,1,1,0,0,0,0,1,2,1,2,137652,ESP10010603
2009,ESP,10010604,135.4247428948,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,137653,ESP10010604
2009,ESP,10010605,135.4247428948,1,1,1,1,0,1,1,1,0,1,1,1,0,1,2,0,0,137654,ESP10010605
2009,ESP,10010607,135.4247428948,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2,2,0,137655,ESP10010607
2009,ESP,10010608,135.4247428948,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,137656,ESP10010608
2009,ESP,10010609,135.4247428948,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,137657,ESP10010609
2009,ESP,10010610,135.4247428948,1,1,1,1,1,1,0,0,0,1,1,0,0,1,2,0,0,137658,ESP10010610
2009,ESP,10010611,135.4247428948,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,2,137659,ESP10010611
2009,ESP,10010612,135.4247428948,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,0,1,137660,ESP10010612
2009,ESP,10010613,135.4247428948,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,137661,ESP10010613
2009,ESP,10010614,135.4247428948,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,137662,ESP10010614
2009,ESP,10010615,135.4247428948,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,0,137663,ESP10010615
2009,ESP,10010619,135.4247428948,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,2,0,137664,ESP10010619
2009,ESP,10010620,135.4247428948,1,1,1,1,1,1,1,1,0,1,1,0,1,0,2,0,1,137665,ESP10010620
2009,ESP,10010622,135.4247428948,1,1,1,1,1,0,1,1,1,1,1,0,0,1,2,0,0,137666,ESP10010622
2009,ESP,10010623,135.4247428948,0,0,1,1,NA,0,0,0,0,0,0,0,1,2,0,0,0,137667,ESP10010623
2009,ESP,10010624,135.4247428948,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,137668,ESP10010624
2009,ESP,10020102,127.544039951,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,NA,0,137669,ESP10020102
2009,ESP,10020103,127.544039951,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,0,137670,ESP10020103
2009,ESP,10020104,127.544039951,1,1,0,1,1,1,1,1,1,1,1,0,0,1,2,0,0,137671,ESP10020104
