ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
1999,EST,20201,4.198872,1,1,1,0,1,1,0,0,1,1,1,1,NA,3,1,2,2,38674,EST20201
1999,EST,20202,4.198872,1,1,1,1,1,1,1,1,1,1,1,NA,1,2,0,NA,NA,38675,EST20202
1999,EST,20204,4.198872,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,2,2,38676,EST20204
1999,EST,20205,4.198872,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,38677,EST20205
1999,EST,20207,4.198872,1,NA,1,1,1,0,1,0,1,1,NA,0,1,3,2,1,2,38678,EST20207
1999,EST,20210,4.198872,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,NA,NA,38679,EST20210
1999,EST,20212,4.198872,1,1,1,1,1,0,1,1,1,1,1,1,1,2,0,0,NA,38680,EST20212
1999,EST,20213,4.198872,1,NA,NA,0,0,1,0,1,0,1,NA,0,1,2,1,2,0,38681,EST20213
1999,EST,20214,4.198872,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,38682,EST20214
1999,EST,20215,4.198872,1,1,1,1,0,0,0,0,0,0,0,0,1,3,1,2,NA,38683,EST20215
1999,EST,20217,4.198872,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,38684,EST20217
1999,EST,20219,4.198872,1,1,1,0,0,0,NA,1,0,NA,0,0,1,1,0,1,1,38685,EST20219
1999,EST,20220,4.198872,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,NA,38686,EST20220
1999,EST,20222,4.198872,1,NA,1,1,0,1,0,NA,1,1,1,NA,1,3,1,2,0,38687,EST20222
1999,EST,20223,4.198872,1,1,1,1,1,1,1,1,0,0,NA,0,1,2,2,2,1,38688,EST20223
1999,EST,20228,4.198872,1,1,1,1,0,0,NA,NA,0,0,NA,0,1,3,1,2,2,38689,EST20228
1999,EST,20234,4.198872,1,1,1,1,1,0,1,1,1,1,0,0,1,3,1,2,2,38690,EST20234
1999,EST,30202,4.73098,1,1,1,0,1,1,1,1,1,NA,NA,0,1,1,1,0,NA,38691,EST30202
1999,EST,30203,4.73098,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,2,2,38692,EST30203
1999,EST,30205,4.73098,1,1,1,1,1,1,1,0,1,1,0,0,1,2,2,1,1,38693,EST30205
1999,EST,30206,4.73098,1,1,1,1,0,0,0,1,1,1,0,0,1,3,1,2,1,38694,EST30206
1999,EST,30209,4.73098,1,1,1,1,0,0,1,0,1,1,1,0,1,2,0,NA,NA,38695,EST30209
1999,EST,30212,4.73098,1,1,0,0,1,1,0,0,1,0,0,1,1,3,0,NA,NA,38696,EST30212
1999,EST,30216,4.73098,1,1,0,0,0,0,1,0,0,0,0,0,1,3,1,2,2,38697,EST30216
1999,EST,30217,4.73098,1,1,1,0,0,1,1,1,1,0,0,0,1,3,1,2,NA,38698,EST30217
1999,EST,30219,4.73098,1,0,1,0,1,0,1,1,0,1,NA,0,1,2,1,2,2,38699,EST30219
1999,EST,30220,4.73098,1,1,0,1,0,0,0,0,1,NA,0,0,1,3,2,2,1,38700,EST30220
1999,EST,30221,4.73098,1,1,1,1,1,1,1,1,1,0,0,0,1,2,1,2,2,38701,EST30221
1999,EST,30222,4.73098,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,2,38702,EST30222
1999,EST,30223,4.73098,1,1,1,NA,1,1,1,1,1,NA,NA,NA,1,2,2,0,0,38703,EST30223
1999,EST,30224,4.73098,1,0,1,1,0,0,1,1,1,NA,0,0,1,3,2,NA,NA,38704,EST30224
1999,EST,30225,4.73098,1,1,1,1,1,1,1,1,1,0,0,0,1,3,1,0,NA,38705,EST30225
1999,EST,40101,5.108401,1,1,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,2,0,38706,EST40101
1999,EST,40102,5.108401,1,NA,0,1,1,1,1,1,1,0,NA,1,1,2,1,2,2,38707,EST40102
1999,EST,40104,5.108401,1,1,1,1,1,1,1,1,0,1,0,0,1,3,2,2,1,38708,EST40104
1999,EST,40106,5.108401,1,1,1,0,1,1,1,0,0,1,0,0,1,2,1,2,2,38709,EST40106
1999,EST,40107,5.108401,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,2,38710,EST40107
1999,EST,40108,5.108401,1,1,1,1,1,1,0,1,1,1,0,0,1,3,2,2,2,38711,EST40108
1999,EST,40113,5.108401,1,1,0,1,0,0,0,0,1,1,NA,0,1,2,1,1,2,38712,EST40113
1999,EST,40115,5.108401,0,0,1,1,0,1,1,1,0,1,0,0,1,2,0,1,1,38713,EST40115
1999,EST,40116,5.108401,1,1,1,1,0,1,1,1,1,0,0,0,1,3,2,2,2,38714,EST40116
1999,EST,40119,5.108401,1,1,0,0,1,1,NA,1,0,1,1,0,1,2,0,NA,NA,38715,EST40119
1999,EST,40120,5.108401,1,NA,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,38716,EST40120
1999,EST,40121,5.108401,0,1,1,1,1,0,1,1,1,1,0,0,1,3,0,2,NA,38717,EST40121
1999,EST,40127,5.108401,1,0,1,0,0,1,1,0,0,0,0,0,1,3,0,1,1,38718,EST40127
1999,EST,50101,3.531202,1,0,1,1,1,1,1,1,1,0,0,0,1,2,0,NA,0,38719,EST50101
1999,EST,50102,3.531202,1,NA,0,1,0,1,0,NA,1,NA,NA,0,1,2,1,2,NA,38720,EST50102
1999,EST,50105,3.531202,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,2,2,38721,EST50105
1999,EST,50107,3.531202,1,0,1,1,1,1,1,1,1,1,0,0,1,3,NA,NA,NA,38722,EST50107
1999,EST,50108,3.531202,1,1,0,1,1,0,0,0,0,0,0,0,1,2,1,NA,NA,38723,EST50108
1999,EST,50111,3.531202,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,NA,NA,38724,EST50111
1999,EST,50112,3.531202,1,1,1,0,1,1,1,1,1,0,0,0,1,3,1,NA,NA,38725,EST50112
1999,EST,50114,3.531202,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,NA,NA,38726,EST50114
1999,EST,50118,3.531202,1,1,1,1,1,1,1,0,1,NA,NA,0,1,2,1,1,1,38727,EST50118
1999,EST,50119,3.531202,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,38728,EST50119
1999,EST,50120,3.531202,1,1,1,1,1,1,1,0,1,0,0,0,1,3,1,2,NA,38729,EST50120
1999,EST,50123,3.531202,1,1,1,1,1,1,1,1,1,0,1,0,1,2,1,NA,NA,38730,EST50123
1999,EST,50124,3.531202,1,1,NA,1,1,0,1,1,0,1,NA,0,1,1,1,NA,NA,38731,EST50124
1999,EST,50125,3.531202,1,1,1,1,0,1,1,0,1,1,NA,0,1,2,1,2,NA,38732,EST50125
1999,EST,50128,3.531202,1,1,1,1,1,1,1,0,1,0,0,0,1,2,1,2,1,38733,EST50128
1999,EST,50130,3.531202,1,1,1,1,1,1,1,0,1,1,NA,0,1,3,1,NA,NA,38734,EST50130
1999,EST,50132,3.531202,1,1,1,1,1,1,1,1,1,0,0,0,1,3,0,1,1,38735,EST50132
1999,EST,50133,3.531202,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,NA,38736,EST50133
1999,EST,50135,3.531202,1,1,1,1,0,1,1,1,1,1,0,0,1,3,1,NA,NA,38737,EST50135
1999,EST,60205,4.647436,1,1,1,1,0,1,0,1,1,0,NA,0,1,2,1,2,2,38738,EST60205
1999,EST,60207,4.647436,1,1,1,0,1,1,1,1,1,0,1,0,1,2,1,2,2,38739,EST60207
1999,EST,60208,4.647436,1,NA,0,1,1,1,1,NA,1,0,NA,NA,1,3,0,2,NA,38740,EST60208
1999,EST,60210,4.647436,1,1,1,1,1,1,1,0,1,0,0,0,1,3,1,NA,1,38741,EST60210
1999,EST,60213,4.647436,0,1,1,1,1,1,1,1,0,NA,1,1,1,3,1,2,2,38742,EST60213
1999,EST,60214,4.647436,1,1,1,1,1,1,1,1,1,NA,1,0,1,3,1,2,2,38743,EST60214
1999,EST,60215,4.647436,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,2,38744,EST60215
1999,EST,60216,4.647436,1,1,1,1,1,1,1,1,1,0,0,0,1,3,1,2,2,38745,EST60216
1999,EST,60218,4.647436,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,2,1,38746,EST60218
1999,EST,60220,4.647436,1,1,1,1,1,1,1,1,1,NA,1,1,1,2,1,NA,NA,38747,EST60220
1999,EST,60222,4.647436,1,1,1,0,1,1,1,1,1,1,1,0,1,2,1,2,2,38748,EST60222
1999,EST,60225,4.647436,1,1,1,1,0,0,0,1,1,0,0,0,1,3,2,1,1,38749,EST60225
1999,EST,60228,4.647436,1,0,1,1,1,1,1,1,1,0,0,0,1,3,2,2,1,38750,EST60228
1999,EST,60229,4.647436,1,1,1,1,1,1,1,1,0,0,0,0,1,2,1,2,NA,38751,EST60229
1999,EST,60230,4.647436,1,1,1,0,1,0,1,1,1,0,0,0,1,3,2,2,1,38752,EST60230
1999,EST,70101,4.444444,1,NA,1,1,0,1,1,1,1,0,NA,0,1,3,1,0,0,38753,EST70101
1999,EST,70104,4.444444,1,1,1,1,0,1,0,1,0,0,NA,0,1,3,0,0,0,38754,EST70104
1999,EST,70109,4.444444,1,1,0,0,0,1,0,1,0,1,1,0,1,3,1,1,2,38755,EST70109
1999,EST,70111,4.444444,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,2,38756,EST70111
1999,EST,70112,4.444444,1,1,1,1,1,1,0,1,1,0,0,0,1,3,2,2,2,38757,EST70112
1999,EST,70113,4.444444,1,1,1,0,0,1,1,1,1,1,0,0,1,3,1,2,2,38758,EST70113
1999,EST,70114,4.444444,1,0,1,1,1,1,0,1,1,0,0,1,1,2,0,0,0,38759,EST70114
1999,EST,70118,4.444444,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,NA,NA,38760,EST70118
1999,EST,70119,4.444444,1,NA,NA,1,NA,1,0,1,0,0,NA,NA,1,3,0,NA,NA,38761,EST70119
1999,EST,70122,4.444444,1,1,1,1,1,1,1,1,1,1,NA,1,1,3,2,2,0,38762,EST70122
1999,EST,70127,4.444444,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,2,2,38763,EST70127
1999,EST,70128,4.444444,1,1,1,1,1,1,1,NA,1,1,1,0,1,3,1,0,0,38764,EST70128
1999,EST,70130,4.444444,1,1,1,0,0,1,1,1,0,1,NA,0,1,3,1,2,0,38765,EST70130
1999,EST,90204,4.899285,1,1,1,1,0,0,0,0,1,NA,0,0,1,2,0,1,2,38766,EST90204
1999,EST,90205,4.899285,1,0,1,1,0,0,0,1,0,0,0,0,1,3,0,1,0,38767,EST90205
1999,EST,90207,4.899285,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,38768,EST90207
