ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
1999,FIN,20501,34.892128,important,important,not important,important,important,important,important,not important,important,important,important,not important,1,3,1,2,0,42108,FIN20501
1999,FIN,20502,34.892128,important,important,important,important,important,important,important,important,important,not important,not important,not important,1,1,0,0,0,42109,FIN20502
1999,FIN,20506,34.892128,important,important,important,important,important,important,important,important,important,important,not important,not important,1,1,1,1,1,42110,FIN20506
1999,FIN,20507,34.892128,important,NA,important,important,important,important,important,not important,not important,not important,not important,not important,1,2,1,2,2,42111,FIN20507
1999,FIN,20509,34.892128,important,not important,important,important,not important,not important,important,important,important,not important,not important,not important,1,1,2,0,0,42112,FIN20509
1999,FIN,20512,34.892128,important,important,important,not important,important,important,important,important,important,important,important,NA,1,3,0,2,2,42113,FIN20512
1999,FIN,20514,34.892128,important,important,important,important,important,important,important,important,not important,not important,important,not important,1,3,1,2,2,42114,FIN20514
1999,FIN,20516,34.892128,important,NA,important,important,important,important,important,not important,important,not important,not important,not important,1,NA,NA,NA,NA,42115,FIN20516
1999,FIN,30203,29.904051,important,not important,important,important,important,not important,important,not important,not important,not important,not important,not important,1,1,0,0,2,42116,FIN30203
1999,FIN,30204,29.904051,important,important,not important,important,not important,important,not important,important,not important,not important,not important,not important,1,2,0,0,0,42117,FIN30204
1999,FIN,30206,29.904051,important,important,not important,important,important,important,not important,important,important,not important,important,not important,1,1,1,NA,2,42118,FIN30206
1999,FIN,30210,29.904051,important,important,important,important,important,important,important,not important,important,not important,important,important,1,1,1,2,0,42119,FIN30210
1999,FIN,30214,29.904051,important,important,important,important,important,not important,not important,important,not important,not important,important,not important,1,1,1,2,2,42120,FIN30214
1999,FIN,30215,29.904051,important,important,important,important,important,not important,important,important,not important,not important,not important,not important,1,3,1,0,1,42121,FIN30215
1999,FIN,40401,22.040816,important,important,important,important,important,important,not important,not important,important,not important,not important,not important,1,1,0,2,2,42122,FIN40401
1999,FIN,40403,22.040816,not important,not important,not important,not important,important,not important,not important,not important,not important,not important,not important,not important,1,1,NA,NA,NA,42123,FIN40403
1999,FIN,40404,22.040816,important,important,important,important,important,not important,important,important,not important,important,not important,not important,1,2,1,2,2,42124,FIN40404
1999,FIN,40407,22.040816,important,important,not important,important,important,important,not important,not important,important,important,important,not important,1,1,0,0,0,42125,FIN40407
1999,FIN,40411,22.040816,important,not important,important,important,important,important,not important,important,important,NA,not important,not important,1,1,1,1,NA,42126,FIN40411
1999,FIN,40412,22.040816,important,important,not important,important,NA,important,important,not important,important,important,not important,not important,1,3,1,2,2,42127,FIN40412
1999,FIN,40415,22.040816,important,NA,important,important,important,important,important,important,NA,important,important,important,1,3,0,NA,NA,42128,FIN40415
1999,FIN,40417,22.040816,important,important,important,important,important,important,important,important,important,important,not important,not important,1,2,1,2,2,42129,FIN40417
1999,FIN,40418,22.040816,important,important,not important,NA,important,not important,not important,not important,not important,important,not important,not important,1,NA,NA,0,NA,42130,FIN40418
1999,FIN,50501,19.150026,important,important,important,not important,important,not important,important,important,not important,important,not important,not important,1,1,0,2,2,42131,FIN50501
1999,FIN,50502,19.150026,important,important,not important,important,not important,not important,important,not important,important,not important,not important,not important,1,1,2,0,0,42132,FIN50502
1999,FIN,50503,19.150026,important,important,important,important,important,important,not important,NA,important,not important,not important,not important,1,1,0,0,0,42133,FIN50503
1999,FIN,50506,19.150026,important,important,important,important,important,important,not important,not important,important,important,not important,not important,1,2,0,0,0,42134,FIN50506
1999,FIN,50512,19.150026,important,important,important,important,important,important,important,not important,important,not important,important,not important,1,1,1,2,2,42135,FIN50512
1999,FIN,50514,19.150026,important,important,important,important,important,not important,important,not important,not important,important,not important,not important,1,1,1,0,2,42136,FIN50514
1999,FIN,50515,19.150026,important,important,not important,important,important,important,important,important,important,not important,not important,not important,1,3,1,2,2,42137,FIN50515
1999,FIN,50516,19.150026,important,not important,not important,important,important,not important,important,important,not important,not important,not important,not important,1,3,1,2,2,42138,FIN50516
1999,FIN,60702,20.423766,important,not important,not important,not important,important,not important,important,important,not important,not important,not important,not important,1,3,2,2,0,42139,FIN60702
1999,FIN,60703,20.423766,important,not important,important,important,important,not important,important,important,important,important,not important,not important,1,3,1,2,2,42140,FIN60703
1999,FIN,60704,20.423766,not important,important,important,important,important,not important,important,not important,important,important,important,not important,1,3,0,2,2,42141,FIN60704
1999,FIN,60706,20.423766,important,important,not important,important,important,important,important,not important,important,not important,not important,important,1,2,1,2,0,42142,FIN60706
1999,FIN,60707,20.423766,important,important,important,important,important,important,important,not important,not important,important,important,not important,1,2,1,2,0,42143,FIN60707
1999,FIN,60708,20.423766,important,important,not important,important,important,not important,not important,not important,important,not important,not important,important,1,3,0,0,2,42144,FIN60708
1999,FIN,60710,20.423766,important,important,important,important,not important,not important,important,important,not important,not important,not important,not important,1,2,1,2,0,42145,FIN60710
1999,FIN,60711,20.423766,important,important,important,important,important,not important,important,important,important,important,not important,not important,1,1,0,0,2,42146,FIN60711
1999,FIN,60713,20.423766,important,important,not important,important,important,important,not important,not important,important,not important,not important,important,1,3,0,NA,NA,42147,FIN60713
1999,FIN,60714,20.423766,important,important,important,important,important,important,important,important,important,not important,not important,NA,1,3,1,NA,NA,42148,FIN60714
1999,FIN,60715,20.423766,important,not important,important,important,not important,important,important,important,important,not important,not important,NA,1,1,1,NA,NA,42149,FIN60715
1999,FIN,60717,20.423766,important,important,NA,important,important,not important,not important,important,not important,not important,not important,not important,1,1,1,0,0,42150,FIN60717
1999,FIN,60719,20.423766,important,important,important,important,not important,important,important,important,important,not important,important,important,1,1,1,NA,NA,42151,FIN60719
1999,FIN,60720,20.423766,important,important,not important,important,important,not important,important,important,not important,not important,not important,not important,1,1,0,0,0,42152,FIN60720
1999,FIN,60721,20.423766,important,important,important,important,important,not important,not important,not important,important,important,not important,not important,1,1,0,0,0,42153,FIN60721
1999,FIN,60723,20.423766,important,important,important,important,important,not important,not important,not important,not important,important,not important,not important,1,1,0,NA,NA,42154,FIN60723
1999,FIN,70901,30.8603,important,important,NA,important,important,not important,NA,not important,not important,not important,NA,not important,1,1,0,0,NA,42155,FIN70901
1999,FIN,70903,30.8603,important,important,NA,important,important,not important,NA,NA,NA,NA,NA,not important,1,3,1,0,NA,42156,FIN70903
1999,FIN,70904,30.8603,important,important,important,important,important,important,important,important,important,not important,important,not important,1,2,1,NA,NA,42157,FIN70904
1999,FIN,70905,30.8603,important,important,NA,NA,important,important,important,NA,important,important,NA,not important,1,1,0,1,0,42158,FIN70905
1999,FIN,70906,30.8603,important,important,important,important,important,not important,important,NA,important,not important,not important,not important,1,1,1,0,NA,42159,FIN70906
1999,FIN,70907,30.8603,important,important,not important,important,important,not important,not important,not important,not important,not important,not important,not important,1,1,1,0,0,42160,FIN70907
1999,FIN,70910,30.8603,not important,important,not important,important,NA,not important,not important,not important,not important,not important,not important,not important,1,3,0,NA,NA,42161,FIN70910
1999,FIN,70911,30.8603,important,important,important,important,not important,important,not important,important,important,NA,not important,not important,1,1,0,0,0,42162,FIN70911
1999,FIN,70913,30.8603,important,important,not important,important,important,important,not important,important,NA,NA,NA,not important,1,1,0,0,0,42163,FIN70913
1999,FIN,70914,30.8603,important,important,not important,important,not important,important,not important,not important,not important,not important,not important,not important,1,1,1,0,0,42164,FIN70914
1999,FIN,70915,30.8603,important,important,important,important,important,not important,important,important,important,not important,not important,not important,1,2,1,0,0,42165,FIN70915
1999,FIN,70916,30.8603,important,important,important,important,not important,important,not important,NA,important,important,not important,NA,1,2,1,0,0,42166,FIN70916
1999,FIN,70918,30.8603,important,important,important,not important,important,not important,not important,NA,NA,NA,not important,not important,1,1,1,0,0,42167,FIN70918
1999,FIN,70921,30.8603,important,important,not important,not important,not important,not important,not important,not important,not important,not important,not important,not important,1,1,1,0,0,42168,FIN70921
1999,FIN,80301,21.055595,important,important,important,important,important,important,important,NA,not important,not important,important,important,1,3,1,0,2,42169,FIN80301
1999,FIN,80304,21.055595,important,important,important,not important,not important,important,not important,important,important,not important,not important,not important,1,2,1,NA,NA,42170,FIN80304
1999,FIN,80306,21.055595,important,important,important,important,important,important,important,important,important,not important,important,important,1,2,1,1,NA,42171,FIN80306
1999,FIN,80308,21.055595,important,important,important,important,important,important,important,important,important,not important,important,important,1,3,2,2,2,42172,FIN80308
1999,FIN,80310,21.055595,important,important,important,important,important,important,important,important,important,not important,not important,not important,1,2,0,2,2,42173,FIN80310
1999,FIN,80313,21.055595,important,not important,not important,important,not important,important,important,important,important,important,not important,not important,1,2,2,2,2,42174,FIN80313
1999,FIN,80315,21.055595,important,important,not important,important,not important,important,important,important,not important,not important,not important,not important,1,1,1,0,2,42175,FIN80315
