ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
1999,GRC,10401,30.709919,important,not important,important,important,not important,important,not important,important,not important,important,not important,important,1,1,1,0,0,44890,GRC10401
1999,GRC,10402,30.709919,important,important,important,not important,important,important,important,important,important,important,not important,not important,1,0,1,1,2,44891,GRC10402
1999,GRC,10403,30.709919,important,important,important,important,important,important,important,important,important,important,important,important,1,1,1,2,1,44892,GRC10403
1999,GRC,10404,30.709919,important,important,important,not important,important,important,important,important,important,important,not important,not important,1,1,1,2,0,44893,GRC10404
1999,GRC,10405,30.709919,important,important,important,important,important,important,important,important,important,important,not important,not important,1,3,2,2,2,44894,GRC10405
1999,GRC,10406,30.709919,important,important,important,important,important,important,important,important,important,important,not important,important,1,1,1,0,0,44895,GRC10406
1999,GRC,10407,30.709919,important,important,important,important,important,important,important,important,not important,important,not important,important,1,1,1,2,2,44896,GRC10407
1999,GRC,10408,30.709919,important,important,important,important,important,important,important,important,important,important,not important,not important,1,2,0,2,2,44897,GRC10408
1999,GRC,10409,30.709919,important,not important,important,important,important,important,important,not important,not important,not important,not important,important,1,2,0,1,1,44898,GRC10409
1999,GRC,10411,30.709919,important,important,important,not important,important,important,important,important,important,important,not important,important,1,NA,1,0,1,44899,GRC10411
1999,GRC,10422,30.709919,not important,important,important,important,important,not important,important,not important,not important,important,not important,not important,1,1,0,1,NA,44900,GRC10422
1999,GRC,10430,30.709919,important,important,important,important,important,important,important,important,important,important,not important,important,1,1,0,1,0,44901,GRC10430
1999,GRC,20301,32.90675,important,important,important,important,important,important,not important,not important,not important,important,not important,not important,1,1,0,0,NA,44902,GRC20301
1999,GRC,20305,32.90675,important,important,important,important,important,important,important,important,important,important,not important,not important,1,1,0,1,2,44903,GRC20305
1999,GRC,20307,32.90675,important,important,important,important,important,important,important,important,important,important,important,important,1,0,1,0,0,44904,GRC20307
1999,GRC,20309,32.90675,NA,important,important,NA,important,NA,important,important,important,NA,important,important,1,1,0,0,0,44905,GRC20309
1999,GRC,20310,32.90675,important,important,not important,not important,important,important,important,not important,important,important,not important,important,1,1,0,2,2,44906,GRC20310
1999,GRC,20312,32.90675,important,important,important,important,important,important,not important,important,not important,important,not important,not important,1,0,0,0,0,44907,GRC20312
1999,GRC,20313,32.90675,important,important,not important,important,important,important,important,not important,not important,not important,not important,not important,1,1,0,2,0,44908,GRC20313
1999,GRC,20315,32.90675,important,important,important,important,important,important,important,important,important,NA,not important,important,1,1,0,0,0,44909,GRC20315
1999,GRC,20317,32.90675,important,important,important,important,important,important,important,not important,not important,NA,NA,not important,1,1,2,1,1,44910,GRC20317
1999,GRC,20318,32.90675,important,important,important,important,important,important,important,important,not important,important,NA,not important,1,1,0,2,2,44911,GRC20318
1999,GRC,20321,32.90675,important,important,important,important,important,important,important,important,important,important,important,important,1,2,1,2,2,44912,GRC20321
1999,GRC,20322,32.90675,important,important,important,important,important,important,important,important,important,important,important,important,1,0,0,0,0,44913,GRC20322
1999,GRC,20323,32.90675,important,important,important,important,important,important,important,important,not important,not important,not important,not important,1,1,0,0,1,44914,GRC20323
1999,GRC,20326,32.90675,important,important,important,important,important,important,important,important,important,important,important,important,1,1,0,1,0,44915,GRC20326
1999,GRC,20327,32.90675,important,important,important,not important,important,important,not important,important,important,important,important,important,1,0,0,0,0,44916,GRC20327
1999,GRC,20328,32.90675,important,NA,important,important,important,important,important,important,not important,important,important,important,1,0,0,0,0,44917,GRC20328
1999,GRC,20330,32.90675,important,important,important,important,important,NA,important,important,important,important,important,important,1,1,0,0,0,44918,GRC20330
