ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2009,GTM,10010401,37.6237225,0,1,1,0,1,1,1,0,NA,0,0,0,1,2,2,0,0,150162,GTM10010401
2009,GTM,10010402,37.6237225,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,150163,GTM10010402
2009,GTM,10010403,37.6237225,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,150164,GTM10010403
2009,GTM,10010405,37.6237225,1,1,1,0,1,1,1,1,0,1,1,0,1,1,2,0,1,150165,GTM10010405
2009,GTM,10010407,37.6237225,1,1,1,0,1,1,1,0,1,1,0,0,0,1,2,0,1,150166,GTM10010407
2009,GTM,10010408,37.6237225,1,1,1,1,1,1,1,1,1,0,0,0,1,0,2,0,0,150167,GTM10010408
2009,GTM,10010412,37.6237225,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,150168,GTM10010412
2009,GTM,10010415,37.6237225,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,150169,GTM10010415
2009,GTM,10010416,37.6237225,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,150170,GTM10010416
2009,GTM,10010417,37.6237225,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,150171,GTM10010417
2009,GTM,10010418,37.6237225,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,150172,GTM10010418
2009,GTM,10010419,37.6237225,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,150173,GTM10010419
2009,GTM,10010420,37.6237225,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,150174,GTM10010420
2009,GTM,10010422,37.6237225,1,1,1,0,1,1,1,0,1,1,1,1,0,1,2,0,2,150175,GTM10010422
2009,GTM,10010423,37.6237225,1,1,1,1,1,1,NA,0,1,0,1,0,0,0,1,0,0,150176,GTM10010423
2009,GTM,10010424,37.6237225,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,1,1,150177,GTM10010424
2009,GTM,10010425,37.6237225,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,2,0,0,150178,GTM10010425
2009,GTM,10010426,37.6237225,0,1,1,1,1,1,1,0,0,1,1,1,0,1,2,0,0,150179,GTM10010426
2009,GTM,10020101,23.1462765406,1,1,1,0,1,1,1,1,1,1,0,0,0,1,2,0,0,150180,GTM10020101
2009,GTM,10020102,23.1462765406,1,1,1,1,1,1,NA,1,1,0,0,1,1,0,2,0,0,150181,GTM10020102
2009,GTM,10020103,23.1462765406,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,150182,GTM10020103
2009,GTM,10020104,23.1462765406,0,1,1,1,0,1,1,1,1,0,0,1,0,1,2,0,0,150183,GTM10020104
