ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2009,HKG,10010501,15.3250839818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154164,HKG10010501
2009,HKG,10010502,15.3250839818,1,0,0,1,0,1,1,1,1,1,1,1,0,3,0,1,1,154165,HKG10010502
2009,HKG,10010503,15.3250839818,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,1,2,154166,HKG10010503
2009,HKG,10010504,15.3250839818,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,1,1,154167,HKG10010504
2009,HKG,10010505,15.3250839818,1,1,1,1,1,1,0,1,1,1,0,0,0,3,2,1,2,154168,HKG10010505
2009,HKG,10010506,15.3250839818,1,0,1,1,1,1,1,1,1,1,1,0,NA,3,NA,2,2,154169,HKG10010506
2009,HKG,10010507,15.3250839818,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,2,2,154170,HKG10010507
2009,HKG,10010508,15.3250839818,1,0,1,1,0,0,0,1,1,1,1,0,0,3,2,2,2,154171,HKG10010508
2009,HKG,10010509,15.3250839818,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,154172,HKG10010509
2009,HKG,10010510,15.3250839818,1,1,1,1,1,1,1,1,1,1,1,1,0,3,2,2,2,154173,HKG10010510
2009,HKG,10010511,15.3250839818,1,1,1,1,1,1,1,1,1,1,1,1,0,3,2,1,1,154174,HKG10010511
2009,HKG,10010512,15.3250839818,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,154175,HKG10010512
2009,HKG,10010513,15.3250839818,1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,1,1,154176,HKG10010513
2009,HKG,10010514,15.3250839818,1,1,0,1,0,1,1,1,1,1,1,1,0,3,2,1,1,154177,HKG10010514
2009,HKG,10010515,15.3250839818,1,1,1,1,1,1,0,1,1,0,0,0,0,1,2,0,0,154178,HKG10010515
2009,HKG,10010516,15.3250839818,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,1,154179,HKG10010516
2009,HKG,10010517,15.3250839818,1,1,1,1,1,0,1,1,1,1,1,0,0,2,2,1,1,154180,HKG10010517
2009,HKG,10010518,15.3250839818,1,1,0,1,1,0,1,1,1,0,0,0,0,3,2,2,2,154181,HKG10010518
2009,HKG,10010519,15.3250839818,1,1,1,1,1,1,0,0,1,1,1,0,0,1,2,2,1,154182,HKG10010519
2009,HKG,10010520,15.3250839818,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,2,2,154183,HKG10010520
2009,HKG,10010521,15.3250839818,1,1,1,1,1,1,1,1,1,0,1,0,0,3,2,1,1,154184,HKG10010521
2009,HKG,10010522,15.3250839818,1,1,1,1,1,1,1,1,1,1,1,1,0,3,2,1,1,154185,HKG10010522
2009,HKG,10010524,15.3250839818,1,1,1,1,1,1,0,1,0,1,1,0,0,1,2,1,2,154186,HKG10010524
2009,HKG,10010525,15.3250839818,1,0,1,1,1,1,1,1,1,1,0,0,0,3,2,0,0,154187,HKG10010525
2009,HKG,10010526,15.3250839818,1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,1,2,154188,HKG10010526
2009,HKG,10010527,15.3250839818,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,1,154189,HKG10010527
2009,HKG,10010528,15.3250839818,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,0,1,154190,HKG10010528
2009,HKG,10010529,15.3250839818,1,1,1,1,1,1,1,1,1,1,1,0,0,3,2,2,2,154191,HKG10010529
2009,HKG,10010530,15.3250839818,1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,1,1,154192,HKG10010530
2009,HKG,10010531,15.3250839818,1,0,0,1,0,1,1,1,1,0,0,0,0,1,2,1,1,154193,HKG10010531
2009,HKG,10010532,15.3250839818,1,1,1,1,1,1,0,1,1,0,1,0,0,2,2,0,NA,154194,HKG10010532
2009,HKG,10010533,15.3250839818,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2,0,1,154195,HKG10010533
2009,HKG,10010534,15.3250839818,1,1,1,1,1,1,0,1,1,0,0,0,0,1,2,1,2,154196,HKG10010534
2009,HKG,10010535,15.3250839818,1,0,0,1,1,0,1,1,1,0,0,0,0,3,2,2,2,154197,HKG10010535
2009,HKG,10010536,15.3250839818,1,1,1,1,1,1,1,1,1,1,0,0,0,3,2,1,1,154198,HKG10010536
2009,HKG,10010537,15.3250839818,1,1,1,0,1,1,0,1,1,0,1,0,0,1,2,1,1,154199,HKG10010537
2009,HKG,10010538,15.3250839818,1,1,1,1,1,1,1,1,1,1,1,1,0,3,2,2,2,154200,HKG10010538
2009,HKG,10010539,15.3250839818,1,1,1,1,1,0,1,1,1,1,1,0,0,1,2,1,2,154201,HKG10010539
2009,HKG,10010540,15.3250839818,1,0,1,1,1,1,1,1,1,0,0,0,0,0,2,2,2,154202,HKG10010540
2009,HKG,10030501,15.9943194426,1,1,0,1,1,1,0,1,1,0,0,0,1,1,2,0,0,154203,HKG10030501
2009,HKG,10030502,15.9943194426,1,1,1,1,1,1,0,1,1,1,0,0,1,1,2,0,0,154204,HKG10030502
2009,HKG,10030503,15.9943194426,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,0,154205,HKG10030503
2009,HKG,10030504,15.9943194426,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2,154206,HKG10030504
2009,HKG,10030505,15.9943194426,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2,1,0,154207,HKG10030505
2009,HKG,10030507,15.9943194426,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,0,0,154208,HKG10030507
2009,HKG,10030508,15.9943194426,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,1,1,154209,HKG10030508
2009,HKG,10030509,15.9943194426,1,1,1,1,1,1,0,1,1,1,0,0,1,0,2,0,1,154210,HKG10030509
2009,HKG,10030510,15.9943194426,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,NA,154211,HKG10030510
2009,HKG,10030511,15.9943194426,1,1,0,1,1,1,1,1,1,1,1,0,1,1,2,0,0,154212,HKG10030511
2009,HKG,10030512,15.9943194426,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,1,1,154213,HKG10030512
2009,HKG,10030513,15.9943194426,1,1,1,1,1,1,0,0,0,1,0,0,1,1,2,0,0,154214,HKG10030513
2009,HKG,10030514,15.9943194426,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,0,154215,HKG10030514
