ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2016,HRV,10010101,11.909582,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,1,1,271445,HRV10010101
2016,HRV,10010102,11.909582,1,0,1,1,0,0,1,0,0,0,1,0,1,2,2,2,1,271446,HRV10010102
2016,HRV,10010103,11.909582,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,271447,HRV10010103
2016,HRV,10010105,11.909582,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,271448,HRV10010105
2016,HRV,10010106,11.909582,1,1,1,1,1,1,1,1,0,0,1,0,1,1,2,1,2,271449,HRV10010106
2016,HRV,10010107,11.909582,1,1,1,1,1,0,1,1,0,0,0,0,1,1,2,1,2,271450,HRV10010107
2016,HRV,10010109,11.909582,1,1,1,1,0,1,1,0,1,0,0,0,1,2,2,2,2,271451,HRV10010109
2016,HRV,10010110,11.909582,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,271452,HRV10010110
2016,HRV,10010111,11.909582,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,2,2,271453,HRV10010111
2016,HRV,10010113,11.909582,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,2,1,271454,HRV10010113
2016,HRV,10010115,11.909582,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,1,2,271455,HRV10010115
2016,HRV,10010116,11.909582,1,1,0,1,1,1,1,1,1,0,1,0,1,2,2,1,1,271456,HRV10010116
2016,HRV,10010117,11.909582,1,0,0,1,0,1,1,1,1,0,0,0,1,1,2,1,2,271457,HRV10010117
2016,HRV,10010118,11.909582,1,0,1,1,1,1,1,1,0,1,0,0,1,1,2,2,2,271458,HRV10010118
2016,HRV,10010119,11.909582,1,1,1,1,1,1,1,0,1,1,1,0,1,1,2,1,1,271459,HRV10010119
2016,HRV,10010120,11.909582,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2,271460,HRV10010120
2016,HRV,10010122,11.909582,1,0,1,1,1,0,0,0,1,1,1,0,1,1,2,2,2,271461,HRV10010122
2016,HRV,10010124,11.909582,1,0,1,1,1,1,1,1,0,1,0,0,1,1,2,1,2,271462,HRV10010124
2016,HRV,10010125,11.909582,1,1,0,1,1,1,1,1,1,0,0,0,1,3,2,2,2,271463,HRV10010125
2016,HRV,10010126,11.909582,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,1,271464,HRV10010126
2016,HRV,10010127,11.909582,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,2,271465,HRV10010127
2016,HRV,10020201,11.263226,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,1,1,271466,HRV10020201
2016,HRV,10020203,11.263226,1,1,0,1,1,1,1,1,1,1,0,1,1,2,2,2,2,271467,HRV10020203
