ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
1999,HUN,20103,40.746938,important,important,not important,important,not important,important,important,important,important,important,not important,not important,1,1,1,1,2,53347,HUN20103
1999,HUN,20104,40.746938,important,important,not important,important,important,important,important,important,important,important,important,not important,1,3,1,2,0,53348,HUN20104
1999,HUN,20106,40.746938,important,important,important,important,important,important,important,important,important,important,not important,not important,1,1,2,2,2,53349,HUN20106
1999,HUN,20107,40.746938,important,important,important,important,not important,important,important,important,important,important,not important,important,1,2,1,NA,NA,53350,HUN20107
1999,HUN,20114,40.746938,important,not important,important,important,important,important,important,important,not important,not important,not important,not important,1,3,0,2,1,53351,HUN20114
1999,HUN,20123,40.746938,important,important,important,important,important,not important,important,important,important,important,not important,not important,1,3,0,1,0,53352,HUN20123
1999,HUN,30103,28.18367,not important,important,important,not important,not important,important,important,not important,important,not important,not important,not important,1,2,2,2,2,53353,HUN30103
1999,HUN,30104,28.18367,important,important,important,important,not important,important,important,important,important,important,not important,important,1,3,2,2,2,53354,HUN30104
1999,HUN,30105,28.18367,important,important,important,important,not important,important,important,important,important,not important,not important,not important,1,3,1,2,2,53355,HUN30105
1999,HUN,30106,28.18367,important,important,important,important,important,important,important,important,important,important,important,not important,1,3,2,2,2,53356,HUN30106
1999,HUN,30111,28.18367,important,important,important,important,important,important,important,important,important,important,important,not important,1,2,1,2,2,53357,HUN30111
1999,HUN,30112,28.18367,important,important,important,important,important,important,important,not important,important,important,not important,not important,1,2,1,NA,NA,53358,HUN30112
1999,HUN,30116,28.18367,important,important,important,important,important,important,important,important,important,not important,important,important,1,3,1,2,2,53359,HUN30116
1999,HUN,30117,28.18367,important,important,important,not important,important,important,not important,important,important,not important,not important,not important,1,3,1,1,2,53360,HUN30117
1999,HUN,30119,28.18367,important,important,important,important,important,important,important,important,important,important,not important,not important,1,3,1,2,2,53361,HUN30119
1999,HUN,30124,28.18367,important,not important,not important,important,not important,important,important,not important,important,not important,not important,not important,1,3,1,2,2,53362,HUN30124
1999,HUN,30127,28.18367,important,important,important,NA,NA,important,important,important,important,important,not important,not important,1,3,0,2,2,53363,HUN30127
1999,HUN,30128,28.18367,important,important,not important,important,important,important,important,not important,not important,important,not important,not important,1,2,1,0,0,53364,HUN30128
1999,HUN,30131,28.18367,important,important,important,important,important,important,important,important,not important,important,not important,not important,1,3,1,NA,NA,53365,HUN30131
1999,HUN,40102,46.628732,important,important,important,important,important,important,important,important,important,not important,not important,not important,1,3,2,2,2,53366,HUN40102
1999,HUN,40105,46.628732,important,important,important,important,important,not important,important,important,important,important,not important,not important,1,3,1,2,2,53367,HUN40105
1999,HUN,40106,46.628732,important,important,important,important,important,important,important,important,important,important,not important,not important,1,3,1,2,2,53368,HUN40106
1999,HUN,40107,46.628732,important,not important,not important,important,not important,not important,important,not important,important,important,not important,not important,1,2,1,2,2,53369,HUN40107
1999,HUN,40109,46.628732,important,important,important,important,not important,important,important,important,important,not important,not important,NA,1,1,1,1,0,53370,HUN40109
1999,HUN,40112,46.628732,important,important,important,important,important,important,important,not important,important,important,not important,important,1,3,2,2,2,53371,HUN40112
1999,HUN,40116,46.628732,important,important,important,important,important,important,important,important,important,important,not important,not important,1,3,1,2,NA,53372,HUN40116
1999,HUN,40118,46.628732,important,important,important,important,important,important,important,not important,important,important,not important,important,1,1,0,2,2,53373,HUN40118
1999,HUN,50101,28.380979,important,important,important,important,important,important,important,important,important,not important,not important,not important,1,3,2,2,2,53374,HUN50101
1999,HUN,50102,28.380979,important,important,important,important,important,important,important,important,important,important,important,not important,1,3,2,2,2,53375,HUN50102
1999,HUN,50104,28.380979,important,important,important,important,important,important,important,important,important,important,not important,important,1,2,2,2,2,53376,HUN50104
1999,HUN,50106,28.380979,important,not important,important,important,not important,not important,important,important,important,important,not important,not important,1,2,2,2,2,53377,HUN50106
1999,HUN,50107,28.380979,important,important,not important,important,important,important,important,not important,important,not important,important,not important,1,3,2,2,2,53378,HUN50107
1999,HUN,50109,28.380979,important,important,important,not important,important,not important,not important,not important,not important,important,NA,not important,1,3,1,2,2,53379,HUN50109
1999,HUN,50110,28.380979,important,important,important,important,important,important,important,important,important,important,not important,not important,1,2,1,2,2,53380,HUN50110
1999,HUN,50111,28.380979,important,not important,important,important,important,important,important,important,important,not important,not important,important,1,3,2,2,2,53381,HUN50111
1999,HUN,50113,28.380979,important,important,important,not important,not important,important,important,important,not important,important,not important,not important,1,2,2,2,2,53382,HUN50113
1999,HUN,50116,28.380979,important,important,important,important,important,important,important,not important,important,important,not important,not important,1,3,2,2,1,53383,HUN50116
1999,HUN,50119,28.380979,important,important,important,important,important,important,important,not important,important,not important,not important,not important,1,1,1,NA,2,53384,HUN50119
1999,HUN,50120,28.380979,important,important,important,important,important,important,important,important,important,important,not important,not important,1,3,1,2,2,53385,HUN50120
1999,HUN,50121,28.380979,important,important,not important,important,important,important,important,not important,important,important,not important,not important,1,2,1,2,2,53386,HUN50121
1999,HUN,50122,28.380979,important,important,important,important,important,not important,not important,important,not important,important,not important,not important,1,3,2,2,2,53387,HUN50122
1999,HUN,50123,28.380979,important,important,important,important,important,important,important,important,important,important,important,not important,1,3,1,2,2,53388,HUN50123
1999,HUN,50125,28.380979,important,important,important,important,important,important,important,important,important,important,important,important,1,3,2,2,2,53389,HUN50125
1999,HUN,60103,37.314771,important,important,important,important,important,important,important,not important,important,important,not important,not important,1,3,2,2,2,53390,HUN60103
1999,HUN,60104,37.314771,important,important,important,important,not important,important,important,not important,important,not important,important,not important,1,3,2,2,2,53391,HUN60104
1999,HUN,60105,37.314771,important,not important,important,important,not important,important,important,important,important,important,not important,not important,1,2,2,0,1,53392,HUN60105
1999,HUN,60107,37.314771,important,important,important,important,important,important,important,important,important,important,not important,not important,1,3,2,2,2,53393,HUN60107
1999,HUN,60108,37.314771,important,not important,important,important,important,important,important,important,important,not important,not important,not important,1,3,1,2,2,53394,HUN60108
