ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2009,IDN,10011001,617.4667537298,1,1,1,1,1,1,1,1,1,1,0,1,1,3,2,1,1,157066,IDN10011001
2009,IDN,10011002,617.4667537298,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,157067,IDN10011002
2009,IDN,10011003,617.4667537298,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2,2,2,157068,IDN10011003
2009,IDN,10011004,617.4667537298,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,157069,IDN10011004
2009,IDN,10011005,617.4667537298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,2,2,157070,IDN10011005
2009,IDN,10011006,617.4667537298,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,2,157071,IDN10011006
2009,IDN,10011007,617.4667537298,NA,1,1,1,1,1,1,1,1,1,0,1,1,2,2,1,1,157072,IDN10011007
2009,IDN,10011008,617.4667537298,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,157073,IDN10011008
2009,IDN,10011009,617.4667537298,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,157074,IDN10011009
2009,IDN,10011010,617.4667537298,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,157075,IDN10011010
2009,IDN,10011011,617.4667537298,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,157076,IDN10011011
2009,IDN,10011013,617.4667537298,1,1,1,1,1,1,1,1,1,1,0,1,0,1,NA,1,2,157077,IDN10011013
2009,IDN,10011014,617.4667537298,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,157078,IDN10011014
2009,IDN,10011015,617.4667537298,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,2,157079,IDN10011015
2009,IDN,10011016,617.4667537298,1,1,1,1,1,0,1,1,1,0,1,1,0,1,2,1,1,157080,IDN10011016
2009,IDN,10011017,617.4667537298,1,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,1,157081,IDN10011017
2009,IDN,10011018,617.4667537298,1,1,1,1,1,1,1,1,1,0,1,0,0,3,1,1,1,157082,IDN10011018
2009,IDN,10011019,617.4667537298,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2,2,157083,IDN10011019
2009,IDN,10011020,617.4667537298,1,1,1,1,1,1,1,1,0,1,0,0,1,3,2,1,1,157084,IDN10011020
2009,IDN,10011021,617.4667537298,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,1,2,157085,IDN10011021
2009,IDN,10011023,617.4667537298,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,157086,IDN10011023
2009,IDN,10011024,617.4667537298,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,157087,IDN10011024
2009,IDN,10011025,617.4667537298,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,2,157088,IDN10011025
2009,IDN,10011026,617.4667537298,1,0,1,1,1,1,1,1,0,1,0,0,1,3,2,1,1,157089,IDN10011026
2009,IDN,10011028,617.4667537298,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,2,1,1,157090,IDN10011028
2009,IDN,10011029,617.4667537298,1,0,0,1,1,1,1,1,1,0,0,1,0,1,2,1,1,157091,IDN10011029
2009,IDN,10011030,617.4667537298,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,1,2,157092,IDN10011030
2009,IDN,10011031,617.4667537298,1,1,1,1,1,1,1,1,1,0,0,0,1,0,2,2,2,157093,IDN10011031
2009,IDN,10011032,617.4667537298,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,157094,IDN10011032
2009,IDN,10011033,617.4667537298,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,1,1,157095,IDN10011033
2009,IDN,10011034,617.4667537298,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,0,1,2,1,1,157096,IDN10011034
2009,IDN,10011035,617.4667537298,NA,NA,NA,1,NA,1,1,1,0,NA,NA,NA,0,1,2,1,1,157097,IDN10011035
2009,IDN,10011036,617.4667537298,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,157098,IDN10011036
2009,IDN,10011037,617.4667537298,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,2,157099,IDN10011037
2009,IDN,10011038,617.4667537298,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,157100,IDN10011038
2009,IDN,10011039,617.4667537298,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,157101,IDN10011039
2009,IDN,10011040,617.4667537298,1,0,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2,157102,IDN10011040
2009,IDN,10020701,491.379786,1,1,1,1,1,1,1,1,1,1,1,1,0,3,2,0,2,157103,IDN10020701
2009,IDN,10020702,491.379786,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,0,1,157104,IDN10020702
2009,IDN,10020703,491.379786,1,1,1,1,1,1,1,0,1,1,0,0,0,1,2,2,2,157105,IDN10020703
2009,IDN,10020704,491.379786,0,1,1,1,1,1,1,1,1,1,0,0,1,1,2,1,2,157106,IDN10020704
2009,IDN,10020705,491.379786,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,157107,IDN10020705
2009,IDN,10020706,491.379786,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,2,157108,IDN10020706
2009,IDN,10020707,491.379786,1,1,1,1,1,1,1,1,1,1,0,1,0,1,2,1,1,157109,IDN10020707
2009,IDN,10020708,491.379786,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,157110,IDN10020708
2009,IDN,10020709,491.379786,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,1,157111,IDN10020709
2009,IDN,10020710,491.379786,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,0,157112,IDN10020710
2009,IDN,10020711,491.379786,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,1,2,157113,IDN10020711
2009,IDN,10020712,491.379786,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,157114,IDN10020712
2009,IDN,10020713,491.379786,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2,157115,IDN10020713
2009,IDN,10020714,491.379786,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,1,1,157116,IDN10020714
2009,IDN,10020715,491.379786,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,2,157117,IDN10020715
2009,IDN,10020716,491.379786,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,157118,IDN10020716
