ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2009,IRL,10010201,5.229729,0,1,0,1,0,0,0,0,0,0,0,0,0,3,2,2,1,162134,IRL10010201
2009,IRL,10010202,5.229729,1,1,1,1,1,1,1,1,1,1,1,0,0,3,NA,2,2,162135,IRL10010202
2009,IRL,10010204,5.229729,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,2,162136,IRL10010204
2009,IRL,10010205,5.229729,1,0,1,1,0,0,0,1,0,0,0,0,1,2,2,2,2,162137,IRL10010205
2009,IRL,10010206,5.229729,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,0,162138,IRL10010206
2009,IRL,10010207,5.229729,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,162139,IRL10010207
2009,IRL,10010208,5.229729,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2,162140,IRL10010208
2009,IRL,10010210,5.229729,1,1,1,1,1,1,1,0,0,1,1,0,1,1,2,1,1,162141,IRL10010210
2009,IRL,10010211,5.229729,1,0,1,1,0,1,1,1,0,0,1,0,1,2,2,1,1,162142,IRL10010211
2009,IRL,10010212,5.229729,1,1,1,1,1,1,1,1,1,1,1,1,0,3,2,2,2,162143,IRL10010212
2009,IRL,10010213,5.229729,0,1,1,1,0,1,0,1,1,0,0,0,0,1,2,2,0,162144,IRL10010213
2009,IRL,10010214,5.229729,1,0,0,1,0,1,1,0,0,1,0,0,0,3,1,2,1,162145,IRL10010214
2009,IRL,10010215,5.229729,0,1,1,1,1,1,1,0,0,0,0,0,0,1,2,2,0,162146,IRL10010215
2009,IRL,10010217,5.229729,1,1,1,1,1,1,1,1,0,1,1,0,0,3,2,2,0,162147,IRL10010217
2009,IRL,10010218,5.229729,1,1,1,1,1,1,0,1,1,0,1,0,1,2,2,1,0,162148,IRL10010218
2009,IRL,10010219,5.229729,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,162149,IRL10010219
2009,IRL,10020101,3.2521012941,0,1,1,1,1,1,1,1,1,0,1,1,0,2,1,2,2,162150,IRL10020101
2009,IRL,10020102,3.2521012941,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,2,0,162151,IRL10020102
2009,IRL,10020103,3.2521012941,1,1,1,1,1,0,0,1,0,1,1,0,1,0,2,2,1,162152,IRL10020103
2009,IRL,10020104,3.2521012941,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,NA,NA,162153,IRL10020104
2009,IRL,10020105,3.2521012941,1,1,1,1,1,1,1,1,1,1,0,0,0,0,NA,2,2,162154,IRL10020105
2009,IRL,10020106,3.2521012941,1,1,1,1,1,0,1,1,0,1,0,0,0,1,2,0,2,162155,IRL10020106
2009,IRL,10020108,3.2521012941,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,2,2,162156,IRL10020108
2009,IRL,10020109,3.2521012941,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,162157,IRL10020109
2009,IRL,10020110,3.2521012941,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,2,162158,IRL10020110
2009,IRL,10020111,3.2521012941,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,162159,IRL10020111
2009,IRL,10020112,3.2521012941,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,2,162160,IRL10020112
2009,IRL,10020113,3.2521012941,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,NA,162161,IRL10020113
2009,IRL,10020114,3.2521012941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,2,2,162162,IRL10020114
2009,IRL,10020115,3.2521012941,0,0,1,1,1,1,0,1,1,1,1,1,0,2,2,2,2,162163,IRL10020115
2009,IRL,10020116,3.2521012941,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,162164,IRL10020116
2009,IRL,10020117,3.2521012941,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,162165,IRL10020117
2009,IRL,10020118,3.2521012941,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,2,1,162166,IRL10020118
2009,IRL,10030101,29.316176,1,1,1,1,1,1,1,1,1,1,0,0,0,3,1,1,NA,162167,IRL10030101
2009,IRL,10030102,29.316176,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,2,2,162168,IRL10030102
2009,IRL,10030103,29.316176,1,1,1,0,NA,1,1,1,1,1,1,0,1,3,2,1,2,162169,IRL10030103
2009,IRL,10030104,29.316176,0,1,1,1,1,1,1,0,1,1,1,1,0,2,2,2,2,162170,IRL10030104
2009,IRL,10030105,29.316176,1,0,0,1,1,1,1,0,0,0,0,0,0,1,2,2,2,162171,IRL10030105
2009,IRL,10030106,29.316176,1,1,1,1,NA,1,1,1,1,1,1,0,0,2,2,2,2,162172,IRL10030106
2009,IRL,10030107,29.316176,1,1,1,1,1,1,0,1,1,1,1,1,0,NA,NA,2,2,162173,IRL10030107
2009,IRL,10030108,29.316176,1,0,0,1,0,1,1,0,1,0,1,0,0,3,2,2,2,162174,IRL10030108
2009,IRL,10030109,29.316176,1,1,1,1,1,1,0,1,1,0,1,1,0,2,1,1,1,162175,IRL10030109
2009,IRL,10030110,29.316176,1,1,1,0,1,1,0,1,0,1,0,0,0,3,1,2,2,162176,IRL10030110
2009,IRL,10030111,29.316176,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,162177,IRL10030111
2009,IRL,10030112,29.316176,1,1,1,1,1,1,1,1,0,1,0,0,1,2,2,2,2,162178,IRL10030112
2009,IRL,10030113,29.316176,1,0,1,1,1,1,0,1,0,1,0,0,1,3,2,2,2,162179,IRL10030113
2009,IRL,10030114,29.316176,1,1,1,1,1,1,1,1,0,1,0,1,1,3,1,2,2,162180,IRL10030114
2009,IRL,10040201,21.9065930769,1,1,1,1,1,1,0,1,1,1,0,0,0,3,2,2,2,162181,IRL10040201
2009,IRL,10040203,21.9065930769,0,0,1,0,0,1,1,1,1,1,1,1,0,0,2,2,2,162182,IRL10040203
2009,IRL,10040204,21.9065930769,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2,2,162183,IRL10040204
2009,IRL,10040205,21.9065930769,1,1,1,1,1,1,1,0,1,1,1,1,0,3,2,2,2,162184,IRL10040205
2009,IRL,10040206,21.9065930769,1,1,1,1,1,1,1,1,1,0,1,0,0,3,2,2,2,162185,IRL10040206
2009,IRL,10040207,21.9065930769,1,1,1,1,1,1,0,1,0,1,1,0,1,3,2,2,2,162186,IRL10040207
2009,IRL,10040208,21.9065930769,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2,2,2,162187,IRL10040208
2009,IRL,10040211,21.9065930769,1,1,1,1,1,1,1,1,0,1,0,0,0,3,2,2,0,162188,IRL10040211
2009,IRL,10040212,21.9065930769,1,1,1,1,1,1,1,1,1,0,1,0,1,1,NA,2,NA,162189,IRL10040212
2009,IRL,10040213,21.9065930769,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,162190,IRL10040213
2009,IRL,10040215,21.9065930769,1,1,1,1,1,1,0,1,1,1,1,0,1,1,NA,2,NA,162191,IRL10040215
2009,IRL,10040216,21.9065930769,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,2,162192,IRL10040216
2009,IRL,10040217,21.9065930769,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,162193,IRL10040217
2009,IRL,10050101,20.765626,1,1,1,1,1,1,1,0,1,0,0,0,0,1,2,2,2,162194,IRL10050101
2009,IRL,10050102,20.765626,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,162195,IRL10050102
2009,IRL,10050103,20.765626,0,1,1,1,1,0,0,0,0,1,1,0,0,1,2,2,2,162196,IRL10050103
2009,IRL,10050104,20.765626,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,2,0,162197,IRL10050104
2009,IRL,10050105,20.765626,1,1,1,1,1,1,1,1,0,1,0,0,0,1,2,2,0,162198,IRL10050105
2009,IRL,10050106,20.765626,1,1,1,1,1,1,0,1,1,1,1,1,0,3,2,2,2,162199,IRL10050106
2009,IRL,10050107,20.765626,0,1,0,1,0,0,0,1,0,1,0,0,0,1,2,1,1,162200,IRL10050107
2009,IRL,10050108,20.765626,1,1,1,1,1,0,1,NA,0,1,0,0,0,0,1,0,0,162201,IRL10050108
2009,IRL,10050109,20.765626,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,NA,NA,162202,IRL10050109
2009,IRL,10050110,20.765626,1,1,1,1,1,1,1,1,1,1,1,1,0,3,0,1,2,162203,IRL10050110
2009,IRL,10050111,20.765626,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,2,162204,IRL10050111
2009,IRL,10050112,20.765626,1,1,1,0,1,1,1,1,1,1,1,0,0,1,2,0,2,162205,IRL10050112
2009,IRL,10050113,20.765626,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,162206,IRL10050113
2009,IRL,10050115,20.765626,1,1,1,1,1,1,1,1,0,0,0,0,0,2,2,0,2,162207,IRL10050115
2009,IRL,10070101,18.95098,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,1,1,162208,IRL10070101
2009,IRL,10070103,18.95098,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,NA,162209,IRL10070103
2009,IRL,10070104,18.95098,1,1,1,1,1,0,0,0,0,0,0,0,0,3,2,1,2,162210,IRL10070104
2009,IRL,10070105,18.95098,1,1,1,1,1,1,0,1,0,1,1,0,0,1,2,1,NA,162211,IRL10070105
2009,IRL,10070106,18.95098,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,1,162212,IRL10070106
2009,IRL,10070107,18.95098,0,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,162213,IRL10070107
2009,IRL,10070108,18.95098,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,0,162214,IRL10070108
2009,IRL,10070109,18.95098,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,2,0,162215,IRL10070109
2009,IRL,10070110,18.95098,1,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,0,162216,IRL10070110
2009,IRL,10070111,18.95098,1,1,1,1,1,1,1,1,1,1,0,1,0,3,2,2,0,162217,IRL10070111
2009,IRL,10070112,18.95098,1,1,1,1,1,1,1,1,0,0,1,0,1,1,2,0,2,162218,IRL10070112
2009,IRL,10070113,18.95098,1,1,1,1,1,1,1,0,1,1,1,0,0,1,2,0,0,162219,IRL10070113
2009,IRL,10070115,18.95098,NA,1,1,1,1,1,1,1,0,1,1,0,1,1,2,0,2,162220,IRL10070115
2009,IRL,10070116,18.95098,1,1,1,1,1,1,0,1,1,0,1,1,0,1,2,NA,0,162221,IRL10070116
2009,IRL,10070117,18.95098,1,1,NA,NA,1,1,1,1,0,1,1,0,0,1,2,1,0,162222,IRL10070117
2009,IRL,10070118,18.95098,1,1,0,1,1,1,0,1,1,0,0,0,0,1,2,0,0,162223,IRL10070118
2009,IRL,10070120,18.95098,1,1,1,1,1,1,1,0,1,1,1,0,1,1,2,0,NA,162224,IRL10070120
2009,IRL,10080201,23.0943844445,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,NA,NA,162225,IRL10080201
2009,IRL,10080202,23.0943844445,1,1,1,1,1,1,0,1,1,1,0,1,1,3,2,2,0,162226,IRL10080202
2009,IRL,10080203,23.0943844445,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,2,2,162227,IRL10080203
2009,IRL,10080204,23.0943844445,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,NA,162228,IRL10080204
2009,IRL,10080206,23.0943844445,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2,162229,IRL10080206
2009,IRL,10080207,23.0943844445,1,1,1,1,1,NA,1,0,1,1,1,0,0,1,2,0,0,162230,IRL10080207
2009,IRL,10080208,23.0943844445,1,1,1,1,1,1,1,0,1,1,0,0,0,3,2,2,2,162231,IRL10080208
2009,IRL,10080209,23.0943844445,1,1,1,0,1,1,1,1,1,1,0,0,0,1,NA,1,NA,162232,IRL10080209
2009,IRL,10080210,23.0943844445,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,NA,162233,IRL10080210
2009,IRL,10090301,26.6883636923,1,1,1,1,1,0,1,1,1,1,0,0,0,2,2,2,2,162234,IRL10090301
2009,IRL,10090302,26.6883636923,1,1,1,1,1,1,0,1,1,1,0,0,0,3,2,2,0,162235,IRL10090302
2009,IRL,10090303,26.6883636923,1,1,1,1,1,0,0,1,1,1,1,1,0,1,2,1,2,162236,IRL10090303
2009,IRL,10090304,26.6883636923,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,2,1,162237,IRL10090304
2009,IRL,10090305,26.6883636923,1,0,1,1,1,1,1,1,1,0,1,0,0,1,2,2,2,162238,IRL10090305
2009,IRL,10090306,26.6883636923,1,0,1,1,0,0,1,1,1,0,0,0,1,3,2,2,2,162239,IRL10090306
2009,IRL,10090307,26.6883636923,1,1,0,1,1,1,0,1,0,0,0,1,0,2,2,1,1,162240,IRL10090307
2009,IRL,10090308,26.6883636923,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,1,1,162241,IRL10090308
2009,IRL,10090310,26.6883636923,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2,162242,IRL10090310
2009,IRL,10090311,26.6883636923,1,1,1,1,1,1,1,1,1,1,1,1,0,3,2,2,2,162243,IRL10090311
2009,IRL,10090312,26.6883636923,1,1,1,1,1,1,1,1,1,1,1,0,0,3,NA,1,2,162244,IRL10090312
2009,IRL,10090313,26.6883636923,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,1,162245,IRL10090313
2009,IRL,10090314,26.6883636923,1,0,0,1,1,0,0,0,0,0,0,0,1,1,2,2,1,162246,IRL10090314
2009,IRL,10100102,13.068489381,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0,0,162247,IRL10100102
2009,IRL,10100103,13.068489381,1,0,0,1,0,1,1,1,1,0,1,0,0,2,2,1,1,162248,IRL10100103
2009,IRL,10100104,13.068489381,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,162249,IRL10100104
2009,IRL,10100106,13.068489381,1,0,1,1,0,1,1,0,1,0,0,0,1,1,2,2,2,162250,IRL10100106
2009,IRL,10100107,13.068489381,1,1,1,1,1,1,1,1,1,1,1,0,0,3,2,1,2,162251,IRL10100107
2009,IRL,10100108,13.068489381,1,1,1,1,1,1,1,1,1,1,0,1,0,1,2,0,2,162252,IRL10100108
2009,IRL,10100109,13.068489381,1,1,1,1,1,1,1,1,1,1,1,0,0,2,0,1,1,162253,IRL10100109
2009,IRL,10100110,13.068489381,1,1,1,1,1,1,1,1,1,1,1,1,0,3,2,2,1,162254,IRL10100110
2009,IRL,10100111,13.068489381,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,2,162255,IRL10100111
2009,IRL,10100112,13.068489381,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,2,2,162256,IRL10100112
2009,IRL,10100113,13.068489381,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,162257,IRL10100113
2009,IRL,10100114,13.068489381,1,1,1,1,1,1,1,1,0,0,0,0,1,0,2,0,NA,162258,IRL10100114
2009,IRL,10100115,13.068489381,1,1,1,1,1,1,0,1,0,1,1,0,0,2,2,2,2,162259,IRL10100115
2009,IRL,10100116,13.068489381,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,162260,IRL10100116
2009,IRL,10100117,13.068489381,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,162261,IRL10100117
2009,IRL,10100118,13.068489381,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,162262,IRL10100118
2009,IRL,10100119,13.068489381,0,0,1,1,0,1,1,0,1,1,0,0,0,1,2,0,0,162263,IRL10100119
2009,IRL,10100120,13.068489381,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,162264,IRL10100120
2009,IRL,10100121,13.068489381,1,1,1,1,1,0,0,1,1,0,1,0,1,3,2,2,1,162265,IRL10100121
2009,IRL,10100122,13.068489381,1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,NA,2,162266,IRL10100122
2009,IRL,10100123,13.068489381,0,0,1,1,0,1,0,0,0,0,0,0,0,2,2,NA,NA,162267,IRL10100123
2009,IRL,10110101,19.898529,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,2,0,162268,IRL10110101
2009,IRL,10110102,19.898529,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,162269,IRL10110102
2009,IRL,10110103,19.898529,1,0,1,1,1,1,0,1,1,0,1,1,1,1,2,2,0,162270,IRL10110103
2009,IRL,10110104,19.898529,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,NA,NA,162271,IRL10110104
2009,IRL,10110105,19.898529,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,NA,162272,IRL10110105
2009,IRL,10110107,19.898529,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,162273,IRL10110107
2009,IRL,10110109,19.898529,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,NA,NA,162274,IRL10110109
2009,IRL,10110110,19.898529,1,1,1,1,1,1,0,1,0,1,0,1,0,1,2,0,0,162275,IRL10110110
2009,IRL,10110111,19.898529,1,1,1,1,1,1,1,NA,1,1,0,0,1,1,1,0,1,162276,IRL10110111
2009,IRL,10110112,19.898529,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,2,162277,IRL10110112
