ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2009,ITA,10011301,161.309024,1,1,1,0,1,1,1,1,1,1,0,0,0,3,2,1,2,165489,ITA10011301
2009,ITA,10011302,161.309024,1,1,1,0,1,1,1,0,1,1,1,0,0,3,2,1,1,165490,ITA10011302
2009,ITA,10011303,161.309024,1,0,0,1,0,1,1,1,1,0,1,0,0,3,2,1,2,165491,ITA10011303
2009,ITA,10011304,161.309024,1,1,1,1,1,1,1,0,1,1,1,0,0,3,2,2,1,165492,ITA10011304
2009,ITA,10011305,161.309024,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,2,165493,ITA10011305
2009,ITA,10011306,161.309024,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,2,2,165494,ITA10011306
2009,ITA,10011307,161.309024,1,1,1,1,1,1,1,0,1,1,1,0,1,3,2,2,2,165495,ITA10011307
2009,ITA,10011308,161.309024,1,1,1,0,1,1,1,1,1,1,1,0,1,3,0,1,1,165496,ITA10011308
2009,ITA,10011309,161.309024,1,1,0,1,1,1,1,1,1,1,0,0,1,2,2,2,2,165497,ITA10011309
2009,ITA,10011310,161.309024,1,0,0,1,0,0,1,1,1,1,0,0,0,3,2,1,2,165498,ITA10011310
2009,ITA,10011311,161.309024,1,0,1,1,1,1,1,1,1,1,1,0,1,3,2,2,2,165499,ITA10011311
2009,ITA,10011312,161.309024,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,1,165500,ITA10011312
2009,ITA,10011313,161.309024,1,1,1,0,1,1,0,1,1,1,0,0,0,2,2,1,1,165501,ITA10011313
2009,ITA,10011314,161.309024,1,1,1,1,1,1,1,1,1,1,1,0,0,2,2,1,1,165502,ITA10011314
2009,ITA,10011315,161.309024,1,0,0,1,0,1,1,1,1,0,1,0,1,1,2,1,2,165503,ITA10011315
2009,ITA,10011316,161.309024,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,1,2,165504,ITA10011316
2009,ITA,10011317,161.309024,1,1,1,0,1,1,1,1,1,0,1,1,0,3,2,2,1,165505,ITA10011317
2009,ITA,10020901,141.506833,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,2,0,165506,ITA10020901
2009,ITA,10020902,141.506833,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,2,165507,ITA10020902
2009,ITA,10020903,141.506833,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,165508,ITA10020903
2009,ITA,10020904,141.506833,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,2,165509,ITA10020904
2009,ITA,10020905,141.506833,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,165510,ITA10020905
2009,ITA,10020906,141.506833,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,165511,ITA10020906
2009,ITA,10020907,141.506833,1,1,1,1,1,1,1,1,1,0,0,0,1,2,2,1,1,165512,ITA10020907
2009,ITA,10020908,141.506833,1,1,0,1,1,1,1,1,1,1,0,0,1,3,2,1,2,165513,ITA10020908
2009,ITA,10020909,141.506833,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,165514,ITA10020909
2009,ITA,10020910,141.506833,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,2,1,165515,ITA10020910
2009,ITA,10020911,141.506833,1,1,0,1,1,1,1,1,1,0,1,0,0,3,1,2,2,165516,ITA10020911
2009,ITA,10020912,141.506833,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,0,165517,ITA10020912
2009,ITA,10020913,141.506833,1,1,1,1,1,1,1,1,0,1,1,0,1,3,2,1,1,165518,ITA10020913
2009,ITA,10020914,141.506833,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,165519,ITA10020914
2009,ITA,10020915,141.506833,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,2,2,165520,ITA10020915
2009,ITA,10020916,141.506833,1,0,1,1,0,1,1,0,1,1,0,1,1,1,2,2,0,165521,ITA10020916
2009,ITA,10020917,141.506833,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,2,165522,ITA10020917
2009,ITA,10020919,141.506833,1,1,1,1,1,1,1,1,1,0,1,0,1,2,2,2,2,165523,ITA10020919
2009,ITA,10020920,141.506833,1,1,1,1,1,1,1,1,1,0,1,1,1,3,2,0,2,165524,ITA10020920
2009,ITA,10020921,141.506833,1,1,0,1,1,0,1,1,1,0,1,0,1,1,2,0,2,165525,ITA10020921
2009,ITA,10020923,141.506833,1,1,1,1,1,1,1,0,1,1,1,0,1,3,2,1,1,165526,ITA10020923
2009,ITA,10020924,141.506833,1,1,1,1,1,0,1,0,1,0,0,0,1,3,2,1,2,165527,ITA10020924
2009,ITA,10030201,94.0262430477,1,1,0,1,0,1,1,1,1,0,0,0,1,2,2,1,1,165528,ITA10030201
2009,ITA,10030202,94.0262430477,1,NA,1,1,1,1,1,0,0,1,1,0,0,3,2,1,1,165529,ITA10030202
2009,ITA,10030203,94.0262430477,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,1,1,165530,ITA10030203
2009,ITA,10030204,94.0262430477,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,165531,ITA10030204
2009,ITA,10030207,94.0262430477,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,2,1,165532,ITA10030207
2009,ITA,10030209,94.0262430477,1,1,0,1,1,1,1,1,1,1,0,0,0,2,1,1,0,165533,ITA10030209
2009,ITA,10030210,94.0262430477,1,1,0,1,1,0,1,0,0,1,0,1,1,2,2,2,1,165534,ITA10030210
2009,ITA,10030211,94.0262430477,1,0,1,1,1,1,0,1,0,0,0,0,0,3,1,1,1,165535,ITA10030211
2009,ITA,10030212,94.0262430477,1,1,1,1,1,1,1,1,1,1,0,1,0,1,2,1,1,165536,ITA10030212
2009,ITA,10030213,94.0262430477,1,1,1,1,0,1,1,1,1,0,0,0,0,3,2,1,0,165537,ITA10030213
2009,ITA,10030214,94.0262430477,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,NA,165538,ITA10030214
2009,ITA,10030215,94.0262430477,1,1,1,1,1,1,1,1,1,0,1,1,0,3,2,2,2,165539,ITA10030215
2009,ITA,10030216,94.0262430477,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,1,165540,ITA10030216
2009,ITA,10030217,94.0262430477,1,0,1,0,1,0,1,1,1,1,1,0,1,1,2,1,1,165541,ITA10030217
2009,ITA,10030218,94.0262430477,1,1,0,0,1,1,1,1,1,1,1,0,0,3,1,1,2,165542,ITA10030218
2009,ITA,10030219,94.0262430477,1,1,1,1,1,1,1,1,1,0,1,0,0,1,2,1,0,165543,ITA10030219
2009,ITA,10030220,94.0262430477,1,1,1,1,1,1,1,0,1,1,0,0,1,1,2,1,1,165544,ITA10030220
2009,ITA,10030221,94.0262430477,1,1,1,1,1,1,1,1,1,0,1,1,0,2,2,2,2,165545,ITA10030221
2009,ITA,10030222,94.0262430477,1,1,1,1,1,0,1,1,1,1,0,0,1,3,2,1,1,165546,ITA10030222
2009,ITA,10030223,94.0262430477,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2,1,1,165547,ITA10030223
2009,ITA,10030224,94.0262430477,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,1,2,165548,ITA10030224
2009,ITA,10040102,35.7407585625,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,1,1,165549,ITA10040102
2009,ITA,10040103,35.7407585625,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,165550,ITA10040103
2009,ITA,10040104,35.7407585625,1,0,0,1,1,0,1,0,1,0,0,0,1,2,1,1,1,165551,ITA10040104
2009,ITA,10040105,35.7407585625,1,1,1,1,1,0,1,1,1,1,1,0,1,2,2,1,0,165552,ITA10040105
2009,ITA,10040106,35.7407585625,1,1,1,0,1,0,1,1,1,1,1,1,0,1,2,1,1,165553,ITA10040106
2009,ITA,10040107,35.7407585625,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,165554,ITA10040107
2009,ITA,10040108,35.7407585625,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,165555,ITA10040108
2009,ITA,10040109,35.7407585625,1,1,1,0,1,NA,1,0,1,1,1,0,0,1,2,0,0,165556,ITA10040109
2009,ITA,10040110,35.7407585625,1,1,1,1,1,1,1,1,0,1,0,0,1,2,1,1,0,165557,ITA10040110
2009,ITA,10040111,35.7407585625,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,0,165558,ITA10040111
2009,ITA,10040112,35.7407585625,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,165559,ITA10040112
2009,ITA,10040114,35.7407585625,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,165560,ITA10040114
2009,ITA,10040115,35.7407585625,1,1,0,1,1,1,1,1,1,0,1,1,1,1,2,0,0,165561,ITA10040115
2009,ITA,10040116,35.7407585625,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,2,0,165562,ITA10040116
2009,ITA,10040117,35.7407585625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,165563,ITA10040117
2009,ITA,10040118,35.7407585625,1,1,1,0,1,1,1,1,1,0,0,1,1,1,2,0,0,165564,ITA10040118
2009,ITA,10050901,113.95406,1,0,1,0,0,1,1,1,1,1,1,0,0,3,2,1,2,165565,ITA10050901
2009,ITA,10050902,113.95406,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,NA,0,165566,ITA10050902
2009,ITA,10050903,113.95406,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,165567,ITA10050903
2009,ITA,10050904,113.95406,1,1,1,1,1,1,0,1,1,1,1,1,1,3,2,2,2,165568,ITA10050904
2009,ITA,10050905,113.95406,1,1,1,0,1,1,1,1,1,1,1,1,0,3,2,1,2,165569,ITA10050905
2009,ITA,10050906,113.95406,1,1,1,0,1,1,1,1,1,1,1,0,0,1,2,1,2,165570,ITA10050906
2009,ITA,10050907,113.95406,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,2,2,165571,ITA10050907
2009,ITA,10050908,113.95406,1,1,0,1,1,1,1,1,1,1,1,0,0,3,2,2,2,165572,ITA10050908
2009,ITA,10050909,113.95406,1,1,1,0,1,1,1,1,1,0,0,0,1,1,2,2,2,165573,ITA10050909
2009,ITA,10050910,113.95406,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,1,1,165574,ITA10050910
2009,ITA,10050912,113.95406,1,1,0,1,1,1,1,1,1,0,0,0,1,2,2,2,1,165575,ITA10050912
2009,ITA,10050913,113.95406,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,165576,ITA10050913
2009,ITA,10050914,113.95406,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,2,1,165577,ITA10050914
2009,ITA,10050915,113.95406,1,1,1,0,1,0,0,0,1,1,1,0,1,1,2,1,1,165578,ITA10050915
2009,ITA,10050917,113.95406,1,1,0,0,1,1,0,1,1,1,0,0,1,1,2,0,NA,165579,ITA10050917
2009,ITA,10050918,113.95406,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,2,165580,ITA10050918
2009,ITA,10050919,113.95406,1,1,1,1,1,1,1,1,1,1,0,0,0,3,2,2,1,165581,ITA10050919
2009,ITA,10050920,113.95406,1,1,1,1,1,1,1,1,1,0,1,1,0,3,2,1,2,165582,ITA10050920
2009,ITA,10060201,112.57194,1,1,1,1,0,0,1,1,1,1,0,0,0,2,2,2,2,165583,ITA10060201
2009,ITA,10060202,112.57194,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,1,1,165584,ITA10060202
2009,ITA,10060203,112.57194,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,0,165585,ITA10060203
2009,ITA,10060204,112.57194,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,NA,NA,165586,ITA10060204
2009,ITA,10060205,112.57194,1,1,1,1,1,1,1,0,1,1,1,0,0,2,NA,2,1,165587,ITA10060205
2009,ITA,10060206,112.57194,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,0,0,165588,ITA10060206
2009,ITA,10060207,112.57194,1,1,1,1,1,1,1,1,1,1,0,1,0,2,2,2,2,165589,ITA10060207
2009,ITA,10060208,112.57194,1,1,1,1,1,1,1,0,1,1,1,0,0,1,2,1,1,165590,ITA10060208
2009,ITA,10060209,112.57194,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,1,0,165591,ITA10060209
2009,ITA,10060210,112.57194,1,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,165592,ITA10060210
2009,ITA,10060211,112.57194,1,1,1,1,0,1,1,1,1,1,1,0,1,1,2,1,2,165593,ITA10060211
2009,ITA,10060212,112.57194,1,1,1,0,1,1,1,1,1,0,1,0,0,1,2,1,1,165594,ITA10060212
2009,ITA,10060214,112.57194,1,1,1,0,1,1,0,0,1,1,1,0,1,2,2,1,1,165595,ITA10060214
2009,ITA,10060215,112.57194,1,1,0,1,1,1,1,1,1,0,0,0,1,1,2,0,1,165596,ITA10060215
2009,ITA,10060216,112.57194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,165597,ITA10060216
2009,ITA,10060218,112.57194,1,1,0,1,1,1,1,1,1,0,0,0,0,1,2,0,0,165598,ITA10060218
2009,ITA,10060219,112.57194,1,1,0,1,0,1,1,1,1,0,0,0,0,1,2,0,0,165599,ITA10060219
2009,ITA,10060220,112.57194,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,165600,ITA10060220
2009,ITA,10060221,112.57194,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,165601,ITA10060221
2009,ITA,10060222,112.57194,1,1,1,1,1,1,1,1,1,0,0,1,0,3,2,2,2,165602,ITA10060222
2009,ITA,10060223,112.57194,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,0,165603,ITA10060223
2009,ITA,10060224,112.57194,1,1,1,1,1,1,1,1,0,1,0,1,1,3,2,2,2,165604,ITA10060224
2009,ITA,10060225,112.57194,0,1,1,0,0,1,0,1,0,1,1,1,0,3,2,0,2,165605,ITA10060225
2009,ITA,10060226,112.57194,1,1,1,1,1,1,0,1,1,1,1,0,0,3,1,1,NA,165606,ITA10060226
2009,ITA,10071001,157.6066272,1,1,1,1,1,0,1,1,1,1,0,0,0,2,2,1,0,165607,ITA10071001
