ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2016,KOR,10020101,158.928152,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,278791,KOR10020101
2016,KOR,10020102,158.928152,1,1,1,1,1,1,1,0,1,1,1,0,1,3,2,2,2,278792,KOR10020102
2016,KOR,10020103,158.928152,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,278793,KOR10020103
2016,KOR,10020104,158.928152,1,0,1,1,0,1,1,1,1,0,0,0,1,1,2,1,1,278794,KOR10020104
2016,KOR,10020105,158.928152,1,0,0,1,1,1,1,0,1,0,0,0,1,1,2,1,1,278795,KOR10020105
2016,KOR,10020106,158.928152,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,2,2,278796,KOR10020106
2016,KOR,10020107,158.928152,1,1,1,1,1,1,1,0,1,1,1,1,1,3,2,2,2,278797,KOR10020107
2016,KOR,10020108,158.928152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,278798,KOR10020108
2016,KOR,10020109,158.928152,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,2,278799,KOR10020109
2016,KOR,10020110,158.928152,1,0,1,1,0,1,1,1,1,1,0,0,1,3,2,2,1,278800,KOR10020110
2016,KOR,10020111,158.928152,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2,278801,KOR10020111
2016,KOR,10020112,158.928152,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,278802,KOR10020112
2016,KOR,10020113,158.928152,1,1,1,1,1,1,1,0,1,1,1,0,1,3,2,2,2,278803,KOR10020113
2016,KOR,10020114,158.928152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,278804,KOR10020114
2016,KOR,10020115,158.928152,1,1,1,1,1,1,1,0,1,1,1,0,1,2,2,1,2,278805,KOR10020115
2016,KOR,10020116,158.928152,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,2,2,278806,KOR10020116
2016,KOR,10020117,158.928152,1,0,1,1,0,1,1,0,1,0,0,0,1,2,2,1,2,278807,KOR10020117
2016,KOR,10020118,158.928152,1,1,1,1,1,1,1,0,1,1,1,0,1,2,2,2,2,278808,KOR10020118
2016,KOR,10020119,158.928152,1,1,1,1,1,1,1,0,0,1,1,1,1,2,2,2,1,278809,KOR10020119
2016,KOR,10020120,158.928152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,278810,KOR10020120
2016,KOR,10020121,158.928152,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,278811,KOR10020121
2016,KOR,10020122,158.928152,1,1,0,1,1,1,1,0,1,1,0,0,1,2,2,1,1,278812,KOR10020122
2016,KOR,10020123,158.928152,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,278813,KOR10020123
2016,KOR,10020124,158.928152,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,278814,KOR10020124
2016,KOR,10020125,158.928152,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,278815,KOR10020125
2016,KOR,10020127,158.928152,1,1,1,1,1,1,1,1,1,0,1,1,1,3,2,1,2,278816,KOR10020127
2016,KOR,10020128,158.928152,1,0,1,1,0,1,1,0,1,1,1,0,1,3,2,2,2,278817,KOR10020128
2016,KOR,10020130,158.928152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,278818,KOR10020130
2016,KOR,10020131,158.928152,1,0,1,0,0,1,1,1,1,1,1,0,1,1,2,1,1,278819,KOR10020131
2016,KOR,10020132,158.928152,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,1,2,278820,KOR10020132
2016,KOR,10040401,153.184578,1,1,1,1,1,1,0,1,1,1,0,0,1,1,2,2,2,278821,KOR10040401
2016,KOR,10040402,153.184578,1,1,1,1,1,1,1,0,1,1,NA,1,1,1,2,2,2,278822,KOR10040402
2016,KOR,10040403,153.184578,1,1,1,1,1,1,1,1,0,1,1,1,1,3,2,2,2,278823,KOR10040403
2016,KOR,10040404,153.184578,1,1,1,1,1,1,0,0,1,0,0,0,1,2,2,2,2,278824,KOR10040404
2016,KOR,10040405,153.184578,0,1,1,1,1,1,1,1,1,1,0,0,1,3,2,2,2,278825,KOR10040405
2016,KOR,10040406,153.184578,1,0,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,278826,KOR10040406
2016,KOR,10040407,153.184578,1,1,1,1,1,0,0,0,0,1,1,0,1,3,2,1,2,278827,KOR10040407
2016,KOR,10040408,153.184578,1,1,1,1,1,0,0,0,0,1,0,0,1,3,2,2,2,278828,KOR10040408
2016,KOR,10040409,153.184578,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,278829,KOR10040409
2016,KOR,10040410,153.184578,1,0,0,1,1,0,0,0,1,0,0,0,1,2,2,1,1,278830,KOR10040410
2016,KOR,10040411,153.184578,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2,2,2,278831,KOR10040411
2016,KOR,10040412,153.184578,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,278832,KOR10040412
2016,KOR,10040413,153.184578,1,1,1,1,1,1,0,0,1,1,0,0,1,2,2,2,2,278833,KOR10040413
2016,KOR,10040415,153.184578,1,1,1,1,1,1,1,0,1,1,0,0,1,3,2,2,2,278834,KOR10040415
2016,KOR,10040416,153.184578,1,0,1,1,1,1,0,1,1,0,0,0,1,3,1,1,2,278835,KOR10040416
2016,KOR,10040417,153.184578,1,1,1,1,1,1,1,0,1,1,1,0,1,2,2,0,NA,278836,KOR10040417
2016,KOR,10040418,153.184578,0,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,278837,KOR10040418
2016,KOR,10040419,153.184578,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,278838,KOR10040419
2016,KOR,10040420,153.184578,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,278839,KOR10040420
2016,KOR,10040421,153.184578,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,278840,KOR10040421
2016,KOR,10040422,153.184578,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,2,2,278841,KOR10040422
2016,KOR,10040423,153.184578,0,1,1,1,1,1,1,0,0,1,1,1,1,2,2,1,2,278842,KOR10040423
2016,KOR,10040424,153.184578,0,0,0,1,0,1,0,0,0,0,0,0,1,3,1,2,NA,278843,KOR10040424
2016,KOR,10040425,153.184578,1,1,1,1,1,1,1,0,1,1,1,1,1,3,2,2,1,278844,KOR10040425
2016,KOR,10040426,153.184578,1,1,1,1,1,1,1,0,1,1,1,1,1,3,2,2,2,278845,KOR10040426
2016,KOR,10040427,153.184578,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,278846,KOR10040427
2016,KOR,10070801,143.134499,1,0,0,0,1,1,1,0,1,1,0,0,1,1,2,1,2,278847,KOR10070801
2016,KOR,10070802,143.134499,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,278848,KOR10070802
2016,KOR,10070803,143.134499,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,278849,KOR10070803
2016,KOR,10070804,143.134499,1,1,1,1,1,1,1,0,1,1,0,1,1,3,2,2,2,278850,KOR10070804
2016,KOR,10070805,143.134499,1,1,1,1,1,1,1,0,1,1,0,0,1,2,2,2,2,278851,KOR10070805
2016,KOR,10070806,143.134499,1,1,1,1,1,1,1,0,1,1,1,0,1,3,2,2,2,278852,KOR10070806
2016,KOR,10070807,143.134499,1,1,1,1,1,0,1,0,1,1,0,0,1,1,2,2,2,278853,KOR10070807
2016,KOR,10070808,143.134499,1,0,1,1,0,1,1,1,1,1,0,0,1,1,2,1,2,278854,KOR10070808
2016,KOR,10070809,143.134499,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,278855,KOR10070809
2016,KOR,10070810,143.134499,1,1,1,1,1,1,1,0,1,1,0,0,1,3,2,1,2,278856,KOR10070810
2016,KOR,10070811,143.134499,0,1,1,0,1,1,1,0,1,1,1,0,1,2,2,1,NA,278857,KOR10070811
2016,KOR,10070812,143.134499,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,1,1,278858,KOR10070812
2016,KOR,10070813,143.134499,1,1,1,1,1,1,1,0,1,1,1,0,1,0,2,2,2,278859,KOR10070813
2016,KOR,10070815,143.134499,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,278860,KOR10070815
2016,KOR,10070816,143.134499,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,278861,KOR10070816
2016,KOR,10070817,143.134499,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,278862,KOR10070817
2016,KOR,10070818,143.134499,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,278863,KOR10070818
2016,KOR,10070819,143.134499,1,0,0,1,0,1,1,0,1,0,0,0,1,2,2,2,2,278864,KOR10070819
2016,KOR,10070820,143.134499,1,1,1,1,1,1,1,0,1,1,1,0,1,1,2,2,2,278865,KOR10070820
2016,KOR,10070821,143.134499,1,1,1,1,1,1,1,1,1,1,0,1,1,3,2,1,1,278866,KOR10070821
2016,KOR,10070822,143.134499,1,0,1,1,1,1,1,0,1,1,0,0,1,1,2,2,2,278867,KOR10070822
2016,KOR,10070823,143.134499,0,1,1,1,1,1,0,0,0,0,0,0,1,1,2,2,1,278868,KOR10070823
2016,KOR,10070824,143.134499,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,278869,KOR10070824
