ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2009,LIE,10010101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,NA,NA,174109,LIE10010101
2009,LIE,10010102,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,2,174110,LIE10010102
2009,LIE,10010103,1,1,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,2,174111,LIE10010103
2009,LIE,10010105,1,1,0,0,0,0,0,0,1,0,NA,0,0,1,1,0,0,2,174112,LIE10010105
2009,LIE,10010106,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,174113,LIE10010106
2009,LIE,10010108,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,174114,LIE10010108
2009,LIE,10010109,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,NA,1,174115,LIE10010109
2009,LIE,10010110,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,174116,LIE10010110
2009,LIE,10010111,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,2,174117,LIE10010111
2009,LIE,10010112,1,1,0,1,0,0,1,1,1,1,0,1,1,1,2,NA,0,0,174118,LIE10010112
2009,LIE,10010202,1.1666666667,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,174119,LIE10010202
2009,LIE,10010203,1,0,0,1,0,0,1,1,1,0,0,0,0,0,3,0,1,1,174120,LIE10010203
2009,LIE,10010204,1.1666666667,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,NA,0,174121,LIE10010204
2009,LIE,10010205,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,NA,NA,174122,LIE10010205
2009,LIE,10010206,1.1666666667,1,1,1,1,1,1,1,1,0,1,0,1,1,2,NA,1,1,174123,LIE10010206
2009,LIE,10010207,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,2,2,174124,LIE10010207
2009,LIE,10010208,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,NA,NA,174125,LIE10010208
2009,LIE,10010209,1.1666666667,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,174126,LIE10010209
2009,LIE,10010210,1,1,1,1,1,1,1,1,1,1,1,1,1,0,3,1,1,2,174127,LIE10010210
2009,LIE,10010211,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,174128,LIE10010211
2009,LIE,10010212,1.1666666667,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,174129,LIE10010212
2009,LIE,10010213,1,0,1,0,0,1,1,1,1,1,1,0,0,0,2,2,0,2,174130,LIE10010213
2009,LIE,10010214,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,174131,LIE10010214
2009,LIE,10010215,1.1666666667,1,1,0,1,1,1,1,1,1,1,0,1,1,2,1,1,1,174132,LIE10010215
2009,LIE,10010301,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,174133,LIE10010301
2009,LIE,10010302,1.125,1,1,1,1,1,1,1,1,0,0,1,1,1,1,NA,NA,2,174134,LIE10010302
2009,LIE,10010303,1.125,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,NA,0,174135,LIE10010303
2009,LIE,10010304,1.125,1,0,0,1,0,0,0,1,0,1,0,NA,1,0,0,NA,NA,174136,LIE10010304
2009,LIE,10010305,1.125,1,1,1,1,1,0,1,1,0,1,0,0,1,2,0,0,0,174137,LIE10010305
2009,LIE,10010307,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,174138,LIE10010307
2009,LIE,10010308,1.125,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,174139,LIE10010308
