ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
1999,LTU,10306,12.132737,1,1,1,1,1,1,1,1,1,NA,1,NA,1,1,2,2,2,60322,LTU10306
1999,LTU,10309,12.132737,1,1,1,1,0,1,0,0,1,1,0,0,1,1,2,2,0,60323,LTU10309
1999,LTU,10311,12.132737,1,1,1,0,1,1,1,1,1,1,1,NA,1,1,1,2,1,60324,LTU10311
1999,LTU,10312,12.132737,1,1,1,1,1,1,0,1,1,NA,0,NA,1,2,1,2,2,60325,LTU10312
1999,LTU,10313,12.132737,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,0,1,1,60326,LTU10313
1999,LTU,10314,12.132737,1,0,0,1,1,1,0,0,0,1,0,0,1,1,2,2,2,60327,LTU10314
1999,LTU,10315,12.132737,1,1,1,1,1,1,1,1,1,NA,1,0,1,1,0,1,NA,60328,LTU10315
1999,LTU,10319,12.132737,1,1,1,1,0,0,1,1,0,1,1,0,1,3,1,NA,NA,60329,LTU10319
1999,LTU,10322,12.132737,1,1,1,1,1,1,1,0,1,0,1,0,1,3,2,2,2,60330,LTU10322
1999,LTU,10323,12.132737,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,60331,LTU10323
1999,LTU,10325,12.132737,1,1,1,1,1,1,1,1,1,NA,0,NA,1,3,1,2,2,60332,LTU10325
1999,LTU,10326,12.132737,1,1,1,1,1,1,1,1,0,1,1,NA,1,1,2,1,1,60333,LTU10326
1999,LTU,10327,12.132737,1,1,1,1,1,1,1,1,0,1,1,0,1,3,1,NA,NA,60334,LTU10327
1999,LTU,10328,12.132737,1,0,1,1,0,1,0,1,0,0,0,0,1,1,1,2,2,60335,LTU10328
1999,LTU,20301,13.378163,1,NA,1,1,0,1,0,1,1,1,1,NA,1,1,0,1,NA,60336,LTU20301
1999,LTU,20305,13.378163,NA,1,NA,1,NA,1,0,1,0,NA,NA,NA,1,1,1,1,1,60337,LTU20305
1999,LTU,20306,13.378163,1,1,1,1,1,1,1,1,1,0,1,NA,1,2,0,2,0,60338,LTU20306
1999,LTU,20307,13.378163,1,1,1,0,1,1,1,1,1,1,0,NA,1,0,1,2,2,60339,LTU20307
1999,LTU,20310,13.378163,1,1,1,1,0,0,0,1,1,1,0,1,1,1,0,2,2,60340,LTU20310
1999,LTU,20313,13.378163,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,60341,LTU20313
