ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2009,LUX,10010101,1,1,0,1,1,0,1,1,1,1,0,0,0,1,3,2,1,2,178368,LUX10010101
2009,LUX,10010102,1,1,0,0,0,0,1,1,1,1,0,1,0,1,3,2,1,1,178369,LUX10010102
2009,LUX,10010103,1,1,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,178370,LUX10010103
2009,LUX,10010104,1,1,1,0,0,1,1,0,1,1,1,0,0,1,2,2,2,2,178371,LUX10010104
2009,LUX,10010105,1,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,2,2,178372,LUX10010105
2009,LUX,10010106,1,1,1,1,1,1,1,1,1,1,0,0,1,0,3,2,2,2,178373,LUX10010106
2009,LUX,10010107,1,1,0,0,1,0,1,1,1,1,0,0,0,1,2,2,1,1,178374,LUX10010107
2009,LUX,10010108,1,1,0,0,1,0,1,1,1,1,0,1,0,0,3,2,2,2,178375,LUX10010108
2009,LUX,10010109,1,1,0,0,0,0,1,1,0,1,0,0,0,NA,3,2,2,2,178376,LUX10010109
2009,LUX,10010110,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,0,2,178377,LUX10010110
2009,LUX,10010111,1,1,0,0,1,1,1,1,0,1,1,0,1,0,3,2,2,2,178378,LUX10010111
2009,LUX,10010201,1,1,1,1,1,1,0,0,1,1,1,1,0,1,3,2,0,0,178379,LUX10010201
2009,LUX,10010202,1,1,0,0,0,0,1,0,1,0,0,0,0,1,3,2,0,2,178380,LUX10010202
2009,LUX,10010203,1,1,1,1,1,1,1,0,1,1,1,1,0,0,2,2,1,2,178381,LUX10010203
2009,LUX,10010204,1,1,0,1,1,1,1,1,1,1,0,0,0,0,3,2,2,2,178382,LUX10010204
2009,LUX,10010205,1,1,0,0,0,1,0,1,0,1,0,0,0,0,3,2,2,2,178383,LUX10010205
2009,LUX,10010206,1,1,1,1,1,1,1,1,1,0,1,1,0,0,3,2,2,2,178384,LUX10010206
2009,LUX,10010207,1,1,1,1,1,0,1,1,1,1,0,0,0,0,3,2,2,2,178385,LUX10010207
