ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
1999,LVA,10101,13.96416,important,important,important,important,important,important,important,important,important,not important,not important,not important,1,2,2,0,1,63816,LVA10101
1999,LVA,10102,13.96416,important,important,important,important,not important,important,important,important,important,not important,important,not important,1,3,2,2,2,63817,LVA10102
1999,LVA,10103,13.96416,important,important,important,important,important,important,not important,important,not important,important,not important,not important,1,3,1,NA,NA,63818,LVA10103
1999,LVA,10105,13.96416,important,important,important,important,important,important,important,NA,important,important,important,NA,1,1,1,2,2,63819,LVA10105
1999,LVA,10107,13.96416,important,important,important,important,important,important,important,important,important,not important,important,not important,1,1,2,2,2,63820,LVA10107
1999,LVA,10111,13.96416,important,important,important,important,important,important,important,important,important,not important,important,not important,1,3,2,NA,NA,63821,LVA10111
1999,LVA,10113,13.96416,important,important,important,important,important,not important,not important,important,not important,important,not important,not important,1,1,1,2,1,63822,LVA10113
1999,LVA,10115,13.96416,important,important,important,important,important,important,important,important,important,important,not important,not important,1,3,2,1,2,63823,LVA10115
1999,LVA,10116,13.96416,important,important,not important,not important,important,not important,important,important,NA,not important,not important,not important,1,2,2,2,1,63824,LVA10116
1999,LVA,10117,13.96416,important,important,important,not important,important,not important,important,important,important,important,not important,important,1,3,2,2,2,63825,LVA10117
1999,LVA,10118,13.96416,important,important,not important,not important,important,important,important,important,important,important,not important,not important,1,3,1,2,2,63826,LVA10118
1999,LVA,10121,13.96416,important,important,important,important,important,important,important,important,important,not important,important,not important,1,3,2,2,2,63827,LVA10121
1999,LVA,10123,13.96416,not important,not important,not important,important,not important,important,not important,important,important,not important,not important,not important,1,3,1,2,NA,63828,LVA10123
1999,LVA,10124,13.96416,important,important,important,not important,not important,important,not important,not important,not important,important,not important,NA,1,1,1,0,0,63829,LVA10124
1999,LVA,10125,13.96416,important,NA,important,important,important,important,not important,important,important,NA,NA,not important,1,2,2,2,2,63830,LVA10125
1999,LVA,10126,13.96416,important,important,important,important,important,important,important,important,important,important,not important,important,1,3,2,2,2,63831,LVA10126
1999,LVA,10129,13.96416,important,important,important,not important,not important,important,important,important,important,important,not important,not important,1,3,0,2,2,63832,LVA10129
1999,LVA,10130,13.96416,important,important,important,important,important,important,important,important,important,not important,not important,not important,1,3,2,2,2,63833,LVA10130
1999,LVA,10132,13.96416,important,not important,important,not important,not important,important,important,not important,important,important,not important,not important,1,1,2,2,2,63834,LVA10132
1999,LVA,30201,11.27315,important,important,important,important,important,not important,important,important,important,important,important,important,1,2,0,1,0,63835,LVA30201
1999,LVA,30203,11.27315,important,important,important,important,important,important,important,important,important,important,important,not important,1,1,1,NA,0,63836,LVA30203
1999,LVA,30204,11.27315,important,important,important,important,important,important,important,important,important,important,important,important,1,1,2,2,NA,63837,LVA30204
1999,LVA,30208,11.27315,important,important,important,important,important,important,important,important,important,important,important,important,1,2,0,2,2,63838,LVA30208
1999,LVA,30209,11.27315,important,important,important,important,important,important,important,not important,important,important,not important,not important,1,2,0,2,1,63839,LVA30209
1999,LVA,30211,11.27315,important,important,NA,important,not important,not important,not important,important,not important,not important,not important,not important,1,2,2,2,2,63840,LVA30211
1999,LVA,30212,11.27315,important,important,important,important,important,important,important,important,not important,important,not important,not important,1,2,1,2,2,63841,LVA30212
1999,LVA,30213,11.27315,important,important,important,important,important,important,important,important,important,important,important,important,1,3,2,2,2,63842,LVA30213
1999,LVA,30215,11.27315,important,important,important,important,important,important,important,important,important,important,important,important,1,3,1,2,2,63843,LVA30215
1999,LVA,30216,11.27315,important,important,not important,important,important,important,important,important,not important,not important,not important,not important,1,2,1,2,2,63844,LVA30216
1999,LVA,30217,11.27315,important,important,important,important,important,important,important,important,important,important,important,not important,1,2,1,NA,2,63845,LVA30217
1999,LVA,30218,11.27315,important,important,important,important,important,important,important,important,important,important,important,not important,1,3,2,2,2,63846,LVA30218
1999,LVA,30222,11.27315,important,important,important,important,important,important,important,important,important,important,not important,not important,1,3,1,2,2,63847,LVA30222
1999,LVA,30223,11.27315,important,important,important,not important,important,important,important,important,important,important,important,not important,1,1,1,2,2,63848,LVA30223
1999,LVA,30226,11.27315,important,important,important,important,not important,important,important,not important,important,important,not important,not important,1,3,1,1,2,63849,LVA30226
1999,LVA,30230,11.27315,important,important,important,important,important,important,important,important,important,important,important,not important,1,3,2,2,2,63850,LVA30230
1999,LVA,50201,14.18235,important,important,important,important,important,important,important,important,not important,not important,not important,not important,1,2,1,2,2,63851,LVA50201
1999,LVA,50202,14.18235,not important,important,not important,important,important,important,important,not important,important,not important,not important,not important,1,3,2,2,2,63852,LVA50202
1999,LVA,50203,14.18235,important,not important,not important,not important,not important,important,not important,important,important,not important,important,important,1,3,1,2,NA,63853,LVA50203
1999,LVA,50205,14.18235,important,important,important,not important,important,important,not important,important,important,not important,not important,not important,1,1,1,2,NA,63854,LVA50205
1999,LVA,50209,14.18235,important,important,important,important,not important,important,not important,not important,important,not important,not important,important,1,3,2,2,2,63855,LVA50209
1999,LVA,50210,14.18235,important,not important,important,important,not important,important,important,important,important,important,not important,not important,1,2,2,2,2,63856,LVA50210
1999,LVA,50211,14.18235,important,important,not important,important,not important,important,important,not important,important,not important,not important,not important,1,3,2,2,2,63857,LVA50211
1999,LVA,50212,14.18235,important,important,important,important,important,important,important,important,not important,not important,not important,not important,1,3,1,2,NA,63858,LVA50212
1999,LVA,50213,14.18235,important,important,important,important,not important,not important,important,not important,important,not important,not important,not important,1,3,2,2,2,63859,LVA50213
1999,LVA,50215,14.18235,important,not important,important,important,important,important,important,important,important,important,important,not important,1,3,2,2,2,63860,LVA50215
1999,LVA,50216,14.18235,important,important,important,important,important,important,important,important,important,important,not important,not important,1,2,1,2,2,63861,LVA50216
1999,LVA,50218,14.18235,important,important,not important,important,important,important,NA,not important,important,important,important,not important,1,1,1,2,2,63862,LVA50218
1999,LVA,50221,14.18235,important,important,important,important,important,important,important,not important,important,important,important,not important,1,3,1,2,NA,63863,LVA50221
1999,LVA,50225,14.18235,important,not important,not important,important,important,important,important,not important,not important,not important,important,not important,1,1,1,2,2,63864,LVA50225
1999,LVA,50226,14.18235,important,important,important,important,important,not important,important,important,not important,important,important,not important,1,3,1,2,2,63865,LVA50226
1999,LVA,70301,8.7276,important,not important,not important,NA,important,important,not important,important,not important,important,NA,NA,1,1,0,NA,NA,63866,LVA70301
1999,LVA,70302,8.7276,important,important,not important,not important,important,NA,not important,important,not important,important,not important,not important,1,1,1,2,2,63867,LVA70302
1999,LVA,70303,8.7276,important,important,not important,not important,important,important,important,important,not important,important,not important,not important,1,1,1,NA,2,63868,LVA70303
1999,LVA,70310,8.7276,important,important,important,not important,important,important,not important,important,important,not important,important,not important,1,1,0,NA,NA,63869,LVA70310
1999,LVA,70311,8.7276,important,important,important,important,not important,not important,important,important,important,important,not important,not important,1,3,1,2,2,63870,LVA70311
1999,LVA,70312,8.7276,important,important,important,important,important,not important,important,important,important,not important,not important,not important,1,1,1,2,1,63871,LVA70312
1999,LVA,70314,8.7276,important,important,not important,important,important,not important,important,important,not important,not important,important,not important,1,2,1,2,NA,63872,LVA70314
1999,LVA,70315,8.7276,important,important,important,important,important,important,important,important,important,not important,important,important,1,1,1,2,2,63873,LVA70315
1999,LVA,70316,8.7276,important,important,important,important,not important,important,not important,important,important,not important,not important,not important,1,2,0,NA,NA,63874,LVA70316
1999,LVA,70319,8.7276,important,important,important,important,important,important,important,important,important,important,not important,not important,1,3,1,2,1,63875,LVA70319
1999,LVA,70320,8.7276,important,important,important,important,important,important,important,important,important,important,important,not important,1,3,2,2,2,63876,LVA70320
1999,LVA,70321,8.7276,important,important,important,important,important,important,important,not important,important,not important,not important,not important,1,3,2,2,NA,63877,LVA70321
1999,LVA,70326,8.7276,important,important,important,important,important,important,not important,important,important,important,not important,not important,1,2,1,NA,2,63878,LVA70326
1999,LVA,70329,8.7276,important,not important,important,important,not important,important,NA,important,important,important,not important,not important,1,2,0,NA,NA,63879,LVA70329
1999,LVA,90102,6.5457,important,important,important,not important,important,important,important,important,important,not important,important,not important,1,3,2,2,NA,63880,LVA90102
1999,LVA,90104,6.5457,important,important,important,important,important,not important,important,important,not important,not important,not important,not important,1,2,2,2,2,63881,LVA90104
1999,LVA,90105,6.5457,important,important,important,important,important,not important,not important,not important,not important,important,not important,not important,1,3,1,2,2,63882,LVA90105
1999,LVA,90108,6.5457,important,important,important,important,important,important,important,important,important,not important,important,not important,1,3,2,2,2,63883,LVA90108
1999,LVA,90111,6.5457,important,important,not important,important,not important,important,important,not important,important,not important,NA,not important,1,3,1,2,2,63884,LVA90111
1999,LVA,90114,6.5457,important,important,not important,not important,not important,important,important,important,important,not important,not important,not important,1,3,1,2,2,63885,LVA90114
1999,LVA,90118,6.5457,important,not important,not important,important,not important,important,important,important,important,not important,not important,not important,1,2,2,2,2,63886,LVA90118
1999,LVA,90119,6.5457,important,not important,important,important,important,important,important,important,important,important,important,not important,1,3,2,NA,NA,63887,LVA90119
1999,LVA,90120,6.5457,important,important,not important,important,important,important,important,important,important,not important,not important,not important,1,3,2,2,2,63888,LVA90120
1999,LVA,90125,6.5457,important,important,important,not important,important,important,important,important,important,important,not important,not important,1,2,2,2,0,63889,LVA90125
1999,LVA,90127,6.5457,important,important,important,important,important,important,important,important,important,important,not important,not important,1,3,2,2,2,63890,LVA90127
1999,LVA,90129,6.5457,important,important,not important,important,important,important,important,important,important,not important,NA,not important,1,3,1,2,2,63891,LVA90129
1999,LVA,110104,12.72775,not important,not important,important,not important,NA,important,not important,important,important,important,NA,important,1,2,0,0,2,63892,LVA110104
1999,LVA,110108,12.72775,important,NA,NA,important,not important,important,important,important,important,NA,not important,not important,1,2,1,NA,NA,63893,LVA110108
1999,LVA,110110,12.72775,NA,important,important,important,important,important,important,important,important,NA,important,important,1,2,0,2,NA,63894,LVA110110
1999,LVA,110114,12.72775,important,NA,important,NA,important,not important,important,important,important,not important,not important,not important,1,3,0,NA,NA,63895,LVA110114
1999,LVA,110118,12.72775,important,important,important,important,not important,important,important,important,important,not important,not important,NA,1,2,0,NA,NA,63896,LVA110118
1999,LVA,110121,12.72775,important,not important,not important,not important,NA,not important,not important,not important,important,not important,not important,not important,1,3,1,2,NA,63897,LVA110121
1999,LVA,130401,12.834706,important,not important,important,not important,important,important,important,not important,not important,important,important,not important,1,3,1,2,2,63898,LVA130401
1999,LVA,130402,12.834706,important,NA,NA,important,not important,not important,important,important,not important,important,not important,NA,1,1,2,2,0,63899,LVA130402
1999,LVA,130404,12.834706,important,important,important,not important,important,important,important,not important,important,important,important,not important,1,3,1,1,2,63900,LVA130404
