ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2016,MEX,10010101,12.041666,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,0,288247,MEX10010101
2016,MEX,10020401,296.12716,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,0,2,288248,MEX10020401
2016,MEX,10020403,296.12716,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,288249,MEX10020403
2016,MEX,10020404,296.12716,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,1,288250,MEX10020404
2016,MEX,10020405,296.12716,1,1,1,1,1,1,1,0,1,0,0,0,1,1,2,1,1,288251,MEX10020405
2016,MEX,10020406,296.12716,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,0,2,288252,MEX10020406
2016,MEX,10020407,296.12716,1,1,1,1,1,1,NA,1,0,1,0,1,1,1,2,0,0,288253,MEX10020407
2016,MEX,10020409,296.12716,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,1,0,288254,MEX10020409
2016,MEX,10020410,296.12716,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,0,288255,MEX10020410
2016,MEX,10020411,296.12716,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,2,2,288256,MEX10020411
2016,MEX,10020412,296.12716,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2,1,1,288257,MEX10020412
2016,MEX,10020413,296.12716,NA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,288258,MEX10020413
2016,MEX,10020414,296.12716,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,1,1,288259,MEX10020414
2016,MEX,10020415,296.12716,1,1,1,1,1,1,1,0,1,1,0,0,1,1,2,2,2,288260,MEX10020415
2016,MEX,10020416,296.12716,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,288261,MEX10020416
2016,MEX,10020418,296.12716,1,1,1,1,1,1,1,0,0,1,0,0,1,0,2,2,2,288262,MEX10020418
2016,MEX,10020419,296.12716,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,0,0,288263,MEX10020419
2016,MEX,10020420,296.12716,1,0,1,1,1,0,0,1,1,0,1,0,1,1,2,0,1,288264,MEX10020420
2016,MEX,10020421,296.12716,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,0,0,288265,MEX10020421
2016,MEX,10020422,296.12716,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,0,0,288266,MEX10020422
2016,MEX,10020423,296.12716,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2,0,2,288267,MEX10020423
2016,MEX,10020424,296.12716,1,1,0,1,1,1,1,1,1,0,0,0,1,1,2,2,1,288268,MEX10020424
2016,MEX,10020425,296.12716,1,1,1,1,1,1,1,1,1,0,0,0,1,0,2,0,0,288269,MEX10020425
2016,MEX,10020426,296.12716,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,1,1,288270,MEX10020426
2016,MEX,10020428,296.12716,1,1,0,0,1,1,1,1,1,0,1,0,1,0,2,0,1,288271,MEX10020428
2016,MEX,10020429,296.12716,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,288272,MEX10020429
2016,MEX,10020430,296.12716,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,288273,MEX10020430
2016,MEX,10020431,296.12716,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,0,0,288274,MEX10020431
2016,MEX,10020432,296.12716,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2,1,NA,288275,MEX10020432
2016,MEX,10020433,296.12716,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA,0,0,288276,MEX10020433
2016,MEX,10020434,296.12716,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,2,288277,MEX10020434
2016,MEX,10020435,296.12716,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,288278,MEX10020435
2016,MEX,10020436,296.12716,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,2,2,288279,MEX10020436
2016,MEX,10020437,296.12716,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,0,0,288280,MEX10020437
2016,MEX,10020438,296.12716,1,1,1,1,1,1,0,1,1,1,1,0,1,3,2,2,NA,288281,MEX10020438
2016,MEX,10020439,296.12716,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,288282,MEX10020439
2016,MEX,10020440,296.12716,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,NA,288283,MEX10020440
2016,MEX,10020441,296.12716,1,1,0,1,1,1,1,0,1,1,1,0,1,1,2,2,2,288284,MEX10020441
2016,MEX,10020442,296.12716,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2,2,2,288285,MEX10020442
2016,MEX,10020443,296.12716,0,1,1,1,1,1,0,0,0,1,1,0,1,1,2,0,1,288286,MEX10020443
2016,MEX,10020445,296.12716,1,0,0,0,0,1,0,1,1,0,0,0,1,1,2,1,1,288287,MEX10020445
2016,MEX,10020446,296.12716,0,1,1,1,1,1,0,0,1,0,0,0,1,0,2,1,1,288288,MEX10020446
2016,MEX,10020447,296.12716,1,1,1,1,1,1,0,1,1,1,1,0,1,2,2,2,1,288289,MEX10020447
2016,MEX,10020448,296.12716,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,2,2,288290,MEX10020448
2016,MEX,10020449,296.12716,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,0,1,288291,MEX10020449
2016,MEX,10020450,296.12716,1,1,1,1,1,1,1,0,1,1,0,0,1,0,2,1,2,288292,MEX10020450
2016,MEX,10030301,523.77853,1,1,1,1,1,1,1,0,0,1,1,1,1,0,2,0,0,288293,MEX10030301
2016,MEX,10030302,523.77853,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,288294,MEX10030302
2016,MEX,10030303,523.77853,1,1,1,1,1,1,1,1,1,0,0,1,1,0,2,0,0,288295,MEX10030303
2016,MEX,10030304,523.77853,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,288296,MEX10030304
2016,MEX,10030305,523.77853,NA,NA,NA,NA,1,NA,0,1,NA,NA,NA,NA,1,0,2,0,0,288297,MEX10030305
2016,MEX,10030306,523.77853,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,288298,MEX10030306
2016,MEX,10030307,523.77853,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,0,288299,MEX10030307
2016,MEX,10030308,523.77853,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,288300,MEX10030308
2016,MEX,10030309,523.77853,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,0,1,288301,MEX10030309
2016,MEX,10030310,523.77853,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,1,1,0,NA,0,0,288302,MEX10030310
2016,MEX,10030311,523.77853,1,0,1,1,1,1,0,1,0,0,0,0,1,2,2,2,2,288303,MEX10030311
2016,MEX,10030312,523.77853,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,288304,MEX10030312
2016,MEX,10030313,523.77853,1,1,1,1,1,0,0,1,0,0,1,0,1,0,2,0,0,288305,MEX10030313
2016,MEX,10030314,523.77853,1,1,1,1,1,1,0,0,0,0,0,0,1,1,2,0,0,288306,MEX10030314
2016,MEX,10030315,523.77853,1,0,0,1,1,0,1,1,1,1,0,0,1,0,2,0,0,288307,MEX10030315
2016,MEX,10030316,523.77853,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2,0,0,288308,MEX10030316
2016,MEX,10030317,523.77853,1,1,1,1,1,1,0,1,1,1,1,1,1,0,2,0,0,288309,MEX10030317
2016,MEX,10030318,523.77853,1,0,1,NA,1,0,0,1,1,0,0,1,1,0,1,0,0,288310,MEX10030318
