ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2016,MLT,10010101,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,2,NA,NA,293773,MLT10010101
2016,MLT,10010102,1,1,NA,1,0,0,1,1,1,NA,1,1,1,1,2,2,2,2,293774,MLT10010102
2016,MLT,10010103,1,1,1,1,1,1,1,1,0,1,0,0,0,1,3,2,1,2,293775,MLT10010103
2016,MLT,10010104,1,1,1,NA,1,NA,1,0,0,0,0,0,1,1,2,2,1,2,293776,MLT10010104
2016,MLT,10010105,1,0,0,0,1,0,1,NA,1,0,0,1,0,1,2,2,2,2,293777,MLT10010105
2016,MLT,10010106,1,1,1,0,1,0,1,0,0,1,1,0,0,1,3,2,1,2,293778,MLT10010106
2016,MLT,10010107,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,2,2,293779,MLT10010107
2016,MLT,10010108,1,1,1,1,1,1,1,1,1,0,1,0,0,1,3,2,2,2,293780,MLT10010108
2016,MLT,10010109,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,293781,MLT10010109
2016,MLT,10010110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,293782,MLT10010110
2016,MLT,10010111,1,1,0,1,1,1,1,1,0,1,1,0,0,1,3,2,2,2,293783,MLT10010111
2016,MLT,10010112,1,1,1,1,1,1,0,1,0,0,0,0,0,1,3,2,1,2,293784,MLT10010112
2016,MLT,10010113,1,1,1,1,1,0,0,0,1,0,0,0,0,1,3,2,1,0,293785,MLT10010113
2016,MLT,10010114,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,2,2,2,293786,MLT10010114
2016,MLT,10010115,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,293787,MLT10010115
2016,MLT,10010116,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,293788,MLT10010116
2016,MLT,10010117,1,1,1,0,1,1,0,1,1,0,1,0,0,1,3,2,NA,NA,293789,MLT10010117
2016,MLT,10010118,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,2,NA,NA,293790,MLT10010118
2016,MLT,10010119,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,NA,2,NA,293791,MLT10010119
2016,MLT,10010201,1,1,1,1,1,1,1,1,1,0,1,0,0,1,2,2,2,2,293792,MLT10010201
2016,MLT,10010202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,293793,MLT10010202
2016,MLT,10010203,1,1,1,1,1,1,0,1,1,0,1,1,0,1,3,2,2,2,293794,MLT10010203
2016,MLT,10010204,1,1,1,0,1,1,0,1,1,1,1,0,0,1,3,1,1,2,293795,MLT10010204
2016,MLT,10010205,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,2,2,2,293796,MLT10010205
2016,MLT,10010206,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,293797,MLT10010206
2016,MLT,10010207,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,293798,MLT10010207
