ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2009,NLD,10010201,12.536330625,1,1,1,1,1,1,1,1,0,0,0,0,0,1,2,2,1,194700,NLD10010201
2009,NLD,10010202,12.536330625,1,0,1,0,1,1,1,1,1,0,1,1,1,1,2,1,1,194701,NLD10010202
2009,NLD,10010203,12.536330625,0,0,0,1,1,1,0,1,1,0,1,1,0,2,1,2,1,194702,NLD10010203
2009,NLD,10010204,12.536330625,0,1,0,1,0,1,NA,1,0,1,0,0,0,0,2,1,0,194703,NLD10010204
2009,NLD,10010205,12.536330625,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,2,1,194704,NLD10010205
2009,NLD,10010206,12.536330625,0,0,0,1,0,0,0,1,1,0,0,0,1,1,2,1,1,194705,NLD10010206
2009,NLD,10010207,12.536330625,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,2,2,194706,NLD10010207
2009,NLD,10010208,12.536330625,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,194707,NLD10010208
2009,NLD,10010209,12.536330625,1,1,1,1,0,0,0,0,1,0,1,0,0,1,2,1,1,194708,NLD10010209
2009,NLD,10010210,12.536330625,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,2,194709,NLD10010210
2009,NLD,10010211,12.536330625,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,194710,NLD10010211
2009,NLD,10010212,12.536330625,1,1,1,1,1,1,0,1,0,0,0,1,NA,0,NA,2,0,194711,NLD10010212
2009,NLD,10010213,12.536330625,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,2,2,194712,NLD10010213
2009,NLD,10010214,12.536330625,NA,0,0,0,0,0,0,0,0,1,NA,0,0,0,2,1,1,194713,NLD10010214
2009,NLD,10010215,12.536330625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,194714,NLD10010215
2009,NLD,10010216,12.536330625,0,0,0,0,1,1,1,1,1,1,1,1,1,0,2,0,2,194715,NLD10010216
