ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2016,NOR,10010102,8.621889,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,300349,NOR10010102
2016,NOR,10010103,8.621889,1,1,1,1,1,1,0,1,0,1,1,0,1,3,2,2,2,300350,NOR10010103
2016,NOR,10010104,8.621889,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,2,300351,NOR10010104
2016,NOR,10010105,8.621889,1,0,0,1,1,1,1,1,1,1,0,0,1,0,2,2,2,300352,NOR10010105
2016,NOR,10010106,8.621889,1,1,1,1,1,1,1,1,1,0,0,0,1,2,2,1,2,300353,NOR10010106
2016,NOR,10010107,8.621889,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,300354,NOR10010107
2016,NOR,10010108,8.621889,0,1,1,1,1,1,0,0,0,1,1,1,1,3,2,2,2,300355,NOR10010108
2016,NOR,10010109,8.621889,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,300356,NOR10010109
2016,NOR,10010110,8.621889,0,0,1,0,0,1,0,1,1,0,0,0,1,2,0,2,2,300357,NOR10010110
2016,NOR,10010111,8.621889,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,2,2,300358,NOR10010111
2016,NOR,10010112,8.621889,1,1,1,0,NA,1,1,NA,1,1,0,1,1,1,2,NA,2,300359,NOR10010112
2016,NOR,10010113,8.621889,1,0,1,1,1,1,1,1,1,0,0,0,1,2,2,1,1,300360,NOR10010113
2016,NOR,10010115,8.621889,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,300361,NOR10010115
2016,NOR,10010116,8.621889,1,0,1,0,0,1,0,1,1,1,0,0,1,2,0,2,2,300362,NOR10010116
2016,NOR,10010117,8.621889,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,300363,NOR10010117
2016,NOR,10010120,8.621889,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,300364,NOR10010120
2016,NOR,10010121,8.621889,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,NA,1,300365,NOR10010121
2016,NOR,10010122,8.621889,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,NA,NA,300366,NOR10010122
2016,NOR,10010123,8.621889,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2,300367,NOR10010123
2016,NOR,10010124,8.621889,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,2,2,300368,NOR10010124
2016,NOR,10010125,8.621889,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,300369,NOR10010125
2016,NOR,10010126,8.621889,1,0,1,1,1,1,1,1,0,1,1,1,1,1,2,2,2,300370,NOR10010126
2016,NOR,10010127,8.621889,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,NA,300371,NOR10010127
2016,NOR,10010401,7.909539,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,2,2,300372,NOR10010401
2016,NOR,10010402,7.909539,1,1,1,1,1,1,1,1,1,0,0,0,1,2,2,2,2,300373,NOR10010402
2016,NOR,10010403,7.909539,1,1,1,1,1,1,1,0,0,0,0,0,1,2,2,2,2,300374,NOR10010403
2016,NOR,10010404,7.909539,1,1,1,NA,1,1,1,1,1,0,1,0,1,3,2,2,2,300375,NOR10010404
2016,NOR,10010406,7.909539,1,1,1,1,1,1,0,1,0,1,1,0,1,3,2,2,2,300376,NOR10010406
2016,NOR,10010407,7.909539,1,1,1,1,1,1,0,1,1,1,NA,0,1,2,2,2,2,300377,NOR10010407
2016,NOR,10010409,7.909539,1,0,0,0,1,0,0,1,1,0,0,0,1,3,2,2,2,300378,NOR10010409
2016,NOR,10010410,7.909539,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,2,300379,NOR10010410
2016,NOR,10010411,7.909539,NA,0,1,1,1,1,1,1,0,0,0,0,1,2,1,2,2,300380,NOR10010411
2016,NOR,10010412,7.909539,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,0,1,300381,NOR10010412
2016,NOR,10010414,7.909539,0,1,1,1,1,1,1,1,1,0,0,0,1,3,2,2,2,300382,NOR10010414
2016,NOR,10010415,7.909539,1,1,0,1,1,1,0,0,1,0,0,0,1,2,2,2,2,300383,NOR10010415
2016,NOR,10010416,7.909539,1,0,1,1,1,1,0,1,1,1,0,0,1,3,2,0,2,300384,NOR10010416
2016,NOR,10010417,7.909539,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,300385,NOR10010417
2016,NOR,10010418,7.909539,1,0,1,1,0,1,0,1,0,1,0,0,1,2,2,2,2,300386,NOR10010418
2016,NOR,10010419,7.909539,1,1,1,1,1,0,0,1,1,1,1,0,1,3,1,NA,1,300387,NOR10010419
2016,NOR,10010420,7.909539,0,0,1,0,1,1,0,0,0,0,0,0,1,1,2,2,1,300388,NOR10010420
2016,NOR,10010421,7.909539,1,1,0,1,1,1,1,1,1,1,0,0,1,1,2,2,2,300389,NOR10010421
2016,NOR,10010422,7.909539,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,300390,NOR10010422
2016,NOR,10010423,7.909539,1,0,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,300391,NOR10010423
2016,NOR,10010424,7.909539,0,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,2,300392,NOR10010424
2016,NOR,10010425,7.909539,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,300393,NOR10010425
2016,NOR,10010426,7.909539,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,1,1,300394,NOR10010426
2016,NOR,10010427,7.909539,1,0,0,1,1,0,0,0,0,0,0,0,1,3,0,2,2,300395,NOR10010427
2016,NOR,10010428,7.909539,1,1,1,0,1,1,1,1,0,0,1,0,1,3,2,2,2,300396,NOR10010428
2016,NOR,10010429,7.909539,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,2,300397,NOR10010429
2016,NOR,10010430,7.909539,1,0,1,1,1,1,1,1,1,0,0,0,1,3,2,2,2,300398,NOR10010430
2016,NOR,10020102,7.857438,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,300399,NOR10020102
2016,NOR,10020103,7.857438,1,1,1,1,1,1,1,1,0,1,0,0,1,1,2,NA,NA,300400,NOR10020103
2016,NOR,10020104,7.857438,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,2,NA,300401,NOR10020104
2016,NOR,10020105,7.857438,1,0,1,1,1,0,1,0,0,1,1,0,1,2,2,2,2,300402,NOR10020105
2016,NOR,10020106,7.857438,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,300403,NOR10020106
2016,NOR,10020107,7.857438,1,1,1,1,1,1,0,1,1,0,0,0,1,1,2,2,2,300404,NOR10020107
2016,NOR,10020108,7.857438,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,300405,NOR10020108
2016,NOR,10020109,7.857438,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,2,2,300406,NOR10020109
2016,NOR,10020110,7.857438,1,1,1,1,1,0,1,0,0,0,1,0,1,3,2,2,2,300407,NOR10020110
2016,NOR,10020111,7.857438,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,2,300408,NOR10020111
2016,NOR,10020112,7.857438,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,NA,NA,300409,NOR10020112
2016,NOR,10020113,7.857438,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,300410,NOR10020113
2016,NOR,10020114,7.857438,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,1,2,300411,NOR10020114
2016,NOR,10020115,7.857438,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2,300412,NOR10020115
2016,NOR,10020116,7.857438,1,1,1,1,1,1,0,1,1,0,0,0,1,3,2,2,2,300413,NOR10020116
2016,NOR,10020117,7.857438,1,0,1,1,1,1,1,1,1,1,1,0,1,2,2,2,2,300414,NOR10020117
2016,NOR,10020119,7.857438,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,2,300415,NOR10020119
2016,NOR,10020120,7.857438,1,1,1,1,1,1,0,1,0,1,0,0,1,2,1,2,1,300416,NOR10020120
2016,NOR,10020121,7.857438,1,0,1,1,0,1,1,1,1,1,0,0,1,1,2,2,2,300417,NOR10020121
2016,NOR,10020122,7.857438,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,300418,NOR10020122
2016,NOR,10020123,7.857438,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,NA,NA,300419,NOR10020123
