ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2009,NZL,10020201,11.7692307692,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,0,199677,NZL10020201
2009,NZL,10020202,11.7692307692,0,1,0,1,1,1,1,1,1,0,0,0,0,1,2,NA,2,199678,NZL10020202
2009,NZL,10020203,11.7692307692,1,1,1,1,1,0,1,1,1,1,1,1,1,2,2,2,0,199679,NZL10020203
2009,NZL,10020204,11.7692307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,0,199680,NZL10020204
2009,NZL,10020205,11.7692307692,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,199681,NZL10020205
2009,NZL,10020206,11.7692307692,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,199682,NZL10020206
2009,NZL,10020207,11.7692307692,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,199683,NZL10020207
2009,NZL,10020208,11.7692307692,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,2,2,199684,NZL10020208
2009,NZL,10020209,11.7692307692,1,0,0,0,1,1,1,1,1,1,0,0,0,2,1,2,2,199685,NZL10020209
2009,NZL,10020210,11.7692307692,1,0,0,0,1,0,0,1,NA,1,0,1,0,0,2,1,2,199686,NZL10020210
2009,NZL,10020211,11.7692307692,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,NA,NA,199687,NZL10020211
2009,NZL,10020212,11.7692307692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199688,NZL10020212
2009,NZL,10020213,11.7692307692,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,2,199689,NZL10020213
2009,NZL,10020214,11.7692307692,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,199690,NZL10020214
2009,NZL,10020215,11.7692307692,0,0,NA,0,0,0,0,0,0,0,0,0,1,3,1,2,2,199691,NZL10020215
2009,NZL,10020216,11.7692307692,1,0,1,1,1,1,1,1,0,1,1,0,1,1,2,0,0,199692,NZL10020216
2009,NZL,10020217,11.7692307692,1,1,1,1,1,1,1,1,0,1,0,0,1,3,2,NA,NA,199693,NZL10020217
2009,NZL,10020218,11.7692307692,1,1,1,1,1,1,1,0,1,1,0,1,1,1,2,0,0,199694,NZL10020218
