ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2016,PER,10010101,152.359026,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,2,306620,PER10010101
2016,PER,10010102,152.359026,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,306621,PER10010102
2016,PER,10010103,152.359026,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,2,0,1,306622,PER10010103
2016,PER,10010104,152.359026,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,2,0,0,306623,PER10010104
2016,PER,10010105,152.359026,1,0,NA,1,1,1,1,1,1,1,1,1,1,1,2,1,2,306624,PER10010105
2016,PER,10010106,152.359026,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,306625,PER10010106
2016,PER,10010107,152.359026,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,306626,PER10010107
2016,PER,10010108,152.359026,1,1,1,1,0,1,NA,1,0,1,0,1,1,1,2,1,2,306627,PER10010108
2016,PER,10010109,152.359026,1,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,306628,PER10010109
2016,PER,10010110,152.359026,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2,1,306629,PER10010110
2016,PER,10010111,152.359026,1,1,1,0,1,1,1,1,0,1,0,1,1,0,2,1,0,306630,PER10010111
2016,PER,10010112,152.359026,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,0,0,306631,PER10010112
2016,PER,10010113,152.359026,1,1,1,1,1,1,1,1,1,0,0,1,1,0,2,0,1,306632,PER10010113
2016,PER,10010114,152.359026,0,1,0,0,1,1,0,0,0,0,0,0,1,1,2,1,2,306633,PER10010114
2016,PER,10010115,152.359026,0,1,1,0,1,1,1,1,0,1,0,0,1,1,2,0,2,306634,PER10010115
2016,PER,10010116,152.359026,1,1,NA,0,1,1,1,1,1,0,1,0,1,1,2,1,0,306635,PER10010116
2016,PER,10020201,69.970344,1,0,1,1,1,1,1,1,1,1,0,0,1,2,2,0,0,306636,PER10020201
2016,PER,10020202,69.970344,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,2,306637,PER10020202
2016,PER,10020203,69.970344,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,2,2,2,306638,PER10020203
2016,PER,10020204,69.970344,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2,2,2,306639,PER10020204
2016,PER,10020205,69.970344,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,306640,PER10020205
2016,PER,10020206,69.970344,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,2,2,306641,PER10020206
2016,PER,10020207,69.970344,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,306642,PER10020207
2016,PER,10020208,69.970344,1,1,1,0,1,1,1,1,0,0,0,0,1,1,2,0,0,306643,PER10020208
2016,PER,10020209,69.970344,NA,0,1,NA,1,1,1,1,1,0,0,1,1,1,0,0,2,306644,PER10020209
2016,PER,10020210,69.970344,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,306645,PER10020210
2016,PER,10020211,69.970344,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0,306646,PER10020211
2016,PER,10020212,69.970344,1,0,0,1,1,1,1,1,1,0,1,1,1,1,2,NA,NA,306647,PER10020212
2016,PER,10020213,69.970344,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,0,0,306648,PER10020213
2016,PER,10020214,69.970344,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,306649,PER10020214
2016,PER,10020215,69.970344,1,1,1,1,1,1,1,1,1,0,0,1,1,0,2,0,0,306650,PER10020215
2016,PER,10020216,69.970344,1,1,0,1,1,1,1,1,0,0,0,0,1,1,2,2,2,306651,PER10020216
2016,PER,10020217,69.970344,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,1,1,306652,PER10020217
2016,PER,10020218,69.970344,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,2,306653,PER10020218
2016,PER,10020219,69.970344,1,1,0,NA,0,1,1,NA,1,0,0,1,1,0,2,1,1,306654,PER10020219
2016,PER,10020221,69.970344,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,306655,PER10020221
2016,PER,10020222,69.970344,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,306656,PER10020222
2016,PER,10020223,69.970344,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2,0,0,306657,PER10020223
2016,PER,10020224,69.970344,1,0,0,1,0,1,1,1,1,0,0,0,1,1,2,2,NA,306658,PER10020224
2016,PER,10020225,69.970344,1,1,1,0,1,1,1,1,1,0,1,1,1,1,2,0,1,306659,PER10020225
2016,PER,10020226,69.970344,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,306660,PER10020226
2016,PER,10020227,69.970344,1,1,0,1,1,1,1,1,1,1,0,1,1,1,2,1,2,306661,PER10020227
2016,PER,10020228,69.970344,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,306662,PER10020228
2016,PER,10030301,62.514486,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2,0,0,306663,PER10030301
2016,PER,10030302,62.514486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,306664,PER10030302
2016,PER,10030303,62.514486,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,0,0,306665,PER10030303
2016,PER,10030304,62.514486,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,NA,NA,306666,PER10030304
2016,PER,10030305,62.514486,1,1,1,0,1,1,1,1,1,1,0,1,1,0,2,0,0,306667,PER10030305
2016,PER,10030306,62.514486,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2,0,0,306668,PER10030306
2016,PER,10030307,62.514486,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,306669,PER10030307
2016,PER,10030308,62.514486,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2,0,0,306670,PER10030308
2016,PER,10030309,62.514486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,306671,PER10030309
2016,PER,10030310,62.514486,1,1,1,0,1,1,1,1,1,0,0,1,1,1,2,0,0,306672,PER10030310
2016,PER,10030311,62.514486,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,0,0,306673,PER10030311
2016,PER,10030312,62.514486,1,1,0,0,1,1,1,1,1,1,0,1,1,1,2,0,0,306674,PER10030312
2016,PER,10030314,62.514486,1,1,1,1,1,0,0,1,1,1,0,1,1,0,2,1,0,306675,PER10030314
2016,PER,10030315,62.514486,1,1,1,0,1,1,1,1,0,1,0,0,1,1,2,2,2,306676,PER10030315
2016,PER,10030316,62.514486,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,0,0,306677,PER10030316
2016,PER,10030318,62.514486,0,1,1,0,1,1,1,1,1,1,0,0,1,1,2,1,1,306678,PER10030318
2016,PER,10030319,62.514486,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,306679,PER10030319
2016,PER,10030320,62.514486,1,1,1,1,1,1,1,1,0,1,NA,0,1,0,1,0,1,306680,PER10030320
2016,PER,10030321,62.514486,1,1,1,0,1,0,1,1,0,0,1,1,1,0,2,0,1,306681,PER10030321
2016,PER,10030322,62.514486,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2,0,0,306682,PER10030322
2016,PER,10030323,62.514486,1,1,1,1,1,1,1,1,1,0,1,1,1,0,2,1,1,306683,PER10030323
2016,PER,10030324,62.514486,0,1,1,0,1,1,1,1,0,1,0,1,1,1,2,0,1,306684,PER10030324
2016,PER,10030325,62.514486,1,1,1,0,1,1,1,1,1,1,0,1,1,1,2,0,1,306685,PER10030325
2016,PER,10030326,62.514486,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2,0,0,306686,PER10030326
2016,PER,10030327,62.514486,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,306687,PER10030327
2016,PER,10030329,62.514486,1,1,1,0,1,1,1,1,0,0,0,0,1,1,2,1,1,306688,PER10030329
2016,PER,10030330,62.514486,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,306689,PER10030330
2016,PER,10030331,62.514486,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,0,0,306690,PER10030331
2016,PER,10030332,62.514486,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,306691,PER10030332
2016,PER,10030333,62.514486,1,1,1,0,1,1,1,1,1,0,0,0,1,3,2,1,1,306692,PER10030333
2016,PER,10030334,62.514486,1,0,1,0,1,1,1,1,1,1,1,0,1,0,2,0,0,306693,PER10030334
2016,PER,10030336,62.514486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,306694,PER10030336
2016,PER,10030338,62.514486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,306695,PER10030338
2016,PER,10040601,64.090482,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2,306696,PER10040601
2016,PER,10040602,64.090482,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,306697,PER10040602
2016,PER,10040603,64.090482,1,1,1,0,1,1,1,1,0,1,1,1,1,1,2,2,2,306698,PER10040603
2016,PER,10040604,64.090482,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,2,306699,PER10040604
2016,PER,10040605,64.090482,1,1,1,0,0,1,1,1,1,0,0,0,1,1,2,1,2,306700,PER10040605
2016,PER,10040606,64.090482,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,2,2,306701,PER10040606
2016,PER,10040607,64.090482,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,306702,PER10040607
2016,PER,10040608,64.090482,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,306703,PER10040608
2016,PER,10040609,64.090482,1,1,1,0,1,1,0,1,1,1,0,1,1,1,2,2,2,306704,PER10040609
2016,PER,10040610,64.090482,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2,1,306705,PER10040610
2016,PER,10040611,64.090482,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,1,306706,PER10040611
2016,PER,10040612,64.090482,1,1,1,1,1,1,1,0,1,0,0,0,1,1,NA,NA,NA,306707,PER10040612
2016,PER,10040613,64.090482,1,1,1,0,1,1,1,1,1,0,0,0,1,1,2,2,2,306708,PER10040613
2016,PER,10040614,64.090482,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,306709,PER10040614
2016,PER,10040615,64.090482,1,0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,306710,PER10040615
2016,PER,10040616,64.090482,1,1,1,1,1,1,1,0,0,1,1,0,1,0,2,2,2,306711,PER10040616
2016,PER,10040617,64.090482,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,306712,PER10040617
2016,PER,10040618,64.090482,0,0,1,1,0,0,0,1,NA,NA,1,0,1,1,2,2,2,306713,PER10040618
2016,PER,10040619,64.090482,1,1,1,1,1,1,1,1,0,1,1,0,1,1,2,1,2,306714,PER10040619
2016,PER,10040620,64.090482,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2,2,2,306715,PER10040620
2016,PER,10040621,64.090482,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,1,2,306716,PER10040621
2016,PER,10040622,64.090482,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,306717,PER10040622
2016,PER,10040623,64.090482,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,306718,PER10040623
2016,PER,10040624,64.090482,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,2,306719,PER10040624
2016,PER,10040625,64.090482,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2,306720,PER10040625
2016,PER,10040627,64.090482,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,0,1,306721,PER10040627
2016,PER,10040628,64.090482,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,2,306722,PER10040628
2016,PER,10040629,64.090482,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,2,306723,PER10040629
2016,PER,10040630,64.090482,1,1,0,1,1,1,1,1,0,0,0,0,1,1,2,2,2,306724,PER10040630
2016,PER,10040631,64.090482,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,306725,PER10040631
2016,PER,10040632,64.090482,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2,2,2,306726,PER10040632
2016,PER,10040633,64.090482,0,1,1,0,0,0,1,1,1,1,0,1,1,3,2,2,2,306727,PER10040633
2016,PER,10040634,64.090482,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,306728,PER10040634
2016,PER,10040635,64.090482,1,1,NA,1,1,1,1,0,1,1,1,0,1,1,2,2,1,306729,PER10040635
2016,PER,10050101,73.808116,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2,306730,PER10050101
2016,PER,10050102,73.808116,1,1,1,1,1,1,1,0,0,1,0,0,1,2,1,1,1,306731,PER10050102
2016,PER,10050103,73.808116,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,2,2,306732,PER10050103
2016,PER,10050104,73.808116,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,2,306733,PER10050104
2016,PER,10050105,73.808116,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,2,306734,PER10050105
2016,PER,10050106,73.808116,1,1,1,1,1,1,1,1,1,1,0,1,1,0,2,1,2,306735,PER10050106
2016,PER,10050107,73.808116,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,306736,PER10050107
2016,PER,10050108,73.808116,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,2,306737,PER10050108
2016,PER,10050109,73.808116,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,1,1,306738,PER10050109
2016,PER,10050110,73.808116,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,306739,PER10050110
2016,PER,10050111,73.808116,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,306740,PER10050111
2016,PER,10050112,73.808116,1,1,1,1,1,0,1,1,1,0,0,0,1,1,2,2,2,306741,PER10050112
2016,PER,10050113,73.808116,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,2,306742,PER10050113
2016,PER,10050114,73.808116,1,1,1,1,1,1,1,1,0,0,1,0,1,1,2,2,2,306743,PER10050114
