ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
1999,POL,30103,97.144134,1,0,1,0,1,1,1,1,1,1,0,0,1,2,2,2,2,69709,POL30103
1999,POL,30106,97.144134,1,1,1,0,1,1,1,1,1,1,0,0,1,3,2,2,2,69710,POL30106
1999,POL,30108,97.144134,1,1,1,0,1,1,1,1,1,1,0,0,1,3,2,2,2,69711,POL30108
1999,POL,30109,97.144134,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,2,69712,POL30109
1999,POL,30110,97.144134,1,1,1,0,1,1,1,0,1,1,0,0,1,3,2,2,2,69713,POL30110
1999,POL,30115,97.144134,1,1,1,1,1,1,1,0,1,1,1,0,1,3,2,2,2,69714,POL30115
1999,POL,50201,192.264432,1,1,1,0,1,1,1,1,1,1,0,0,1,3,2,2,2,69715,POL50201
1999,POL,50203,192.264432,1,0,0,1,1,1,0,0,1,0,0,0,1,1,2,2,1,69716,POL50203
1999,POL,50204,192.264432,1,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,69717,POL50204
1999,POL,50205,192.264432,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,69718,POL50205
1999,POL,50207,192.264432,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,NA,NA,69719,POL50207
1999,POL,50208,192.264432,1,0,0,1,1,1,1,1,1,1,1,0,1,2,0,0,0,69720,POL50208
1999,POL,50214,192.264432,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,69721,POL50214
1999,POL,50215,192.264432,1,1,1,0,1,1,1,1,1,0,0,0,1,2,1,1,1,69722,POL50215
1999,POL,50219,192.264432,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,69723,POL50219
1999,POL,60102,212.502793,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,2,1,69724,POL60102
1999,POL,60103,212.502793,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,2,2,69725,POL60103
