ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
1999,PRT,18104,19.337129,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,73085,PRT18104
1999,PRT,18106,19.337129,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,73086,PRT18106
1999,PRT,18109,19.337129,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,73087,PRT18109
1999,PRT,18110,19.337129,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,73088,PRT18110
1999,PRT,18111,19.337129,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,73089,PRT18111
1999,PRT,18112,19.337129,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,73090,PRT18112
1999,PRT,18113,19.337129,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,73091,PRT18113
1999,PRT,18116,19.337129,1,NA,1,1,1,NA,1,1,1,NA,0,1,1,0,2,0,0,73092,PRT18116
1999,PRT,18117,19.337129,1,0,0,1,0,1,0,NA,1,0,0,0,1,1,0,0,0,73093,PRT18117
1999,PRT,18118,19.337129,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,0,0,73094,PRT18118
1999,PRT,18120,19.337129,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,73095,PRT18120
1999,PRT,18121,19.337129,1,1,1,1,1,0,0,1,1,1,NA,1,1,0,0,0,0,73096,PRT18121
1999,PRT,18123,19.337129,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,73097,PRT18123
1999,PRT,18125,19.337129,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,0,0,73098,PRT18125
1999,PRT,18126,19.337129,1,1,1,1,1,0,0,1,1,0,0,0,1,0,2,0,0,73099,PRT18126
1999,PRT,28102,38.765074,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,2,2,73100,PRT28102
1999,PRT,28103,38.765074,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,73101,PRT28103
1999,PRT,28107,38.765074,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,73102,PRT28107
1999,PRT,28111,38.765074,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,73103,PRT28111
1999,PRT,28112,38.765074,1,1,1,1,1,1,1,1,0,1,0,0,1,3,1,2,0,73104,PRT28112
1999,PRT,28113,38.765074,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,2,2,73105,PRT28113
1999,PRT,28115,38.765074,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,73106,PRT28115
1999,PRT,28119,38.765074,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,73107,PRT28119
1999,PRT,28121,38.765074,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,73108,PRT28121
1999,PRT,28123,38.765074,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,0,0,73109,PRT28123
1999,PRT,38104,37.641147,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,1,0,1,0,73110,PRT38104
1999,PRT,38111,37.641147,1,1,1,0,1,1,1,0,1,1,NA,0,1,1,0,0,0,73111,PRT38111
1999,PRT,38112,37.641147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,73112,PRT38112
1999,PRT,38115,37.641147,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,73113,PRT38115
1999,PRT,38118,37.641147,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,73114,PRT38118
1999,PRT,38119,37.641147,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,73115,PRT38119
1999,PRT,38124,37.641147,1,1,1,1,1,1,NA,1,1,NA,0,NA,1,1,NA,0,0,73116,PRT38124
1999,PRT,38125,37.641147,1,1,1,1,1,0,1,1,1,1,0,NA,1,1,1,0,0,73117,PRT38125
1999,PRT,38126,37.641147,1,1,0,1,1,1,1,NA,1,0,NA,NA,1,1,0,0,0,73118,PRT38126
1999,PRT,48101,31.490553,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,73119,PRT48101
1999,PRT,48102,31.490553,1,NA,1,1,1,1,1,1,1,0,1,NA,1,1,1,0,1,73120,PRT48102
1999,PRT,48103,31.490553,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,73121,PRT48103
