ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2009,PRY,10010301,13.60281792,1,1,1,1,1,0,1,1,1,0,0,0,1,1,2,0,0,206905,PRY10010301
2009,PRY,10010302,13.60281792,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,0,0,206906,PRY10010302
2009,PRY,10010303,13.60281792,1,1,1,0,1,1,1,0,1,1,1,0,1,1,2,0,0,206907,PRY10010303
2009,PRY,10010304,13.60281792,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,2,NA,206908,PRY10010304
2009,PRY,10010305,13.60281792,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,0,1,206909,PRY10010305
2009,PRY,10010306,13.60281792,1,1,1,1,1,1,1,1,1,0,0,1,0,1,2,0,2,206910,PRY10010306
2009,PRY,10010307,13.60281792,1,1,1,1,1,1,1,1,0,1,0,0,1,0,2,0,1,206911,PRY10010307
2009,PRY,10010308,13.60281792,1,1,NA,1,1,1,1,1,1,1,NA,1,1,2,NA,NA,NA,206912,PRY10010308
2009,PRY,10010309,13.60281792,1,1,1,1,1,1,1,1,0,0,0,0,0,2,2,1,1,206913,PRY10010309
2009,PRY,10010310,13.60281792,1,1,1,1,1,1,1,1,1,1,0,1,0,NA,1,0,1,206914,PRY10010310
2009,PRY,10010311,13.60281792,1,1,1,1,1,1,1,1,1,0,0,0,0,2,2,1,2,206915,PRY10010311
2009,PRY,10010312,13.60281792,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,206916,PRY10010312
2009,PRY,10010313,13.60281792,1,1,1,1,1,1,1,1,0,0,0,0,1,2,2,2,2,206917,PRY10010313
2009,PRY,10010314,13.60281792,1,1,1,1,1,1,0,1,0,1,0,1,0,0,2,NA,1,206918,PRY10010314
2009,PRY,10010315,13.60281792,1,1,1,1,1,1,1,0,0,0,0,1,0,1,2,1,1,206919,PRY10010315
2009,PRY,10010316,13.60281792,1,1,1,1,1,1,1,1,1,1,0,1,0,1,2,0,1,206920,PRY10010316
2009,PRY,10010317,13.60281792,1,1,1,1,1,0,1,1,0,1,1,0,1,1,2,1,1,206921,PRY10010317
2009,PRY,10010318,13.60281792,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,2,1,206922,PRY10010318
2009,PRY,10010319,13.60281792,1,1,1,0,1,1,0,0,0,1,0,0,1,0,2,2,2,206923,PRY10010319
2009,PRY,10010320,13.60281792,1,1,1,1,1,0,1,1,1,1,0,1,0,1,2,1,1,206924,PRY10010320
2009,PRY,10010321,13.60281792,1,1,1,1,1,1,1,1,1,1,0,1,0,1,2,1,1,206925,PRY10010321
2009,PRY,10010322,13.60281792,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,1,1,206926,PRY10010322
2009,PRY,10010323,13.60281792,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,0,206927,PRY10010323
2009,PRY,10010324,13.60281792,0,1,1,NA,1,1,1,0,0,1,1,1,0,1,2,1,1,206928,PRY10010324
2009,PRY,10010325,13.60281792,1,1,1,1,1,0,0,1,NA,0,0,0,0,0,1,1,1,206929,PRY10010325
2009,PRY,10010327,13.60281792,1,1,1,1,1,1,1,1,1,1,0,1,0,1,2,1,1,206930,PRY10010327
2009,PRY,10010328,13.60281792,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,1,206931,PRY10010328
2009,PRY,10010329,13.60281792,1,1,1,1,1,0,1,0,1,0,0,0,1,1,2,2,2,206932,PRY10010329
2009,PRY,10010330,13.60281792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,NA,NA,206933,PRY10010330
2009,PRY,10010331,13.60281792,1,1,1,1,1,1,1,1,1,0,1,1,1,3,2,2,2,206934,PRY10010331
2009,PRY,10010332,13.60281792,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,0,206935,PRY10010332
2009,PRY,10010333,13.60281792,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,206936,PRY10010333
2009,PRY,10010334,13.60281792,0,0,1,1,1,1,1,0,NA,0,1,1,1,1,2,0,0,206937,PRY10010334
2009,PRY,10010335,13.60281792,1,1,1,1,1,1,1,1,0,1,0,0,0,0,2,0,0,206938,PRY10010335
2009,PRY,10010336,13.60281792,1,1,1,1,1,1,0,1,1,0,0,0,0,0,2,0,1,206939,PRY10010336
2009,PRY,10010337,13.60281792,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,NA,1,206940,PRY10010337
2009,PRY,10010338,13.60281792,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2,206941,PRY10010338
2009,PRY,10010339,13.60281792,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,1,206942,PRY10010339
2009,PRY,10010340,13.60281792,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,2,206943,PRY10010340
2009,PRY,10010341,13.60281792,1,1,1,1,1,1,0,1,1,0,0,1,0,3,2,2,2,206944,PRY10010341
2009,PRY,10010342,13.60281792,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,1,1,206945,PRY10010342
2009,PRY,10010343,13.60281792,1,1,0,1,1,1,1,1,1,0,1,1,1,3,2,2,1,206946,PRY10010343
2009,PRY,10010344,13.60281792,0,1,1,1,1,1,1,1,0,1,0,0,1,1,2,2,2,206947,PRY10010344
2009,PRY,10010345,13.60281792,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2,NA,2,206948,PRY10010345
2009,PRY,10010346,13.60281792,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,1,1,206949,PRY10010346
2009,PRY,10010347,13.60281792,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,206950,PRY10010347
2009,PRY,10010348,13.60281792,0,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,206951,PRY10010348
2009,PRY,10010349,13.60281792,1,1,1,0,1,1,1,1,0,1,0,1,1,2,2,0,1,206952,PRY10010349
2009,PRY,10010350,13.60281792,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,206953,PRY10010350
2009,PRY,10010351,13.60281792,1,1,0,1,1,1,1,1,NA,0,0,1,0,1,2,2,NA,206954,PRY10010351
2009,PRY,10020301,13.315056,1,1,1,1,1,1,1,1,0,0,0,0,1,2,2,2,2,206955,PRY10020301
2009,PRY,10020302,13.315056,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,2,206956,PRY10020302
2009,PRY,10020303,13.315056,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,2,2,206957,PRY10020303
2009,PRY,10020304,13.315056,1,1,1,1,1,1,1,1,0,0,0,0,1,2,2,1,2,206958,PRY10020304
2009,PRY,10020305,13.315056,1,1,0,1,1,1,1,1,1,1,1,1,0,1,2,0,1,206959,PRY10020305
2009,PRY,10020306,13.315056,1,1,1,1,1,1,1,1,1,0,0,0,0,3,2,2,2,206960,PRY10020306
2009,PRY,10020307,13.315056,0,1,1,1,1,1,0,1,0,1,0,0,0,1,2,2,2,206961,PRY10020307
