ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
1999,ROM,10801,83.782382,1,1,1,1,1,1,1,0,1,NA,NA,0,1,1,0,0,0,76346,ROM10801
1999,ROM,10803,83.782382,1,1,1,1,1,0,1,0,0,NA,1,0,1,1,0,0,0,76347,ROM10803
1999,ROM,10805,83.782382,1,NA,1,NA,1,1,NA,NA,1,1,1,NA,1,0,0,1,2,76348,ROM10805
1999,ROM,10807,83.782382,1,1,NA,1,1,1,1,0,1,NA,1,1,1,1,0,NA,NA,76349,ROM10807
1999,ROM,10809,83.782382,1,1,1,1,1,1,1,1,1,NA,1,1,1,0,1,0,0,76350,ROM10809
1999,ROM,10810,83.782382,1,1,NA,1,1,1,1,0,1,NA,1,1,1,1,0,1,0,76351,ROM10810
1999,ROM,10812,83.782382,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,76352,ROM10812
1999,ROM,10813,83.782382,1,1,1,NA,1,1,1,1,1,0,0,0,1,0,0,0,2,76353,ROM10813
1999,ROM,10814,83.782382,1,1,1,NA,NA,1,1,1,1,1,1,NA,1,1,0,1,1,76354,ROM10814
1999,ROM,10815,83.782382,0,1,0,1,1,1,1,1,NA,0,0,0,1,0,0,1,1,76355,ROM10815
1999,ROM,10817,83.782382,1,1,1,1,1,1,NA,NA,1,NA,1,0,1,0,0,2,2,76356,ROM10817
1999,ROM,10821,83.782382,1,1,NA,NA,1,1,1,NA,1,NA,1,1,1,1,0,NA,NA,76357,ROM10821
1999,ROM,10822,83.782382,1,1,1,0,NA,0,1,1,NA,NA,1,NA,1,0,0,1,0,76358,ROM10822
1999,ROM,20201,64.08719,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,76359,ROM20201
1999,ROM,20203,64.08719,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,NA,NA,76360,ROM20203
1999,ROM,20205,64.08719,1,1,1,1,1,1,1,1,1,1,NA,0,1,0,2,NA,NA,76361,ROM20205
1999,ROM,20206,64.08719,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,76362,ROM20206
1999,ROM,20210,64.08719,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,76363,ROM20210
1999,ROM,20212,64.08719,1,1,1,1,1,1,1,1,1,1,0,NA,1,0,0,0,0,76364,ROM20212
1999,ROM,20214,64.08719,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,76365,ROM20214
1999,ROM,20216,64.08719,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,NA,76366,ROM20216
1999,ROM,20220,64.08719,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,76367,ROM20220
1999,ROM,20222,64.08719,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,76368,ROM20222
1999,ROM,20224,64.08719,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,76369,ROM20224
1999,ROM,20227,64.08719,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,76370,ROM20227
1999,ROM,30102,47.282231,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,76371,ROM30102
1999,ROM,30105,47.282231,1,1,NA,1,1,1,1,1,1,0,1,1,1,0,1,1,1,76372,ROM30105
1999,ROM,30108,47.282231,1,NA,1,NA,NA,1,1,NA,NA,0,1,NA,1,3,0,NA,NA,76373,ROM30108
1999,ROM,30109,47.282231,1,1,1,0,1,1,0,1,1,NA,1,NA,1,1,2,1,1,76374,ROM30109
1999,ROM,30110,47.282231,1,1,1,0,0,1,0,0,0,0,0,0,1,3,2,1,1,76375,ROM30110
1999,ROM,30111,47.282231,1,1,1,NA,1,1,1,NA,1,0,1,1,1,3,0,0,0,76376,ROM30111
1999,ROM,30115,47.282231,1,0,1,0,0,1,1,1,0,1,0,0,1,3,0,1,2,76377,ROM30115
1999,ROM,30118,47.282231,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,76378,ROM30118
1999,ROM,30121,47.282231,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,76379,ROM30121
1999,ROM,30122,47.282231,0,0,1,0,0,1,0,1,0,NA,1,1,1,3,0,NA,NA,76380,ROM30122
1999,ROM,40302,111.592562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,76381,ROM40302
1999,ROM,40305,111.592562,1,1,1,1,1,1,1,1,1,NA,0,0,1,1,1,0,0,76382,ROM40305
1999,ROM,40312,111.592562,1,NA,1,NA,0,NA,NA,NA,1,1,0,NA,1,3,0,1,1,76383,ROM40312
1999,ROM,40315,111.592562,1,1,NA,1,1,1,1,1,1,0,NA,NA,1,3,0,0,0,76384,ROM40315
1999,ROM,40316,111.592562,NA,NA,0,NA,1,1,1,1,1,0,0,1,1,3,0,2,NA,76385,ROM40316
1999,ROM,40323,111.592562,1,1,NA,1,1,1,1,1,1,0,NA,NA,1,3,0,0,0,76386,ROM40323
1999,ROM,40327,111.592562,0,1,1,0,0,1,0,1,1,0,1,0,1,3,1,0,0,76387,ROM40327
1999,ROM,60201,63.32438,1,1,1,0,1,1,1,1,1,0,1,1,1,3,0,NA,2,76388,ROM60201
1999,ROM,60208,63.32438,1,1,1,0,1,0,1,1,1,NA,1,1,1,0,0,0,0,76389,ROM60208
1999,ROM,60209,63.32438,1,1,1,1,1,1,1,1,1,NA,0,1,1,2,1,1,1,76390,ROM60209
1999,ROM,60210,63.32438,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,76391,ROM60210
1999,ROM,60212,63.32438,NA,1,1,0,1,1,1,1,1,0,NA,0,1,1,1,2,0,76392,ROM60212
1999,ROM,60218,63.32438,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,76393,ROM60218
1999,ROM,60220,63.32438,NA,1,1,1,1,NA,1,1,1,0,1,0,1,1,0,1,2,76394,ROM60220
1999,ROM,60221,63.32438,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,0,2,2,76395,ROM60221
1999,ROM,60222,63.32438,1,1,1,1,1,1,1,0,1,1,1,0,1,1,2,2,2,76396,ROM60222
1999,ROM,60223,63.32438,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,NA,NA,76397,ROM60223
1999,ROM,60226,63.32438,1,0,1,1,1,1,0,NA,0,NA,0,0,1,1,0,0,0,76398,ROM60226
1999,ROM,60227,63.32438,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,76399,ROM60227
