ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
1999,RUS,10301,1165.09,important,NA,important,important,not important,not important,important,important,not important,important,not important,not important,1,3,1,2,2,79339,RUS10301
1999,RUS,10302,1165.09,important,important,important,important,important,not important,not important,not important,important,not important,not important,not important,1,3,2,2,2,79340,RUS10302
1999,RUS,10303,1165.09,important,important,important,important,important,important,important,not important,important,important,not important,not important,1,1,1,2,2,79341,RUS10303
1999,RUS,10304,1165.09,important,not important,not important,important,not important,important,not important,not important,not important,important,not important,not important,1,2,0,NA,NA,79342,RUS10304
1999,RUS,10306,1165.09,not important,not important,important,important,important,important,important,important,not important,important,not important,not important,1,1,0,2,1,79343,RUS10306
1999,RUS,10307,1165.09,important,important,important,important,important,important,not important,not important,not important,important,not important,NA,1,2,0,1,1,79344,RUS10307
1999,RUS,10309,1165.09,not important,not important,important,not important,not important,important,important,important,not important,important,not important,important,1,1,0,2,1,79345,RUS10309
1999,RUS,20401,2747.160889,important,important,important,important,important,important,important,important,not important,important,not important,not important,1,1,0,2,1,79346,RUS20401
1999,RUS,20407,2747.160889,important,important,important,important,important,important,important,important,important,important,not important,not important,1,1,0,2,1,79347,RUS20407
1999,RUS,20413,2747.160889,important,important,important,important,important,important,important,important,important,important,not important,not important,1,3,1,2,1,79348,RUS20413
1999,RUS,30504,641.567281,important,important,important,important,important,important,important,important,important,important,not important,not important,1,1,1,2,2,79349,RUS30504
1999,RUS,30505,641.567281,important,not important,important,important,not important,important,important,not important,not important,not important,not important,not important,1,3,1,2,2,79350,RUS30505
1999,RUS,30506,641.567281,important,important,important,important,not important,not important,NA,not important,important,important,not important,not important,1,3,1,2,2,79351,RUS30506
1999,RUS,30508,641.567281,important,important,important,important,not important,important,important,important,important,important,not important,not important,1,2,1,2,2,79352,RUS30508
1999,RUS,30510,641.567281,important,not important,important,important,not important,important,important,not important,important,not important,not important,not important,1,3,1,2,2,79353,RUS30510
1999,RUS,30511,641.567281,important,not important,important,important,important,important,important,not important,not important,important,not important,not important,1,2,1,2,0,79354,RUS30511
1999,RUS,30512,641.567281,important,important,important,important,important,important,not important,not important,not important,important,not important,not important,1,2,1,2,2,79355,RUS30512
1999,RUS,30513,641.567281,important,not important,not important,important,important,not important,not important,important,not important,important,not important,not important,1,3,1,2,2,79356,RUS30513
1999,RUS,30515,641.567281,important,important,not important,important,not important,important,not important,important,important,important,not important,not important,1,2,1,2,1,79357,RUS30515
1999,RUS,30516,641.567281,important,important,important,important,important,important,important,not important,important,important,not important,not important,1,3,1,2,2,79358,RUS30516
1999,RUS,40101,1011.4545,important,important,important,important,not important,important,important,not important,important,important,not important,not important,1,2,2,2,2,79359,RUS40101
1999,RUS,40105,1011.4545,important,important,important,important,important,not important,not important,not important,important,not important,not important,not important,1,3,1,2,NA,79360,RUS40105
1999,RUS,40107,1011.4545,important,important,important,important,important,important,not important,NA,NA,important,not important,not important,1,1,1,1,1,79361,RUS40107
1999,RUS,40110,1011.4545,important,not important,important,important,important,important,important,important,important,important,not important,not important,1,2,1,2,2,79362,RUS40110
1999,RUS,50201,1418.41575,important,important,important,important,important,important,important,important,important,important,not important,not important,1,1,1,NA,0,79363,RUS50201
