ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2009,SVK,10010201,17.7834763077,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,214599,SVK10010201
2009,SVK,10010202,17.7834763077,1,1,1,0,1,0,1,1,0,1,0,0,0,2,2,1,1,214600,SVK10010202
2009,SVK,10010203,17.7834763077,1,1,1,1,1,0,0,0,0,1,0,0,1,2,1,2,2,214601,SVK10010203
2009,SVK,10010204,17.7834763077,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,NA,214602,SVK10010204
2009,SVK,10010205,17.7834763077,1,1,1,0,1,1,1,1,1,0,0,0,0,2,2,2,2,214603,SVK10010205
2009,SVK,10010206,17.7834763077,1,1,0,1,1,0,1,1,1,0,0,0,1,3,2,1,1,214604,SVK10010206
2009,SVK,10010207,17.7834763077,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,2,214605,SVK10010207
2009,SVK,10010208,17.7834763077,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,1,1,214606,SVK10010208
2009,SVK,10010209,17.7834763077,1,1,1,1,1,1,1,1,1,0,1,0,1,3,2,2,2,214607,SVK10010209
2009,SVK,10010210,17.7834763077,1,1,1,0,1,1,1,1,1,1,1,0,0,3,2,2,1,214608,SVK10010210
2009,SVK,10010211,17.7834763077,1,1,1,1,1,1,1,0,1,0,0,1,1,1,2,1,1,214609,SVK10010211
2009,SVK,10010212,17.7834763077,1,1,1,1,1,0,0,0,1,0,0,0,0,3,1,1,1,214610,SVK10010212
2009,SVK,10010213,17.7834763077,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,214611,SVK10010213
2009,SVK,10010214,17.7834763077,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,214612,SVK10010214
2009,SVK,10010215,17.7834763077,1,1,1,1,1,1,1,0,1,1,0,0,1,3,1,1,1,214613,SVK10010215
2009,SVK,10010216,17.7834763077,0,1,1,1,1,1,1,0,1,0,1,1,1,3,1,1,1,214614,SVK10010216
2009,SVK,10010217,17.7834763077,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,214615,SVK10010217
2009,SVK,10020101,39.1236478769,1,1,1,0,1,1,1,0,1,1,0,0,1,2,2,1,1,214616,SVK10020101
2009,SVK,10020103,39.1236478769,1,1,1,0,1,0,0,1,1,1,1,1,0,3,2,2,2,214617,SVK10020103
2009,SVK,10020104,39.1236478769,1,0,0,1,1,1,1,0,1,0,0,0,0,1,2,1,1,214618,SVK10020104
2009,SVK,10020105,39.1236478769,1,1,1,1,1,0,1,1,1,0,0,0,0,1,2,1,1,214619,SVK10020105
2009,SVK,10020106,39.1236478769,1,1,1,1,1,1,1,1,1,1,1,0,0,1,NA,1,1,214620,SVK10020106
2009,SVK,10020108,39.1236478769,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,214621,SVK10020108
2009,SVK,10020109,39.1236478769,1,1,1,0,1,1,1,NA,1,0,0,0,1,2,2,1,1,214622,SVK10020109
2009,SVK,10020111,39.1236478769,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,214623,SVK10020111
2009,SVK,10020114,39.1236478769,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,214624,SVK10020114
2009,SVK,10020115,39.1236478769,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,214625,SVK10020115
2009,SVK,10030101,15.8874437647,1,1,1,0,0,1,1,1,0,1,0,0,1,1,2,2,2,214626,SVK10030101
2009,SVK,10030102,15.8874437647,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,214627,SVK10030102
2009,SVK,10030103,15.8874437647,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,214628,SVK10030103
2009,SVK,10030104,15.8874437647,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,214629,SVK10030104
2009,SVK,10030106,15.8874437647,1,1,1,1,1,1,1,1,1,0,1,0,1,1,2,1,2,214630,SVK10030106
2009,SVK,10030107,15.8874437647,1,0,0,0,0,0,1,1,1,0,0,0,0,2,2,1,2,214631,SVK10030107
2009,SVK,10030108,15.8874437647,1,1,1,0,1,1,1,1,1,1,1,0,1,2,2,1,1,214632,SVK10030108
2009,SVK,10030109,15.8874437647,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,1,1,214633,SVK10030109
2009,SVK,10030110,15.8874437647,1,1,1,1,1,1,1,1,1,0,1,0,0,2,1,1,1,214634,SVK10030110
2009,SVK,10030111,15.8874437647,1,1,1,1,1,1,1,0,1,1,0,0,1,2,2,2,2,214635,SVK10030111
2009,SVK,10030112,15.8874437647,1,1,1,1,1,1,1,0,1,1,1,0,0,3,2,1,1,214636,SVK10030112
2009,SVK,10030113,15.8874437647,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,214637,SVK10030113
2009,SVK,10030114,15.8874437647,1,0,0,1,1,1,1,0,1,0,0,0,0,2,2,1,1,214638,SVK10030114
2009,SVK,10030115,15.8874437647,1,1,1,1,1,1,1,0,1,NA,0,0,0,2,2,2,2,214639,SVK10030115
2009,SVK,10030116,15.8874437647,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,214640,SVK10030116
2009,SVK,10030118,15.8874437647,1,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,214641,SVK10030118
2009,SVK,10030119,15.8874437647,1,1,1,1,1,1,0,1,1,1,0,0,1,1,2,1,1,214642,SVK10030119
2009,SVK,10040101,23.4221378462,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,1,1,214643,SVK10040101
2009,SVK,10040102,23.4221378462,1,0,0,1,1,1,0,1,1,1,0,0,1,1,2,1,2,214644,SVK10040102
2009,SVK,10040104,23.4221378462,1,0,0,1,0,0,1,0,0,0,0,0,0,2,2,1,2,214645,SVK10040104
2009,SVK,10040105,23.4221378462,1,0,1,0,1,0,0,1,0,0,0,0,1,3,2,1,1,214646,SVK10040105
2009,SVK,10040106,23.4221378462,1,0,0,1,0,1,0,0,1,1,1,1,1,1,2,1,1,214647,SVK10040106
2009,SVK,10040107,23.4221378462,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,214648,SVK10040107
2009,SVK,10040108,23.4221378462,0,1,1,1,1,1,1,1,1,1,0,0,1,3,0,2,2,214649,SVK10040108
2009,SVK,10040109,23.4221378462,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,214650,SVK10040109
2009,SVK,10040110,23.4221378462,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,1,1,214651,SVK10040110
2009,SVK,10040111,23.4221378462,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,2,2,214652,SVK10040111
2009,SVK,10040112,23.4221378462,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,214653,SVK10040112
2009,SVK,10040113,23.4221378462,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,2,1,214654,SVK10040113
2009,SVK,10040114,23.4221378462,1,1,0,1,1,1,0,0,1,0,0,0,1,2,2,1,1,214655,SVK10040114
2009,SVK,10040115,23.4221378462,1,1,1,1,1,1,1,0,0,0,0,0,1,3,2,1,2,214656,SVK10040115
2009,SVK,10040116,23.4221378462,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,1,214657,SVK10040116
2009,SVK,10040117,23.4221378462,1,0,0,1,0,1,0,0,0,0,0,0,1,2,1,1,1,214658,SVK10040117
2009,SVK,10050201,26.9605103892,1,1,1,1,1,0,1,1,1,1,1,0,0,1,2,2,2,214659,SVK10050201
2009,SVK,10050202,26.9605103892,1,1,1,0,1,0,1,0,1,1,0,0,1,3,2,2,2,214660,SVK10050202
2009,SVK,10050203,26.9605103892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,1,1,214661,SVK10050203
2009,SVK,10050205,26.9605103892,1,1,1,1,1,1,1,0,1,1,0,0,1,3,2,2,2,214662,SVK10050205
2009,SVK,10050206,26.9605103892,1,1,1,0,1,1,0,0,1,1,1,0,1,1,2,1,1,214663,SVK10050206
2009,SVK,10050208,26.9605103892,1,1,1,1,1,1,1,1,1,0,0,0,1,3,2,1,2,214664,SVK10050208
2009,SVK,10050209,26.9605103892,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,2,2,214665,SVK10050209
2009,SVK,10050211,26.9605103892,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,214666,SVK10050211
2009,SVK,10050212,26.9605103892,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,1,2,214667,SVK10050212
2009,SVK,10050213,26.9605103892,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,214668,SVK10050213
2009,SVK,10050215,26.9605103892,0,0,1,0,1,1,1,0,0,1,0,0,1,3,2,1,2,214669,SVK10050215
2009,SVK,10050216,26.9605103892,1,1,1,1,1,1,1,1,1,1,1,0,0,3,2,2,2,214670,SVK10050216
2009,SVK,10050217,26.9605103892,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,214671,SVK10050217
2009,SVK,10050218,26.9605103892,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,214672,SVK10050218
2009,SVK,10050219,26.9605103892,1,0,0,1,0,1,1,0,0,0,0,0,0,3,2,1,1,214673,SVK10050219
2009,SVK,10050220,26.9605103892,1,1,1,0,1,1,0,0,0,0,1,0,0,2,2,2,2,214674,SVK10050220
2009,SVK,10050221,26.9605103892,0,1,1,1,0,0,0,0,1,1,0,0,1,3,1,1,2,214675,SVK10050221
2009,SVK,10060201,21.2179273136,1,1,0,1,1,1,0,0,0,1,1,0,0,3,1,1,1,214676,SVK10060201
2009,SVK,10060202,21.2179273136,1,1,1,0,1,0,0,1,1,0,0,0,1,2,2,1,1,214677,SVK10060202
2009,SVK,10060203,21.2179273136,1,1,1,1,1,1,1,1,1,0,1,0,0,1,2,2,2,214678,SVK10060203
2009,SVK,10060204,21.2179273136,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,214679,SVK10060204
2009,SVK,10060206,21.2179273136,1,1,1,0,1,1,0,1,1,1,NA,0,0,1,1,2,2,214680,SVK10060206
2009,SVK,10060207,21.2179273136,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,1,1,214681,SVK10060207
2009,SVK,10060208,21.2179273136,1,1,1,1,1,0,1,1,0,0,0,0,1,1,2,1,1,214682,SVK10060208
2009,SVK,10060209,21.2179273136,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,214683,SVK10060209
2009,SVK,10060210,21.2179273136,1,1,1,1,1,1,1,1,0,0,1,0,0,1,2,2,2,214684,SVK10060210
2009,SVK,10060211,21.2179273136,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,214685,SVK10060211
