ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2009,SVN,10015303,4.7505100716,1,1,0,1,1,0,0,0,0,1,0,0,1,1,2,1,1,217569,SVN10015303
2009,SVN,10015304,4.7505100716,1,1,0,0,1,1,1,0,1,1,0,1,0,1,2,2,2,217570,SVN10015304
2009,SVN,10015305,4.7505100716,1,1,1,1,1,1,1,0,1,0,0,0,1,1,2,2,2,217571,SVN10015305
2009,SVN,10015306,4.7505100716,1,1,1,0,1,1,1,1,1,1,0,0,1,1,2,2,2,217572,SVN10015306
2009,SVN,10015307,4.7505100716,1,1,1,1,1,0,1,1,0,1,0,0,1,3,2,2,2,217573,SVN10015307
2009,SVN,10015308,4.7505100716,1,1,1,1,1,1,1,1,1,0,0,1,0,2,2,1,2,217574,SVN10015308
2009,SVN,10015309,4.7505100716,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,217575,SVN10015309
2009,SVN,10015310,4.7505100716,1,1,1,1,1,0,0,0,0,0,0,0,0,3,2,2,2,217576,SVN10015310
2009,SVN,10015311,4.7505100716,1,1,0,1,1,0,1,1,1,0,0,0,1,1,2,2,1,217577,SVN10015311
2009,SVN,10015313,4.7505100716,1,1,1,1,1,1,1,1,0,1,1,0,1,2,2,2,2,217578,SVN10015313
2009,SVN,10015314,4.7505100716,1,1,1,0,1,1,1,0,0,0,0,0,1,2,2,2,2,217579,SVN10015314
2009,SVN,10015315,4.7505100716,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,217580,SVN10015315
2009,SVN,10015318,4.7505100716,0,0,1,0,1,0,0,1,0,0,0,0,0,1,2,0,1,217581,SVN10015318
2009,SVN,10015319,4.7505100716,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,2,217582,SVN10015319
2009,SVN,10015320,4.7505100716,1,1,1,1,1,1,1,1,0,1,0,0,1,2,2,2,2,217583,SVN10015320
2009,SVN,10015321,4.7505100716,1,0,0,1,0,0,0,1,1,1,1,0,0,1,2,1,0,217584,SVN10015321
2009,SVN,10015322,4.7505100716,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,2,2,217585,SVN10015322
2009,SVN,10015323,4.7505100716,1,1,1,1,1,1,1,0,0,1,0,0,0,3,2,2,2,217586,SVN10015323
2009,SVN,10025401,6.1963174847,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,217587,SVN10025401
2009,SVN,10025402,6.1963174847,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,217588,SVN10025402
2009,SVN,10025403,6.1963174847,1,1,1,0,1,1,0,0,1,0,1,0,1,1,2,2,1,217589,SVN10025403
