ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2016,SWE,10010101,56.339766,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,321919,SWE10010101
2016,SWE,10010103,56.339766,1,1,1,1,1,1,1,1,1,0,1,0,1,2,2,2,2,321920,SWE10010103
2016,SWE,10010104,56.339766,1,0,0,1,0,1,0,1,1,1,0,1,1,1,1,2,2,321921,SWE10010104
2016,SWE,10010106,56.339766,1,1,1,0,0,1,1,0,1,1,0,0,1,3,2,2,2,321922,SWE10010106
2016,SWE,10010107,56.339766,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,2,321923,SWE10010107
2016,SWE,10010109,56.339766,1,1,1,1,1,1,1,1,0,0,1,0,1,3,1,NA,NA,321924,SWE10010109
2016,SWE,10010110,56.339766,1,0,1,1,1,1,1,0,0,1,0,0,1,2,2,2,2,321925,SWE10010110
2016,SWE,10010111,56.339766,1,1,1,1,1,1,0,1,1,0,0,0,1,1,2,1,NA,321926,SWE10010111
2016,SWE,10010112,56.339766,1,1,1,1,1,1,0,1,1,0,1,0,1,3,2,2,2,321927,SWE10010112
2016,SWE,10010113,56.339766,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,321928,SWE10010113
2016,SWE,10010114,56.339766,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,321929,SWE10010114
2016,SWE,10010115,56.339766,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,NA,NA,321930,SWE10010115
2016,SWE,10010116,56.339766,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,2,321931,SWE10010116
2016,SWE,10010117,56.339766,1,1,1,1,1,1,1,0,0,0,1,0,1,3,2,2,NA,321932,SWE10010117
2016,SWE,10010118,56.339766,1,1,1,1,1,1,0,1,1,1,1,0,1,3,2,2,2,321933,SWE10010118
2016,SWE,10010119,56.339766,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2,2,321934,SWE10010119
2016,SWE,10010120,56.339766,1,1,1,1,1,1,1,1,1,0,1,0,1,1,2,2,2,321935,SWE10010120
2016,SWE,10010121,56.339766,1,1,1,0,1,1,1,0,1,0,0,0,1,3,NA,2,2,321936,SWE10010121
2016,SWE,10010122,56.339766,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,2,321937,SWE10010122
2016,SWE,10010123,56.339766,0,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,2,321938,SWE10010123
2016,SWE,10010125,56.339766,1,0,1,1,1,1,1,0,1,0,1,0,1,1,2,2,2,321939,SWE10010125
2016,SWE,10020201,32.1265,1,1,1,1,1,0,1,1,0,1,0,0,1,3,2,2,2,321940,SWE10020201
2016,SWE,10020202,32.1265,1,1,1,1,1,0,0,1,1,1,1,0,1,0,2,2,2,321941,SWE10020202
2016,SWE,10020203,32.1265,0,1,1,0,1,1,1,1,0,1,1,0,1,3,2,1,1,321942,SWE10020203
2016,SWE,10020204,32.1265,1,1,1,1,1,1,0,1,0,1,0,1,1,1,2,2,2,321943,SWE10020204
2016,SWE,10020205,32.1265,1,1,1,1,1,1,0,1,1,0,0,0,1,1,2,1,1,321944,SWE10020205
2016,SWE,10020206,32.1265,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,1,1,321945,SWE10020206
2016,SWE,10020207,32.1265,1,1,1,1,1,1,NA,1,1,1,0,1,1,1,2,2,2,321946,SWE10020207
2016,SWE,10020208,32.1265,1,0,0,1,0,NA,0,1,1,0,0,0,1,3,2,2,1,321947,SWE10020208
2016,SWE,10020209,32.1265,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,2,2,321948,SWE10020209
2016,SWE,10020210,32.1265,1,1,1,1,1,1,1,1,1,1,0,0,1,3,1,2,1,321949,SWE10020210
2016,SWE,10020211,32.1265,1,1,1,0,1,1,1,0,1,1,0,1,1,3,1,1,2,321950,SWE10020211
2016,SWE,10020212,32.1265,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,1,321951,SWE10020212
2016,SWE,10020213,32.1265,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,1,321952,SWE10020213
2016,SWE,10020214,32.1265,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,321953,SWE10020214
2016,SWE,10020215,32.1265,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,2,2,321954,SWE10020215
2016,SWE,10020217,32.1265,1,1,1,1,1,0,1,1,1,1,1,0,1,2,2,2,2,321955,SWE10020217
2016,SWE,10020218,32.1265,1,1,1,1,1,0,0,1,0,1,0,0,1,1,2,2,0,321956,SWE10020218
2016,SWE,10020219,32.1265,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,NA,1,321957,SWE10020219
2016,SWE,10020220,32.1265,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,2,1,321958,SWE10020220
