ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2009,THA,10010501,133.63852,1,1,1,1,1,1,1,1,1,1,1,0,0,3,2,2,2,224103,THA10010501
2009,THA,10010502,133.63852,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,2,2,224104,THA10010502
2009,THA,10010503,133.63852,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2,2,224105,THA10010503
2009,THA,10010504,133.63852,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2,224106,THA10010504
2009,THA,10010505,133.63852,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2,224107,THA10010505
2009,THA,10010506,133.63852,1,1,1,0,1,1,0,0,0,0,0,0,0,1,2,0,2,224108,THA10010506
2009,THA,10010507,133.63852,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,224109,THA10010507
2009,THA,10010508,133.63852,1,1,1,1,1,1,1,0,1,1,1,1,1,3,2,0,2,224110,THA10010508
2009,THA,10010509,133.63852,1,1,1,0,1,1,1,1,0,0,0,0,0,1,2,2,2,224111,THA10010509
2009,THA,10010510,133.63852,1,1,1,0,1,1,1,1,1,0,1,0,1,3,2,2,2,224112,THA10010510
2009,THA,10010511,133.63852,1,1,1,0,1,1,1,1,1,1,1,0,0,1,2,2,2,224113,THA10010511
2009,THA,10010512,133.63852,1,1,1,1,1,1,1,1,1,0,0,0,1,0,2,2,2,224114,THA10010512
2009,THA,10010513,133.63852,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,224115,THA10010513
2009,THA,10010514,133.63852,1,1,1,1,1,1,1,0,1,1,1,0,1,1,2,2,2,224116,THA10010514
2009,THA,10010515,133.63852,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,2,224117,THA10010515
2009,THA,10010516,133.63852,1,1,1,1,1,1,1,0,1,1,1,1,0,2,2,0,0,224118,THA10010516
2009,THA,10010517,133.63852,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2,2,224119,THA10010517
2009,THA,10010518,133.63852,1,1,1,0,1,1,1,1,0,0,0,0,1,1,2,2,2,224120,THA10010518
2009,THA,10010519,133.63852,1,1,1,0,1,1,0,1,1,1,1,0,0,1,2,2,2,224121,THA10010519
2009,THA,10010520,133.63852,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,224122,THA10010520
2009,THA,10010521,133.63852,1,1,1,1,1,1,1,1,1,0,1,0,0,0,2,2,2,224123,THA10010521
2009,THA,10010522,133.63852,1,1,1,1,1,1,1,0,1,0,1,1,1,1,2,0,2,224124,THA10010522
2009,THA,10010523,133.63852,1,1,1,0,1,1,1,1,1,1,0,0,1,2,2,1,1,224125,THA10010523
2009,THA,10010524,133.63852,1,1,1,1,1,1,1,1,1,0,1,0,1,1,2,2,2,224126,THA10010524
2009,THA,10010525,133.63852,1,1,1,0,1,1,1,1,1,1,1,1,0,1,2,2,2,224127,THA10010525
2009,THA,10010526,133.63852,1,0,1,1,1,1,1,0,0,1,0,1,1,3,2,2,2,224128,THA10010526
2009,THA,10010527,133.63852,1,1,1,1,1,1,1,1,1,0,0,0,0,1,2,2,0,224129,THA10010527
2009,THA,10010528,133.63852,1,1,1,0,1,1,1,0,1,1,0,1,0,1,2,2,2,224130,THA10010528
2009,THA,10010529,133.63852,1,0,0,1,1,1,1,1,1,0,0,0,0,1,2,2,2,224131,THA10010529
2009,THA,10010530,133.63852,1,1,1,0,1,1,1,1,1,1,1,1,0,1,2,2,2,224132,THA10010530
2009,THA,10010531,133.63852,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,2,2,224133,THA10010531
2009,THA,10010532,133.63852,1,1,1,0,1,1,1,1,1,1,1,0,0,1,2,2,2,224134,THA10010532
