ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
2016,TWN,10020701,40.119048,1,0,1,1,1,1,0,0,1,0,0,0,1,1,2,2,1,325183,TWN10020701
2016,TWN,10020702,40.119048,1,1,1,1,1,0,1,1,0,1,0,0,1,1,2,1,1,325184,TWN10020702
2016,TWN,10020703,40.119048,1,1,1,1,1,1,1,0,1,1,0,0,1,2,2,2,2,325185,TWN10020703
2016,TWN,10020704,40.119048,1,1,1,0,1,0,0,0,1,0,1,0,1,1,2,1,1,325186,TWN10020704
2016,TWN,10020705,40.119048,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,1,2,325187,TWN10020705
2016,TWN,10020706,40.119048,1,1,1,1,1,0,1,0,0,1,0,0,1,0,2,1,1,325188,TWN10020706
2016,TWN,10020707,40.119048,1,0,1,0,0,1,1,1,1,1,1,0,1,2,2,2,2,325189,TWN10020707
2016,TWN,10020708,40.119048,1,1,1,1,1,0,1,1,1,0,1,0,1,1,2,2,2,325190,TWN10020708
2016,TWN,10020709,40.119048,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,2,2,325191,TWN10020709
2016,TWN,10020710,40.119048,1,1,1,1,1,0,1,1,1,1,1,0,1,1,2,2,1,325192,TWN10020710
2016,TWN,10020711,40.119048,1,1,1,1,1,1,1,1,1,0,1,0,1,2,2,2,2,325193,TWN10020711
2016,TWN,10020712,40.119048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,325194,TWN10020712
2016,TWN,10020713,40.119048,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2,2,325195,TWN10020713
2016,TWN,10020714,40.119048,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,1,1,325196,TWN10020714
2016,TWN,10020715,40.119048,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,325197,TWN10020715
2016,TWN,10020716,40.119048,1,1,1,1,1,1,1,1,1,1,1,1,1,3,0,2,2,325198,TWN10020716
2016,TWN,10020717,40.119048,1,1,1,1,1,1,0,0,1,0,1,0,1,0,2,0,1,325199,TWN10020717
2016,TWN,10020718,40.119048,1,1,1,1,1,1,1,1,1,0,0,0,1,2,2,1,2,325200,TWN10020718
2016,TWN,10020719,40.119048,1,1,1,1,1,1,1,0,1,1,1,0,1,2,2,2,2,325201,TWN10020719
2016,TWN,10020720,40.119048,1,1,1,1,1,1,1,1,1,1,0,0,1,1,2,2,1,325202,TWN10020720
2016,TWN,10020721,40.119048,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,0,2,325203,TWN10020721
2016,TWN,10020722,40.119048,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,325204,TWN10020722
2016,TWN,10020723,40.119048,1,1,1,1,1,1,1,1,1,0,1,0,1,3,2,2,2,325205,TWN10020723
2016,TWN,10020724,40.119048,1,0,0,1,1,1,1,1,1,0,1,0,1,1,2,2,1,325206,TWN10020724
2016,TWN,10020725,40.119048,1,0,1,1,0,1,0,1,1,0,1,0,1,3,2,2,2,325207,TWN10020725
2016,TWN,10020726,40.119048,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,325208,TWN10020726
2016,TWN,10020727,40.119048,1,0,0,1,0,1,1,1,1,0,1,0,1,3,1,2,2,325209,TWN10020727
2016,TWN,10020728,40.119048,1,0,1,1,1,1,0,0,0,0,0,0,1,3,2,1,1,325210,TWN10020728
2016,TWN,10020729,40.119048,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,2,325211,TWN10020729
2016,TWN,10020730,40.119048,1,0,0,0,0,1,1,1,1,1,1,0,1,3,2,2,2,325212,TWN10020730
2016,TWN,10020731,40.119048,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,1,NA,325213,TWN10020731
2016,TWN,10020732,40.119048,1,1,1,1,1,0,1,0,1,0,0,0,1,3,2,1,1,325214,TWN10020732
2016,TWN,10020733,40.119048,1,1,1,1,1,0,1,1,1,1,0,0,1,1,2,1,2,325215,TWN10020733
2016,TWN,10020734,40.119048,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,2,325216,TWN10020734
2016,TWN,10020735,40.119048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,325217,TWN10020735
2016,TWN,10020736,40.119048,1,1,1,1,1,0,1,0,1,0,1,0,1,3,2,2,2,325218,TWN10020736
2016,TWN,10020737,40.119048,1,1,1,1,1,1,0,1,0,0,0,0,1,2,2,2,2,325219,TWN10020737
2016,TWN,10020738,40.119048,1,1,1,1,1,0,1,0,1,1,1,0,1,1,2,1,1,325220,TWN10020738
2016,TWN,10020739,40.119048,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,2,2,325221,TWN10020739
2016,TWN,10020740,40.119048,1,1,1,1,1,0,1,0,1,0,1,0,1,1,2,2,2,325222,TWN10020740
2016,TWN,10020741,40.119048,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,2,2,325223,TWN10020741
2016,TWN,10020742,40.119048,1,1,1,1,1,1,1,1,1,1,0,0,1,3,2,2,2,325224,TWN10020742
2016,TWN,10020743,40.119048,1,1,1,1,1,1,1,0,1,1,1,0,1,1,2,2,2,325225,TWN10020743
2016,TWN,10020744,40.119048,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2,0,325226,TWN10020744
2016,TWN,10020745,40.119048,1,1,1,1,1,1,0,1,1,0,1,0,1,1,2,1,1,325227,TWN10020745
2016,TWN,10020746,40.119048,1,1,1,1,1,1,1,0,1,1,0,0,1,1,2,1,1,325228,TWN10020746
2016,TWN,10020747,40.119048,1,1,1,1,1,1,1,0,1,1,1,0,1,3,2,2,2,325229,TWN10020747
2016,TWN,10020748,40.119048,1,1,1,1,1,1,1,1,1,1,1,0,1,3,2,2,2,325230,TWN10020748
2016,TWN,10030401,56.075815,1,1,1,1,1,1,1,1,1,0,0,0,1,0,2,2,2,325231,TWN10030401
2016,TWN,10030402,56.075815,1,1,1,1,1,1,1,1,1,0,1,0,1,2,2,2,1,325232,TWN10030402
2016,TWN,10030404,56.075815,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,NA,0,325233,TWN10030404
2016,TWN,10030405,56.075815,1,1,1,1,1,0,0,0,1,0,0,0,1,2,2,2,2,325234,TWN10030405
2016,TWN,10030406,56.075815,1,1,1,1,1,1,0,1,1,1,0,1,1,2,2,1,1,325235,TWN10030406
2016,TWN,10030407,56.075815,1,1,1,1,1,1,1,0,1,1,1,0,1,2,2,2,2,325236,TWN10030407
2016,TWN,10030408,56.075815,1,1,0,1,0,1,0,1,1,1,1,0,1,1,2,2,1,325237,TWN10030408
2016,TWN,10030409,56.075815,1,1,1,1,1,1,1,1,1,0,1,0,1,3,2,2,2,325238,TWN10030409
2016,TWN,10030410,56.075815,1,0,0,1,1,0,1,1,1,1,1,0,1,0,2,1,2,325239,TWN10030410
2016,TWN,10030412,56.075815,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,325240,TWN10030412
2016,TWN,10030413,56.075815,1,1,1,1,1,1,1,1,1,0,0,1,1,3,2,1,1,325241,TWN10030413
2016,TWN,10030414,56.075815,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,2,2,325242,TWN10030414
2016,TWN,10030415,56.075815,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,325243,TWN10030415
2016,TWN,10030416,56.075815,1,1,1,1,1,1,1,1,1,0,0,0,1,1,2,2,1,325244,TWN10030416
2016,TWN,10030417,56.075815,1,1,1,0,1,1,1,1,1,1,0,0,1,3,2,2,2,325245,TWN10030417
2016,TWN,10030418,56.075815,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,2,325246,TWN10030418
