ICCS_year,COUNTRY,IDSTUD,TOTWGTS,obey,rights,local,work,envir,vote,history,respect,news,protest,discuss,party,female,books,edexp,ed_mom,ed_dad,id,id2
1999,USA,20201,1638.129244,important,important,important,important,important,not important,not important,not important,not important,important,not important,not important,1,3,1,1,1,91072,USA20201
1999,USA,20203,1638.129244,important,not important,important,important,not important,not important,important,important,not important,important,important,not important,1,2,1,NA,NA,91073,USA20203
1999,USA,20205,1638.129244,important,important,important,important,important,important,important,important,not important,important,important,not important,1,1,2,2,2,91074,USA20205
1999,USA,20210,1638.129244,important,important,important,important,important,important,important,important,important,important,important,important,1,1,1,NA,NA,91075,USA20210
1999,USA,20211,1638.129244,important,important,important,important,important,important,important,important,important,important,important,not important,1,3,2,2,2,91076,USA20211
1999,USA,20212,1638.129244,important,important,important,important,important,important,not important,important,important,not important,not important,not important,1,3,1,2,NA,91077,USA20212
1999,USA,20213,1638.129244,important,important,important,important,not important,important,important,important,important,not important,important,important,1,1,1,0,2,91078,USA20213
1999,USA,20214,1638.129244,important,important,important,important,important,important,not important,important,not important,important,important,important,1,3,1,NA,NA,91079,USA20214
1999,USA,20217,1638.129244,important,important,NA,important,important,important,not important,important,important,NA,important,important,1,0,1,0,0,91080,USA20217
1999,USA,20221,1638.129244,important,important,important,important,not important,important,important,important,not important,important,not important,NA,1,1,1,1,1,91081,USA20221
1999,USA,20223,1638.129244,important,important,important,important,important,not important,important,important,not important,important,not important,not important,1,3,1,2,NA,91082,USA20223
1999,USA,20224,1638.129244,important,important,important,important,important,important,important,important,important,important,important,not important,1,3,2,2,1,91083,USA20224
1999,USA,30301,2023.961769,important,important,important,important,important,important,not important,important,important,important,important,important,1,3,1,NA,0,91084,USA30301
1999,USA,30303,2023.961769,important,important,important,not important,important,not important,not important,not important,not important,not important,not important,not important,1,1,2,NA,NA,91085,USA30303
1999,USA,30304,2023.961769,important,important,important,important,important,important,important,important,important,important,important,important,1,2,2,2,1,91086,USA30304
1999,USA,30306,2023.961769,important,important,important,important,not important,not important,not important,important,important,important,important,important,1,3,2,2,2,91087,USA30306
1999,USA,30307,2023.961769,important,important,important,important,important,important,not important,important,important,important,not important,not important,1,3,1,1,2,91088,USA30307
1999,USA,30309,2023.961769,important,important,important,important,important,important,important,important,important,important,important,not important,1,1,2,NA,NA,91089,USA30309
1999,USA,30310,2023.961769,important,important,important,important,important,important,important,important,important,important,important,important,1,2,2,2,2,91090,USA30310
1999,USA,30311,2023.961769,important,important,important,important,important,important,not important,important,important,important,not important,not important,1,2,1,2,2,91091,USA30311
1999,USA,30314,2023.961769,important,important,important,important,important,important,important,important,important,not important,important,important,1,1,1,2,2,91092,USA30314
1999,USA,30315,2023.961769,important,important,important,important,important,important,important,important,NA,important,important,not important,1,2,1,2,2,91093,USA30315
1999,USA,30316,2023.961769,important,important,important,important,important,important,important,important,important,not important,not important,important,1,2,2,2,2,91094,USA30316
1999,USA,30317,2023.961769,important,important,important,important,important,important,important,important,important,important,important,important,1,3,2,1,1,91095,USA30317
1999,USA,30321,2023.961769,important,important,important,important,important,important,important,important,important,important,important,important,1,2,1,2,2,91096,USA30321
1999,USA,30323,2023.961769,important,important,important,important,important,important,important,important,important,important,important,not important,1,1,1,2,2,91097,USA30323
1999,USA,30324,2023.961769,important,important,important,important,important,important,important,important,important,important,important,important,1,1,1,2,2,91098,USA30324
1999,USA,30325,2023.961769,important,important,important,important,important,important,NA,important,not important,not important,not important,not important,1,3,2,2,1,91099,USA30325
1999,USA,50301,2307.886546,important,important,important,important,important,important,important,important,NA,not important,important,not important,1,1,1,2,1,91100,USA50301
1999,USA,50305,2307.886546,important,important,important,important,important,important,important,important,important,important,important,important,1,2,1,NA,NA,91101,USA50305
1999,USA,50306,2307.886546,important,important,important,important,not important,important,not important,important,important,not important,not important,important,1,3,2,2,2,91102,USA50306
1999,USA,50309,2307.886546,important,important,important,important,important,important,important,important,important,important,not important,not important,1,0,1,2,2,91103,USA50309
1999,USA,50312,2307.886546,important,important,important,important,important,important,important,important,NA,important,NA,NA,1,1,1,1,NA,91104,USA50312
1999,USA,50313,2307.886546,important,important,important,important,important,important,important,important,important,important,not important,important,1,1,1,1,1,91105,USA50313
1999,USA,50316,2307.886546,important,important,important,important,important,important,important,important,important,not important,important,important,1,1,2,2,2,91106,USA50316
1999,USA,50317,2307.886546,important,important,important,important,important,important,important,important,important,important,important,important,1,2,2,NA,NA,91107,USA50317
1999,USA,50318,2307.886546,important,important,important,important,not important,important,important,important,important,important,important,not important,1,3,2,2,NA,91108,USA50318
1999,USA,50319,2307.886546,important,important,important,important,important,important,important,important,not important,not important,important,important,1,2,1,NA,NA,91109,USA50319
1999,USA,50320,2307.886546,important,NA,important,important,important,important,important,important,important,NA,important,not important,1,0,0,NA,NA,91110,USA50320
1999,USA,100101,1862.044827,important,important,important,important,not important,important,important,important,important,not important,not important,important,1,3,1,NA,NA,91111,USA100101
1999,USA,100102,1862.044827,important,important,important,important,important,important,important,important,important,important,not important,NA,1,3,1,2,2,91112,USA100102
1999,USA,110104,1885.615015,important,important,important,important,important,important,important,important,important,important,not important,NA,1,1,0,1,1,91113,USA110104
1999,USA,110106,1885.615015,important,important,important,important,important,important,important,important,important,important,important,important,1,3,1,2,1,91114,USA110106
1999,USA,110109,1885.615015,important,important,important,not important,important,not important,important,important,not important,not important,not important,not important,1,3,1,NA,NA,91115,USA110109
1999,USA,110112,1885.615015,important,important,important,important,important,important,not important,important,not important,important,NA,not important,1,1,1,2,2,91116,USA110112
1999,USA,110113,1885.615015,important,important,important,important,important,important,not important,NA,not important,important,NA,not important,1,3,2,2,2,91117,USA110113
1999,USA,110114,1885.615015,important,important,important,important,important,important,important,important,important,important,important,not important,1,3,1,1,2,91118,USA110114
1999,USA,110115,1885.615015,important,important,important,important,important,important,important,important,important,important,important,important,1,1,1,2,2,91119,USA110115
1999,USA,110116,1885.615015,important,important,important,important,important,important,important,important,important,important,important,important,1,3,2,2,2,91120,USA110116
1999,USA,110117,1885.615015,important,important,important,important,important,NA,important,important,important,NA,not important,not important,1,3,2,2,NA,91121,USA110117
1999,USA,110119,1885.615015,important,important,important,important,important,not important,important,not important,not important,important,not important,not important,1,2,1,2,1,91122,USA110119
1999,USA,110120,1885.615015,important,important,important,important,important,important,important,important,not important,not important,not important,important,1,1,0,1,1,91123,USA110120
1999,USA,110121,1885.615015,important,important,important,important,not important,important,important,not important,not important,important,important,not important,1,2,0,2,1,91124,USA110121
1999,USA,110122,1885.615015,important,important,important,important,important,important,not important,important,NA,important,important,important,1,2,0,2,2,91125,USA110122
1999,USA,110123,1885.615015,important,important,important,important,important,important,not important,important,important,important,not important,important,1,1,1,2,2,91126,USA110123
1999,USA,120501,1467.621539,important,important,important,important,important,important,important,important,not important,not important,important,important,1,3,1,0,0,91127,USA120501
1999,USA,120503,1467.621539,important,important,important,important,not important,important,not important,important,not important,not important,not important,not important,1,1,1,1,1,91128,USA120503
1999,USA,120504,1467.621539,important,important,important,important,important,important,NA,important,NA,NA,important,important,1,3,1,NA,NA,91129,USA120504
1999,USA,120506,1467.621539,important,important,important,important,important,important,important,important,important,important,not important,important,1,1,1,2,2,91130,USA120506
1999,USA,120508,1467.621539,important,important,important,important,important,not important,not important,important,important,important,important,not important,1,1,1,0,1,91131,USA120508
1999,USA,120511,1467.621539,important,important,important,important,important,important,important,important,important,important,important,important,1,1,1,NA,NA,91132,USA120511
1999,USA,120512,1467.621539,important,important,important,important,important,not important,important,important,important,NA,important,not important,1,1,1,2,2,91133,USA120512
1999,USA,120514,1467.621539,important,important,important,important,important,important,important,important,important,important,important,important,1,1,1,2,2,91134,USA120514
1999,USA,120518,1467.621539,important,important,important,not important,important,not important,not important,important,not important,not important,NA,not important,1,3,2,2,NA,91135,USA120518
1999,USA,120519,1467.621539,important,important,important,important,important,important,important,important,important,important,important,important,1,3,2,NA,NA,91136,USA120519
1999,USA,120520,1467.621539,important,important,important,important,important,important,important,important,important,important,important,important,1,1,1,1,1,91137,USA120520
